Location ID,Depth Name,Depth_cm bgs,Other Name,Date,Time,water table depth_cm bgs,pH,EC_uS/cm,ORP_mV,DO_uM,Fe(II)_uM,DOC_mM,DIC_mM,NH4_mM,Cl_mM,SO4_mM,NO3_mM,Li_M,sd_M,Be_M,sd_M,B_M,sd_M,Na_M,sd_M,Mg_M,sd_M,Al_M,sd_M,Si_M,sd_M,K_M,sd_M,V_M,sd_M,Cr_M,sd_M,Mn_M,sd_M,Ca_M,sd_M,Fe_M,sd_M,Se_M,sd_M,Ti_M,sd_M,Ni_M,sd_M,Co_M,sd_M,Cu_M,sd_M,Zn_M,sd_M,Ge_M,sd_M,Rb_M,sd_M,Sr_M,sd_M,Zr_M,sd_M,Mo_M,sd_M,Ag_M,sd_M,Cd_M,sd_M,Sn_M,sd_M,Sb_M,sd_M,Cs_M,sd_M,Ba_M,sd_M,Eu_M,sd_M,Pb_M,sd_M,Th_M,sd_M,U_M,sd_M,P_M,sd_M,As_M,sd_M
ER-MCP1,,,MCP-1,6/29/2018,10:15,,7.33,388,0,,,0.22,3.826,0.0023,0.2218,0.3201,BDL,4.05E-07,5.09E-08,BDL,BDL,2.31E-07,3.07E-08,1.03E-04,2.17E-06,3.24E-04,2.15E-06,BDL,BDL,1.63E-04,1.16E-06,1.74E-05,2.55E-07,BDL,BDL,1.16E-08,1.63E-09,1.83E-05,1.75E-07,1.36E-03,6.51E-06,4.54E-05,1.94E-07,BDL,BDL,BDL,BDL,1.82E-08,2.98E-09,1.24E-09,2.82E-10,BDL,BDL,4.86E-07,1.21E-08,BDL,BDL,2.33E-09,2.10E-10,1.95E-06,1.02E-08,BDL,BDL,1.65E-08,8.31E-10,4.11E-09,3.73E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.21E-06,8.61E-09,2.10E-10,2.26E-11,BDL,BDL,BDL,BDL,2.39E-10,3.24E-11,1.69E-05,1.57E-06,2.66E-08,2.72E-09
ER-MCP1,,,MCP-1,7/2/2018,11:10,,7.23,391,-92,,,0.242,3.838,0.0024,0.2137,0.3281,BDL,4.69E-07,2.05E-08,BDL,BDL,1.98E-07,2.46E-08,1.17E-04,2.47E-06,3.85E-04,2.13E-06,BDL,BDL,1.63E-04,1.21E-06,1.92E-05,2.95E-07,BDL,BDL,BDL,BDL,2.15E-05,2.37E-07,1.66E-03,2.64E-06,2.13E-05,1.05E-07,BDL,BDL,BDL,BDL,2.15E-08,2.34E-09,1.29E-09,2.63E-10,BDL,BDL,2.72E-07,1.42E-08,BDL,BDL,2.52E-09,3.52E-10,2.35E-06,1.31E-08,BDL,BDL,1.60E-08,9.67E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.42E-06,1.77E-08,2.23E-10,9.57E-11,BDL,BDL,BDL,BDL,2.57E-10,2.98E-11,1.55E-05,1.28E-06,1.91E-08,1.45E-09
ER-MCP1,,,MCP-1,7/6/2018,9:50,46,7.16,379,-109,,,0.247,3.725,0.0023,0.2058,0.3342,BDL,4.73E-07,3.28E-08,BDL,BDL,1.79E-07,1.35E-08,1.15E-04,1.98E-06,3.79E-04,1.62E-06,BDL,BDL,1.64E-04,9.59E-07,1.91E-05,2.95E-07,BDL,BDL,BDL,BDL,2.11E-05,2.06E-07,1.64E-03,5.60E-06,1.53E-05,1.51E-07,BDL,BDL,BDL,BDL,2.05E-08,1.02E-09,BDL,BDL,BDL,BDL,3.36E-07,1.31E-08,BDL,BDL,2.47E-09,1.84E-10,2.31E-06,2.00E-08,BDL,BDL,1.64E-08,5.80E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.38E-06,1.12E-08,2.61E-10,4.53E-11,BDL,BDL,BDL,BDL,2.67E-10,5.04E-11,1.54E-05,1.44E-06,1.71E-08,1.03E-09
ER-MCP1,,,MCP-1,7/10/2018,9:20,48,7.02,387,-113,,,0.206,3.7,0.0024,0.2045,0.3311,BDL,4.84E-07,2.97E-08,BDL,BDL,2.56E-07,2.86E-08,1.20E-04,2.36E-06,3.71E-04,2.17E-06,BDL,BDL,1.67E-04,1.28E-06,2.17E-05,3.19E-07,BDL,BDL,BDL,BDL,2.03E-05,2.85E-07,1.60E-03,7.61E-06,2.02E-05,1.36E-07,BDL,BDL,BDL,BDL,2.55E-08,1.20E-09,1.22E-09,2.60E-10,5.83E-09,7.88E-10,3.81E-07,6.87E-09,BDL,BDL,3.11E-09,3.60E-10,2.23E-06,1.54E-08,BDL,BDL,1.60E-08,7.95E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.36E-06,1.05E-08,2.25E-10,4.71E-11,BDL,BDL,BDL,BDL,2.55E-10,3.47E-11,1.52E-05,1.48E-06,2.24E-08,2.47E-09
ER-MCP1,,,MCP-1,7/12/2018,9:40,49,6.92,379,-115,,,0.233,3.657,0.0027,0.1988,0.3246,BDL,4.34E-07,5.27E-08,BDL,BDL,BDL,BDL,1.19E-04,1.70E-06,3.02E-04,5.70E-06,1.89E-06,7.84E-08,1.56E-04,3.15E-06,1.84E-05,1.58E-07,BDL,BDL,2.68E-09,1.32E-10,1.74E-05,7.51E-08,1.27E-03,8.77E-06,5.47E-05,6.67E-07,BDL,BDL,BDL,BDL,BDL,BDL,1.50E-09,1.78E-10,1.88E-08,5.77E-10,8.73E-07,1.11E-08,BDL,BDL,4.23E-09,9.14E-11,2.12E-06,1.61E-08,BDL,BDL,1.68E-08,7.01E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.25E-06,7.36E-09,3.43E-10,6.95E-11,BDL,BDL,BDL,BDL,2.17E-10,2.84E-11,1.71E-05,1.95E-06,3.04E-08,1.73E-09
ER-MCP1,,,MCP-1,7/17/2018,8:55,50,7.03,381,-113,,,0.239,3.637,0.0027,0.1960,0.3297,BDL,4.27E-07,4.89E-08,BDL,BDL,BDL,BDL,1.18E-04,2.05E-06,3.30E-04,4.56E-06,2.08E-06,8.77E-08,1.67E-04,3.11E-06,1.48E-05,2.06E-07,BDL,BDL,4.28E-09,1.76E-10,1.87E-05,1.18E-07,1.38E-03,7.34E-06,4.83E-05,2.07E-07,BDL,BDL,BDL,BDL,BDL,BDL,1.42E-09,2.18E-10,3.50E-09,6.00E-10,6.73E-07,6.62E-09,BDL,BDL,2.75E-09,1.57E-10,2.31E-06,1.40E-08,BDL,BDL,1.72E-08,1.01E-09,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.37E-06,1.24E-08,3.99E-10,3.10E-11,BDL,BDL,BDL,BDL,2.84E-10,4.83E-11,1.81E-05,1.90E-06,3.07E-08,1.91E-09
ER-MCP1,,,MCP-1,7/21/2018,9:30,53,7.09,381,-117,,,0.211,3.741,0.0026,0.1932,0.3331,BDL,4.87E-07,4.02E-08,BDL,BDL,BDL,BDL,1.19E-04,2.38E-06,3.40E-04,4.56E-06,2.40E-06,8.01E-08,1.67E-04,1.47E-06,1.48E-05,1.43E-07,BDL,BDL,9.53E-09,2.44E-09,1.90E-05,1.05E-07,1.42E-03,8.91E-06,6.30E-05,6.34E-07,BDL,BDL,BDL,BDL,BDL,BDL,1.43E-09,1.57E-10,BDL,BDL,6.80E-07,1.36E-08,BDL,BDL,2.82E-09,2.04E-10,2.34E-06,1.45E-08,BDL,BDL,1.78E-08,9.19E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.40E-06,1.02E-08,3.73E-10,5.17E-11,BDL,BDL,BDL,BDL,2.26E-10,2.02E-11,1.79E-05,1.84E-06,3.62E-08,2.17E-09
ER-MCP1,,,MCP-1,7/24/2018,10:00,55,6.81,379,-114,,,0.238,3.77,0.0027,0.1915,0.3319,BDL,4.40E-07,5.24E-08,BDL,BDL,BDL,BDL,1.22E-04,2.99E-06,3.33E-04,5.76E-06,2.32E-06,9.52E-08,1.63E-04,4.43E-06,1.69E-05,1.67E-07,BDL,BDL,2.49E-09,2.68E-10,1.85E-05,1.26E-07,1.38E-03,8.20E-06,6.23E-05,2.54E-07,BDL,BDL,BDL,BDL,BDL,BDL,1.57E-09,2.14E-10,9.72E-09,7.72E-10,6.67E-07,1.13E-08,BDL,BDL,3.46E-09,1.95E-10,2.32E-06,2.14E-08,BDL,BDL,1.74E-08,7.97E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.37E-06,1.21E-08,3.67E-10,3.63E-11,BDL,BDL,BDL,BDL,2.56E-10,5.55E-11,1.74E-05,1.82E-06,3.29E-08,1.95E-09
ER-MCP1,,,MCP-1,7/27/2018,9:50,56,7.03,387,-112,BDL,,0.213,3.719,0.0025,0.1929,0.3333,BDL,5.00E-07,5.66E-08,BDL,BDL,BDL,BDL,1.21E-04,2.18E-06,3.51E-04,6.11E-06,1.89E-06,8.63E-08,1.72E-04,5.23E-06,3.97E-05,6.46E-07,BDL,BDL,2.65E-09,1.86E-10,1.96E-05,2.07E-07,1.45E-03,8.78E-06,6.58E-05,6.37E-07,BDL,BDL,BDL,BDL,BDL,BDL,1.56E-09,2.01E-10,7.58E-09,9.10E-10,6.64E-07,7.63E-09,BDL,BDL,3.45E-09,1.20E-10,2.42E-06,1.61E-08,BDL,BDL,1.81E-08,5.51E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.43E-06,1.03E-08,4.51E-10,2.23E-11,BDL,BDL,BDL,BDL,2.58E-10,3.08E-11,1.78E-05,1.79E-06,3.60E-08,1.22E-09
ER-MCP1,,,MCP-1,7/30/2018,9:45,57,6.97,391,-112,1.19,,0.228,3.719,0.0026,0.1880,0.3298,BDL,4.57E-07,4.61E-08,BDL,BDL,BDL,BDL,1.20E-04,2.60E-06,3.14E-04,5.57E-06,2.00E-06,8.02E-08,1.62E-04,3.76E-06,1.81E-05,1.96E-07,BDL,BDL,1.87E-09,1.80E-10,1.76E-05,1.52E-07,1.31E-03,8.45E-06,5.88E-05,4.45E-07,BDL,BDL,BDL,BDL,BDL,BDL,1.32E-09,2.09E-10,1.49E-08,9.80E-10,8.40E-07,1.38E-08,BDL,BDL,3.83E-09,2.10E-10,2.21E-06,3.68E-09,BDL,BDL,1.74E-08,3.43E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.31E-06,8.59E-09,4.02E-10,6.65E-11,3.92E-10,6.07E-11,BDL,BDL,2.79E-10,5.00E-11,1.73E-05,1.84E-06,3.37E-08,1.24E-09
ER-MCP1,,,MCP-1,8/2/2018,9:40,58,7,391,-88,1.88,,0.718,2.957,0.0048,0.1769,0.3384,BDL,1.56E-06,3.12E-07,5.90E-06,1.52E-06,1.71E-06,6.84E-07,1.34E-04,2.94E-06,3.95E-04,1.28E-05,1.97E-06,7.61E-08,1.76E-04,5.95E-06,1.90E-05,2.47E-07,3.43E-08,1.45E-08,3.48E-08,1.06E-08,2.12E-05,5.77E-08,1.63E-03,2.22E-05,7.20E-05,7.65E-07,3.07E-06,1.22E-06,4.38E-07,1.38E-07,1.60E-07,2.69E-08,2.25E-08,2.03E-09,4.40E-08,6.83E-09,7.47E-07,1.95E-08,4.81E-08,1.27E-08,1.33E-08,2.27E-09,2.58E-06,1.50E-08,1.67E-08,2.92E-09,5.80E-08,8.98E-09,2.32E-08,4.17E-09,1.01E-07,1.84E-08,3.36E-08,7.02E-09,3.50E-08,4.82E-09,6.22E-09,6.02E-10,1.48E-06,1.18E-08,9.59E-09,1.24E-09,1.86E-08,3.26E-09,7.05E-09,1.69E-09,6.68E-09,1.84E-09,2.10E-05,3.04E-06,3.76E-07,1.16E-07
ER-MCP1,,,MCP-1,8/9/2018,14:45,60,7.04,416,-87,,,0.422,3.212,0.0029,0.1723,0.3405,BDL,7.73E-07,1.04E-07,2.12E-06,5.91E-07,BDL,BDL,1.42E-04,1.49E-06,3.90E-04,7.29E-06,1.77E-06,7.37E-08,1.74E-04,4.55E-06,1.76E-05,2.04E-07,1.45E-08,4.49E-09,4.80E-08,4.11E-09,2.09E-05,1.39E-07,1.62E-03,2.40E-05,7.19E-05,7.37E-07,2.21E-06,5.20E-07,4.55E-08,6.09E-08,8.38E-08,1.45E-08,1.04E-08,1.85E-09,2.41E-08,3.64E-09,7.27E-07,1.11E-08,1.69E-08,4.25E-09,7.13E-09,1.03E-09,2.52E-06,2.01E-08,9.34E-09,1.17E-09,3.42E-08,4.88E-09,8.54E-09,2.73E-09,3.83E-08,1.32E-08,1.24E-08,4.16E-09,1.28E-08,3.62E-09,2.27E-09,6.87E-10,1.44E-06,8.84E-09,3.65E-09,1.02E-09,6.89E-09,2.23E-09,2.52E-09,7.51E-10,2.60E-09,8.79E-10,2.02E-05,2.43E-06,3.65E-07,1.10E-07
ER-MCP1,,,MCP-1,8/25/2018,,,,,,,,0.899,2.773,0.0155,0.1543,0.3397,BDL,8.84E-07,5.48E-07,2.54E-06,2.74E-06,BDL,BDL,1.40E-04,1.73E-06,4.00E-04,6.28E-06,1.87E-06,9.16E-08,1.77E-04,4.83E-06,1.64E-05,2.45E-07,3.45E-09,1.50E-09,7.88E-09,1.35E-09,2.07E-05,1.71E-07,1.63E-03,1.87E-05,7.17E-05,5.15E-07,1.12E-06,8.27E-07,7.83E-08,2.56E-07,8.02E-08,5.04E-08,1.20E-08,9.06E-09,2.21E-08,1.76E-08,6.82E-07,3.11E-08,2.09E-08,2.23E-08,7.84E-09,5.01E-09,2.58E-06,2.48E-08,8.69E-09,8.14E-09,3.77E-08,2.09E-08,1.04E-08,1.05E-08,4.54E-08,4.74E-08,1.51E-08,1.64E-08,1.48E-08,1.52E-08,2.74E-09,2.85E-09,1.46E-06,2.82E-08,4.35E-09,4.13E-09,8.71E-09,9.48E-09,3.07E-09,3.23E-09,3.13E-09,3.18E-09,1.88E-05,2.97E-06,5.98E-08,7.75E-09
ER-MCP1,,,MCP-1,9/12/2018,,,,,,,,0.212,3.293,0.0048,0.1257,0.3258,BDL,4.39E-07,4.22E-08,BDL,BDL,BDL,BDL,1.30E-04,3.55E-06,4.04E-04,8.08E-06,BDL,BDL,1.90E-04,5.62E-06,1.42E-05,3.10E-07,BDL,BDL,1.89E-08,5.82E-10,2.13E-05,1.22E-07,1.64E-03,3.03E-05,7.11E-05,1.06E-06,BDL,BDL,BDL,BDL,2.78E-08,1.37E-09,BDL,BDL,BDL,BDL,5.83E-07,7.10E-09,BDL,BDL,2.61E-09,1.43E-10,2.44E-06,2.40E-08,BDL,BDL,1.71E-08,2.48E-09,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.47E-06,1.88E-08,3.93E-10,3.67E-11,BDL,BDL,BDL,BDL,2.47E-10,2.90E-11,2.10E-05,2.03E-06,3.70E-08,2.35E-09
ER-MCP1,,,MCP-1,9/23/2018,,,,,,,,0.192,3.312,0.0047,0.1256,0.3352,BDL,3.97E-07,7.92E-08,BDL,BDL,BDL,BDL,1.28E-04,3.55E-06,3.98E-04,8.99E-06,BDL,BDL,1.87E-04,5.15E-06,1.41E-05,2.79E-07,BDL,BDL,8.10E-09,4.39E-10,2.10E-05,1.59E-07,1.64E-03,1.52E-05,6.85E-05,4.64E-07,BDL,BDL,BDL,BDL,2.88E-08,1.00E-09,BDL,BDL,BDL,BDL,4.90E-07,1.27E-08,BDL,BDL,2.52E-09,1.26E-10,2.42E-06,1.96E-08,BDL,BDL,1.62E-08,7.42E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.47E-06,1.39E-08,3.10E-10,6.37E-11,BDL,BDL,BDL,BDL,2.72E-10,9.99E-11,1.96E-05,1.85E-06,3.43E-08,2.35E-09
ER-MCP2,,,MCP-2,5/27/2018,11:45,,7.77,732,-53,28.16,8.15,0.609,3.271,0.0115,0.4141,0.1086,BDL,2.64E-07,3.25E-08,BDL,BDL,7.27E-07,3.03E-08,2.33E-04,4.68E-06,2.91E-04,2.28E-06,1.53E-06,8.05E-08,1.47E-04,1.50E-06,1.36E-05,1.88E-07,2.98E-09,2.17E-10,1.95E-09,3.41E-10,1.98E-05,2.26E-07,1.13E-03,5.46E-06,1.19E-04,7.38E-07,BDL,BDL,BDL,BDL,2.38E-08,1.18E-09,1.15E-09,2.57E-10,6.71E-09,8.68E-10,3.26E-06,2.90E-08,BDL,BDL,6.34E-09,5.60E-10,1.80E-06,9.04E-09,BDL,BDL,1.26E-08,5.57E-10,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.23E-06,1.92E-08,2.83E-10,3.32E-11,BDL,BDL,BDL,BDL,1.49E-10,3.10E-11,6.45E-06,3.78E-07,5.27E-09,6.92E-10
