energy,MC1_55_75_spot1,MC1_55_75_spot1_fit,MC1_55_75_spot2,MC1_55_75_spot2_fit,MC3_105_140_spot1,MC3_105_140_spot1_fit,MC3_105_140_spot2,MC3_105_140_spot2_fit,MC3_105_140_spot3,MC3_105_140_spot3_fit,MC3_105_140_spot4,MC3_105_140_spot4_fit
290.957,0.56954892,0.59760157,0.6458347,0.64746614,0.65570692,0.64590968,0.65955827,0.67080972,0.5262037,0.61187772,0.70563464,0.72549343
291.106,0.56684445,0.6634939,0.65059322,0.70156516,0.70997536,0.70454256,0.68088605,0.72323021,0.57939284,0.67994891,0.75412021,0.77150646
291.255,0.6836916,0.72978674,0.71298324,0.7605222,0.69845644,0.76639279,0.76725,0.78116227,0.6478324,0.74788098,0.78442769,0.82567879
291.404,0.71455446,0.78659181,0.73845235,0.81332743,0.82041237,0.82085552,0.77897537,0.83343372,0.73166003,0.80590581,0.81238282,0.87613996
291.553,0.7788588,0.83199526,0.82196667,0.85688366,0.87818604,0.86525258,0.91230632,0.87675273,0.8001359,0.85225604,0.84898057,0.91888324
291.702,0.8432876,0.86758771,0.90588488,0.8918438,0.88544781,0.90056621,0.92245109,0.9116113,0.93682504,0.88864413,0.85877842,0.95383897
291.851,0.9000803,0.8955228,0.93136942,0.91974767,0.93769298,0.92855004,0.92786413,0.93944068,0.92114599,0.91730646,0.94410362,0.98207169
292,0.87372217,0.9176492,0.92197636,0.94209935,0.93331651,0.95082647,0.96108366,0.96168124,0.94872414,0.940141,0.98437546,1.004816
292.149,0.98747035,0.93539984,0.95016752,0.96016296,0.94789712,0.96871578,1.0554634,0.97956297,1.0195444,0.95860828,0.97770035,1.0232013
292.45,1.0119208,0.96200266,1.0177143,0.98741709,0.99876406,0.99538943,1.0017564,1.0061688,1.0600254,0.9867453,1.0261191,1.0506774
292.746,1.0169052,0.98033446,1.0248108,1.0063228,1.0599212,1.0134373,1.0084583,1.0240178,1.0009007,1.0067661,1.0876653,1.0691439
293.042,0.97678527,0.99389864,1.0390175,1.0204024,1.0318837,1.0263487,1.0644206,1.0365818,1.0706553,1.022276,1.0816575,1.082112
