"Wavelength, nm",MOP-1-2 NaCl whole,MOP-1-4 NaCl whole,MOP-2-2 NaCl whole,MOP-2-4 NaCl whole,MOP-3-2 NaCl whole,MOP-3-4 NaCl whole,MOP-3-6 NaCl whole,MOP-4-2 NaCl whole,MOP-4-3 NaCl whole,MCC-1A-3 NaCl whole,MCC-3-3 NaCl whole,MCC-3-6 NaCl whole,MCC-5-2 NaCl whole,MCC-5-4 NaCl whole,MCC-5-5 NaCl whole,MOP-1-2 PP-SPE,MOP-1-4 PP-SPE,MOP-2-2 PP-SPE,MOP-2-4 PP-SPE,MOP-3-2 PP-SPE,MOP-3-4 PP-SPE,MOP-3-6 PP-SPE,MOP-4-2 PP-SPE,MOP-4-3 PP-SPE,MCC-1A-3 PP-SPE,MCC-3-3 PP-SPE,MCC-3-6 PP-SPE,MCC-5-2 PP-SPE,MCC-5-4 PP-SPE,MCC-5-5 PP-SPE
210,3.605,2.658,5.063,2.121,3.831,3.431,3.709,4.863,2.332,4.840,4.499,6.196,3.002,2.244,2.194,9.904,8.728,8.712,8.906,9.926,10.049,11.512,10.628,8.458,8.428,7.597,9.200,9.245,10.054,10.483
211,3.549,2.584,4.978,2.030,3.771,3.356,3.612,4.776,2.234,4.747,4.424,6.121,2.916,2.171,2.111,9.881,8.640,8.635,8.828,9.834,9.955,11.407,10.503,8.376,8.346,7.532,9.123,9.167,9.976,10.409
212,3.488,2.529,4.911,1.960,3.720,3.294,3.534,4.701,2.160,4.674,4.360,6.059,2.852,2.118,2.050,9.618,8.559,8.557,8.754,9.752,9.870,11.313,10.411,8.300,8.280,7.470,9.034,9.097,9.904,10.337
213,3.428,2.473,4.829,1.887,3.658,3.222,3.458,4.629,2.091,4.589,4.294,5.991,2.788,2.066,1.998,9.633,8.472,8.469,8.672,9.661,9.776,11.191,10.265,8.192,8.192,7.400,8.943,9.012,9.821,10.261
214,3.379,2.423,4.753,1.828,3.600,3.170,3.384,4.564,2.026,4.515,4.231,5.927,2.731,2.019,1.947,10.296,8.371,8.380,8.590,9.558,9.667,11.082,10.139,8.094,8.112,7.333,8.866,8.926,9.735,10.179
215,3.323,2.379,4.676,1.769,3.542,3.112,3.321,4.515,1.962,4.441,4.169,5.858,2.680,1.973,1.900,10.538,8.293,8.282,8.497,9.465,9.573,10.963,10.022,8.011,8.024,7.265,8.784,8.837,9.658,10.093
216,3.267,2.334,4.608,1.717,3.491,3.058,3.264,4.456,1.906,4.369,4.113,5.801,2.629,1.936,1.860,9.529,8.212,8.194,8.418,9.366,9.477,10.845,9.904,7.911,7.936,7.196,8.679,8.752,9.568,10.015
217,3.207,2.292,4.525,1.663,3.426,3.004,3.200,4.393,1.855,4.292,4.054,5.724,2.576,1.894,1.822,9.897,8.126,8.084,8.332,9.256,9.369,10.713,9.749,7.816,7.842,7.114,8.588,8.656,9.478,9.927
218,3.150,2.252,4.450,1.615,3.368,2.953,3.141,4.338,1.811,4.221,3.995,5.655,2.532,1.855,1.782,9.256,8.045,7.985,8.240,9.149,9.263,10.588,9.629,7.711,7.750,7.040,8.486,8.572,9.384,9.845
219,3.098,2.220,4.382,1.572,3.317,2.907,3.088,4.286,1.767,4.157,3.943,5.588,2.492,1.825,1.751,9.093,7.966,7.891,8.162,9.049,9.169,10.477,9.514,7.623,7.669,6.968,8.416,8.491,9.306,9.768
220,3.044,2.189,4.315,1.538,3.267,2.865,3.040,4.234,1.724,4.095,3.890,5.522,2.448,1.793,1.719,9.308,7.888,7.799,8.081,8.955,9.073,10.364,9.373,7.539,7.585,6.898,8.323,8.407,9.223,9.689
