"Wavelength, nm",MOP-1-2 NaCl whole,MOP-1-4 NaCl whole,MOP-2-2 NaCl whole,MOP-2-4 NaCl whole,MOP-3-2 NaCl whole,MOP-3-4 NaCl whole,MOP-3-6 NaCl whole,MOP-4-2 NaCl whole,MOP-4-3 NaCl whole,MCC-1A-3 NaCl whole,MCC-3-3 NaCl whole,MCC-3-6 NaCl whole,MCC-5-2 NaCl whole,MCC-5-4 NaCl whole,MCC-5-5 NaCl whole,MOP-1-2 PP-SPE,MOP-1-4 PP-SPE,MOP-2-2 PP-SPE,MOP-2-4 PP-SPE,MOP-3-2 PP-SPE,MOP-3-4 PP-SPE,MOP-3-6 PP-SPE,MOP-4-2 PP-SPE,MOP-4-3 PP-SPE,MCC-1A-3 PP-SPE,MCC-3-3 PP-SPE,MCC-3-6 PP-SPE,MCC-5-2 PP-SPE,MCC-5-4 PP-SPE,MCC-5-5 PP-SPE
291,1.068,0.689,1.549,0.492,1.181,1.092,1.198,1.509,0.716,1.508,1.446,2.198,0.885,0.665,0.651,4.331,3.561,3.850,3.880,4.495,4.409,5.124,4.374,3.600,3.717,3.094,3.708,4.076,4.558,4.695
292,1.051,0.678,1.524,0.485,1.161,1.078,1.183,1.485,0.711,1.489,1.431,2.171,0.874,0.657,0.648,4.274,3.514,3.801,3.828,4.437,4.353,5.057,4.312,3.557,3.672,3.058,3.661,4.032,4.508,4.643
293,1.032,0.669,1.495,0.485,1.138,1.065,1.169,1.466,0.700,1.465,1.409,2.140,0.861,0.647,0.638,4.201,3.458,3.747,3.770,4.369,4.290,4.985,4.250,3.504,3.619,3.016,3.609,3.978,4.447,4.581
294,1.010,0.654,1.465,0.467,1.116,1.043,1.139,1.435,0.687,1.441,1.377,2.105,0.841,0.635,0.623,4.133,3.402,3.689,3.709,4.301,4.226,4.910,4.183,3.449,3.565,2.969,3.554,3.918,4.375,4.512
295,0.993,0.642,1.441,0.463,1.097,1.027,1.126,1.420,0.680,1.419,1.363,2.076,0.832,0.629,0.618,4.079,3.353,3.634,3.660,4.240,4.165,4.842,4.123,3.402,3.516,2.931,3.505,3.870,4.323,4.455
296,0.978,0.627,1.419,0.458,1.079,1.010,1.112,1.400,0.662,1.400,1.340,2.055,0.815,0.614,0.606,4.021,3.310,3.593,3.616,4.190,4.118,4.784,4.079,3.363,3.477,2.897,3.464,3.824,4.275,4.407
297,0.962,0.622,1.397,0.447,1.063,1.000,1.099,1.383,0.659,1.383,1.324,2.029,0.812,0.610,0.593,3.972,3.268,3.546,3.571,4.137,4.065,4.729,4.021,3.321,3.435,2.863,3.424,3.779,4.225,4.360
298,0.947,0.608,1.374,0.436,1.045,0.983,1.082,1.357,0.659,1.361,1.305,2.002,0.795,0.598,0.588,3.911,3.224,3.499,3.523,4.083,4.015,4.664,3.973,3.278,3.391,2.826,3.380,3.732,4.175,4.308
299,0.932,0.601,1.352,0.433,1.027,0.973,1.070,1.344,0.644,1.343,1.287,1.977,0.782,0.588,0.580,3.867,3.179,3.454,3.480,4.028,3.965,4.606,3.921,3.235,3.350,2.790,3.338,3.687,4.123,4.256
300,0.920,0.587,1.335,0.424,1.016,0.961,1.061,1.335,0.639,1.329,1.272,1.959,0.773,0.582,0.570,3.827,3.150,3.422,3.446,3.990,3.927,4.567,3.887,3.201,3.318,2.764,3.307,3.655,4.085,4.220
301,0.907,0.584,1.318,0.424,1.002,0.953,1.049,1.324,0.641,1.313,1.261,1.940,0.764,0.582,0.573,3.785,3.114,3.381,3.406,3.944,3.886,4.517,3.843,3.170,3.283,2.737,3.270,3.616,4.048,4.178
302,0.892,0.572,1.297,0.415,0.985,0.942,1.034,1.298,0.634,1.295,1.240,1.914,0.753,0.570,0.558,3.733,3.071,3.339,3.365,3.893,3.836,4.458,3.794,3.128,3.241,2.700,3.229,3.570,3.999,4.127
303,0.879,0.566,1.277,0.408,0.972,0.934,1.025,1.291,0.623,1.281,1.227,1.893,0.746,0.566,0.558,3.686,3.034,3.297,3.322,3.844,3.790,4.407,3.749,3.091,3.202,2.668,3.187,3.532,3.956,4.083
304,0.865,0.553,1.258,0.404,0.956,0.917,1.013,1.269,0.628,1.265,1.210,1.867,0.740,0.552,0.545,3.636,2.992,3.257,3.281,3.796,3.745,4.353,3.700,3.049,3.163,2.635,3.147,3.490,3.907,4.036
305,0.849,0.543,1.235,0.395,0.939,0.900,0.996,1.252,0.611,1.246,1.188,1.843,0.729,0.544,0.545,3.586,2.949,3.212,3.237,3.741,3.690,4.295,3.651,3.006,3.119,2.597,3.104,3.445,3.854,3.986
306,0.835,0.535,1.214,0.404,0.923,0.892,0.981,1.245,0.618,1.228,1.176,1.821,0.713,0.546,0.538,3.529,2.906,3.168,3.193,3.689,3.642,4.238,3.602,2.965,3.077,2.562,3.059,3.398,3.810,3.933
307,0.820,0.528,1.195,0.390,0.909,0.878,0.968,1.219,0.608,1.211,1.163,1.795,0.702,0.534,0.523,3.483,2.865,3.125,3.152,3.640,3.594,4.182,3.552,2.927,3.034,2.530,3.016,3.357,3.758,3.884
308,0.806,0.517,1.174,0.386,0.892,0.859,0.951,1.201,0.600,1.195,1.136,1.770,0.689,0.526,0.513,3.437,2.822,3.082,3.109,3.588,3.545,4.125,3.508,2.885,2.993,2.491,2.977,3.309,3.708,3.829
309,0.792,0.508,1.154,0.379,0.877,0.849,0.937,1.182,0.587,1.175,1.120,1.743,0.678,0.519,0.505,3.386,2.781,3.037,3.064,3.537,3.494,4.073,3.458,2.845,2.953,2.456,2.932,3.261,3.658,3.780
310,0.777,0.497,1.133,0.370,0.861,0.836,0.924,1.166,0.582,1.158,1.104,1.716,0.667,0.503,0.503,3.335,2.740,2.993,3.018,3.487,3.444,4.014,3.410,2.803,2.909,2.419,2.890,3.215,3.605,3.731
311,0.765,0.489,1.115,0.365,0.847,0.822,0.913,1.149,0.587,1.144,1.087,1.696,0.658,0.499,0.490,3.290,2.701,2.954,2.978,3.438,3.398,3.962,3.368,2.764,2.872,2.385,2.851,3.173,3.562,3.679
312,0.752,0.486,1.097,0.358,0.833,0.815,0.903,1.140,0.577,1.130,1.071,1.673,0.651,0.497,0.493,3.242,2.662,2.915,2.937,3.392,3.355,3.909,3.319,2.726,2.833,2.352,2.808,3.133,3.515,3.638
313,0.737,0.471,1.076,0.349,0.818,0.802,0.884,1.119,0.567,1.109,1.052,1.649,0.647,0.485,0.487,3.191,2.620,2.866,2.893,3.338,3.302,3.856,3.273,2.684,2.790,2.313,2.762,3.081,3.464,3.583
314,0.724,0.465,1.059,0.347,0.805,0.793,0.875,1.101,0.562,1.097,1.037,1.626,0.629,0.473,0.475,3.148,2.583,2.831,2.857,3.295,3.259,3.805,3.227,2.647,2.755,2.282,2.726,3.042,3.420,3.540
315,0.710,0.451,1.039,0.338,0.790,0.778,0.854,1.088,0.557,1.080,1.018,1.603,0.616,0.469,0.467,3.102,2.543,2.790,2.814,3.248,3.210,3.747,3.184,2.608,2.711,2.246,2.682,2.993,3.371,3.489
316,0.699,0.450,1.025,0.345,0.778,0.770,0.854,1.073,0.559,1.065,1.006,1.580,0.620,0.463,0.472,3.063,2.509,2.756,2.777,3.206,3.169,3.703,3.144,2.575,2.679,2.217,2.645,2.962,3.333,3.442
317,0.686,0.439,1.005,0.331,0.764,0.754,0.838,1.057,0.554,1.051,0.988,1.557,0.605,0.459,0.452,3.015,2.468,2.717,2.735,3.155,3.122,3.651,3.098,2.537,2.641,2.178,2.603,2.917,3.288,3.399
318,0.675,0.428,0.988,0.331,0.751,0.741,0.825,1.038,0.536,1.035,0.971,1.536,0.587,0.449,0.437,2.971,2.434,2.677,2.699,3.113,3.079,3.600,3.057,2.503,2.604,2.148,2.566,2.873,3.245,3.351
319,0.665,0.427,0.974,0.324,0.741,0.736,0.818,1.033,0.541,1.021,0.962,1.517,0.589,0.445,0.437,2.938,2.404,2.648,2.669,3.079,3.044,3.562,3.023,2.474,2.574,2.120,2.533,2.842,3.208,3.316
320,0.654,0.422,0.960,0.327,0.729,0.727,0.806,1.012,0.536,1.012,0.947,1.499,0.572,0.437,0.435,2.899,2.370,2.612,2.633,3.037,3.006,3.516,2.983,2.441,2.540,2.092,2.498,2.806,3.166,3.278
321,0.644,0.413,0.946,0.313,0.719,0.719,0.795,1.005,0.523,0.998,0.934,1.482,0.565,0.429,0.432,2.867,2.342,2.584,2.603,3.008,2.969,3.478,2.952,2.415,2.513,2.069,2.467,2.774,3.125,3.242
322,0.636,0.416,0.935,0.320,0.711,0.715,0.799,1.001,0.536,0.995,0.929,1.469,0.563,0.437,0.430,2.837,2.321,2.560,2.577,2.978,2.944,3.450,2.925,2.392,2.490,2.046,2.444,2.750,3.107,3.216
323,0.626,0.407,0.922,0.308,0.700,0.709,0.787,0.985,0.528,0.980,0.919,1.456,0.563,0.431,0.442,2.802,2.289,2.527,2.546,2.941,2.904,3.408,2.890,2.361,2.458,2.020,2.413,2.717,3.065,3.181
324,0.616,0.396,0.910,0.313,0.690,0.695,0.768,0.968,0.518,0.967,0.903,1.432,0.545,0.416,0.410,2.767,2.260,2.498,2.516,2.907,2.872,3.371,2.857,2.333,2.429,1.992,2.381,2.681,3.033,3.147
325,0.595,0.334,0.893,0.222,0.665,0.631,0.738,0.891,0.467,0.956,0.837,1.415,0.439,0.346,0.309,2.750,2.217,2.445,2.475,2.856,2.819,3.304,2.815,2.312,2.407,1.960,2.353,2.629,2.960,3.061
326,0.584,0.322,0.876,0.206,0.654,0.619,0.721,0.885,0.480,0.947,0.826,1.395,0.428,0.340,0.291,2.723,2.187,2.412,2.440,2.820,2.782,3.271,2.778,2.278,2.374,1.929,2.320,2.591,2.919,3.007
327,0.574,0.319,0.863,0.202,0.640,0.603,0.713,0.859,0.451,0.926,0.806,1.378,0.422,0.325,0.274,2.660,2.156,2.375,2.398,2.776,2.737,3.208,2.731,2.248,2.338,1.893,2.279,2.549,2.869,2.969
328,0.561,0.305,0.850,0.202,0.629,0.602,0.707,0.848,0.451,0.917,0.797,1.357,0.404,0.323,0.281,2.627,2.124,2.343,2.375,2.740,2.709,3.165,2.697,2.219,2.303,1.870,2.243,2.516,2.832,2.928
329,0.550,0.297,0.832,0.202,0.618,0.588,0.686,0.835,0.449,0.903,0.780,1.337,0.400,0.317,0.279,2.585,2.086,2.308,2.333,2.696,2.663,3.120,2.659,2.183,2.268,1.839,2.211,2.479,2.789,2.890
330,0.542,0.296,0.819,0.202,0.608,0.587,0.677,0.828,0.454,0.896,0.772,1.329,0.391,0.319,0.274,2.548,2.056,2.275,2.298,2.659,2.620,3.083,2.625,2.153,2.243,1.813,2.176,2.440,2.760,2.850
331,0.531,0.293,0.806,0.188,0.597,0.573,0.665,0.806,0.446,0.881,0.758,1.306,0.380,0.311,0.261,2.506,2.020,2.244,2.268,2.619,2.583,3.035,2.583,2.121,2.207,1.784,2.146,2.408,2.719,2.806
332,0.519,0.285,0.791,0.186,0.585,0.563,0.664,0.793,0.444,0.873,0.746,1.288,0.378,0.301,0.254,2.465,1.990,2.210,2.232,2.582,2.545,2.989,2.546,2.092,2.172,1.757,2.108,2.369,2.677,2.774
333,0.513,0.281,0.778,0.188,0.576,0.551,0.652,0.778,0.451,0.866,0.735,1.275,0.375,0.311,0.264,2.433,1.961,2.178,2.206,2.548,2.512,2.958,2.514,2.062,2.145,1.729,2.081,2.338,2.639,2.732
334,0.504,0.281,0.766,0.193,0.565,0.556,0.650,0.773,0.446,0.850,0.726,1.260,0.371,0.301,0.256,2.397,1.935,2.149,2.170,2.510,2.478,2.916,2.478,2.036,2.115,1.703,2.049,2.304,2.603,2.697
335,0.493,0.271,0.753,0.179,0.555,0.551,0.645,0.767,0.444,0.842,0.710,1.244,0.364,0.295,0.244,2.359,1.900,2.112,2.139,2.472,2.438,2.877,2.438,2.003,2.084,1.678,2.013,2.267,2.566,2.655
336,0.482,0.253,0.738,0.172,0.543,0.536,0.639,0.756,0.426,0.824,0.710,1.223,0.344,0.275,0.234,2.322,1.871,2.079,2.105,2.438,2.397,2.832,2.401,1.974,2.053,1.649,1.984,2.231,2.528,2.614
337,0.476,0.258,0.726,0.168,0.535,0.529,0.633,0.747,0.434,0.822,0.715,1.217,0.347,0.281,0.239,2.290,1.847,2.057,2.078,2.402,2.373,2.795,2.383,1.957,2.025,1.629,1.958,2.214,2.496,2.590
338,0.465,0.249,0.714,0.161,0.524,0.519,0.601,0.712,0.418,0.808,0.681,1.197,0.344,0.271,0.234,2.260,1.817,2.023,2.052,2.369,2.332,2.760,2.346,1.928,1.995,1.600,1.926,2.171,2.463,2.547
339,0.456,0.245,0.700,0.163,0.514,0.510,0.597,0.712,0.421,0.800,0.672,1.184,0.336,0.275,0.224,2.224,1.789,1.994,2.019,2.326,2.295,2.719,2.306,1.891,1.967,1.575,1.894,2.143,2.425,2.504
340,0.447,0.239,0.688,0.159,0.506,0.505,0.589,0.697,0.426,0.789,0.655,1.169,0.325,0.267,0.231,2.187,1.760,1.965,1.990,2.297,2.262,2.677,2.268,1.865,1.939,1.552,1.864,2.109,2.392,2.475
341,0.441,0.233,0.678,0.152,0.497,0.503,0.586,0.688,0.421,0.781,0.647,1.155,0.320,0.261,0.219,2.159,1.738,1.940,1.964,2.269,2.234,2.646,2.241,1.842,1.915,1.531,1.838,2.083,2.364,2.451
342,0.434,0.236,0.670,0.154,0.490,0.495,0.582,0.679,0.421,0.773,0.641,1.146,0.309,0.263,0.214,2.135,1.719,1.919,1.946,2.245,2.209,2.619,2.217,1.821,1.895,1.515,1.819,2.062,2.337,2.416
343,0.426,0.230,0.658,0.147,0.482,0.488,0.576,0.668,0.416,0.766,0.627,1.133,0.309,0.255,0.214,2.106,1.697,1.896,1.922,2.214,2.179,2.586,2.192,1.799,1.871,1.493,1.791,2.035,2.310,2.393
344,0.419,0.226,0.648,0.147,0.474,0.478,0.567,0.657,0.403,0.753,0.620,1.118,0.302,0.251,0.211,2.077,1.674,1.870,1.897,2.187,2.157,2.553,2.164,1.780,1.848,1.474,1.766,2.011,2.279,2.360
345,0.411,0.217,0.637,0.141,0.467,0.473,0.549,0.645,0.410,0.744,0.613,1.105,0.294,0.249,0.201,2.046,1.648,1.847,1.871,2.155,2.122,2.517,2.133,1.755,1.820,1.452,1.741,1.979,2.247,2.331
346,0.403,0.207,0.624,0.134,0.455,0.461,0.536,0.625,0.400,0.732,0.593,1.096,0.276,0.236,0.173,2.017,1.621,1.815,1.841,2.127,2.090,2.483,2.102,1.729,1.793,1.431,1.713,1.949,2.216,2.291
347,0.399,0.213,0.617,0.150,0.453,0.466,0.549,0.627,0.416,0.728,0.593,1.094,0.287,0.245,0.196,1.993,1.600,1.795,1.824,2.099,2.066,2.457,2.075,1.706,1.771,1.409,1.688,1.926,2.192,2.269
348,0.393,0.201,0.606,0.136,0.446,0.448,0.532,0.607,0.403,0.718,0.577,1.078,0.269,0.232,0.183,1.961,1.577,1.764,1.793,2.067,2.031,2.415,2.042,1.680,1.744,1.387,1.662,1.897,2.157,2.243
349,0.384,0.204,0.602,0.136,0.438,0.453,0.532,0.607,0.398,0.712,0.573,1.054,0.280,0.232,0.199,1.937,1.548,1.740,1.767,2.037,2.005,2.385,2.013,1.657,1.720,1.363,1.636,1.869,2.130,2.204
350,0.373,0.198,0.589,0.127,0.424,0.448,0.521,0.594,0.392,0.698,0.559,1.040,0.274,0.222,0.181,1.906,1.524,1.712,1.739,2.007,1.974,2.353,1.984,1.632,1.695,1.343,1.610,1.838,2.097,2.180
351,0.364,0.192,0.576,0.125,0.414,0.437,0.511,0.577,0.398,0.691,0.552,1.026,0.263,0.218,0.176,1.869,1.497,1.682,1.711,1.974,1.940,2.312,1.949,1.604,1.665,1.318,1.580,1.808,2.062,2.138
352,0.356,0.183,0.561,0.118,0.404,0.422,0.504,0.566,0.385,0.678,0.536,1.010,0.245,0.210,0.163,1.832,1.468,1.652,1.681,1.937,1.908,2.271,1.916,1.577,1.634,1.292,1.550,1.776,2.027,2.102
353,0.346,0.177,0.547,0.111,0.395,0.417,0.491,0.550,0.380,0.667,0.521,0.994,0.234,0.198,0.158,1.799,1.440,1.622,1.653,1.903,1.873,2.227,1.882,1.547,1.607,1.267,1.520,1.747,1.990,2.065
354,0.340,0.171,0.537,0.109,0.387,0.409,0.487,0.540,0.382,0.660,0.515,0.980,0.241,0.200,0.158,1.770,1.418,1.596,1.628,1.876,1.843,2.196,1.853,1.526,1.584,1.246,1.495,1.716,1.963,2.041
355,0.332,0.166,0.526,0.109,0.379,0.403,0.475,0.527,0.372,0.651,0.502,0.969,0.230,0.200,0.151,1.742,1.392,1.571,1.602,1.842,1.812,2.166,1.825,1.502,1.557,1.222,1.469,1.688,1.929,2.012
356,0.324,0.163,0.516,0.107,0.370,0.395,0.464,0.520,0.375,0.644,0.494,0.956,0.230,0.192,0.148,1.709,1.365,1.541,1.575,1.811,1.780,2.129,1.792,1.476,1.531,1.201,1.440,1.661,1.898,1.977
357,0.318,0.156,0.505,0.100,0.361,0.392,0.462,0.507,0.369,0.632,0.479,0.940,0.216,0.190,0.143,1.678,1.340,1.513,1.548,1.782,1.754,2.095,1.760,1.451,1.506,1.178,1.412,1.629,1.870,1.942
358,0.309,0.151,0.494,0.098,0.353,0.385,0.452,0.492,0.364,0.624,0.473,0.928,0.203,0.178,0.136,1.646,1.315,1.487,1.521,1.750,1.721,2.058,1.731,1.427,1.479,1.155,1.385,1.603,1.840,1.912
359,0.303,0.148,0.486,0.093,0.346,0.375,0.445,0.483,0.364,0.614,0.465,0.916,0.210,0.176,0.138,1.618,1.292,1.463,1.497,1.718,1.693,2.026,1.701,1.405,1.456,1.138,1.364,1.578,1.811,1.883
360,0.296,0.146,0.478,0.093,0.338,0.375,0.445,0.472,0.372,0.608,0.456,0.907,0.203,0.180,0.133,1.593,1.270,1.439,1.475,1.695,1.668,1.996,1.675,1.384,1.433,1.117,1.341,1.551,1.783,1.853
361,0.290,0.137,0.467,0.091,0.330,0.366,0.433,0.463,0.357,0.598,0.445,0.892,0.199,0.174,0.121,1.565,1.246,1.414,1.451,1.664,1.638,1.965,1.647,1.359,1.410,1.097,1.315,1.524,1.749,1.828
362,0.283,0.136,0.457,0.084,0.323,0.359,0.418,0.452,0.351,0.590,0.432,0.880,0.181,0.162,0.118,1.538,1.226,1.388,1.425,1.637,1.610,1.932,1.618,1.340,1.387,1.075,1.292,1.498,1.723,1.797
363,0.278,0.134,0.451,0.091,0.316,0.354,0.420,0.443,0.364,0.586,0.428,0.869,0.194,0.166,0.121,1.514,1.206,1.369,1.406,1.613,1.591,1.907,1.596,1.320,1.365,1.059,1.271,1.477,1.703,1.774
364,0.272,0.131,0.443,0.084,0.311,0.353,0.414,0.439,0.354,0.581,0.414,0.859,0.181,0.164,0.111,1.495,1.187,1.349,1.387,1.591,1.568,1.884,1.574,1.303,1.348,1.043,1.252,1.456,1.679,1.753
365,0.269,0.127,0.436,0.077,0.305,0.349,0.411,0.428,0.357,0.575,0.416,0.849,0.177,0.158,0.103,1.470,1.171,1.329,1.370,1.569,1.545,1.855,1.552,1.283,1.328,1.027,1.231,1.434,1.658,1.727
366,0.264,0.125,0.432,0.077,0.302,0.344,0.403,0.422,0.354,0.573,0.408,0.843,0.179,0.158,0.108,1.452,1.155,1.315,1.354,1.550,1.526,1.833,1.535,1.269,1.315,1.014,1.216,1.419,1.635,1.710
367,0.258,0.122,0.424,0.073,0.295,0.334,0.394,0.413,0.351,0.566,0.399,0.830,0.163,0.150,0.103,1.431,1.138,1.293,1.335,1.527,1.507,1.806,1.512,1.250,1.295,0.998,1.196,1.399,1.614,1.687
368,0.253,0.119,0.418,0.070,0.289,0.334,0.394,0.408,0.351,0.560,0.395,0.821,0.170,0.146,0.098,1.411,1.121,1.275,1.317,1.506,1.486,1.787,1.489,1.234,1.278,0.982,1.177,1.380,1.596,1.665
369,0.252,0.110,0.411,0.073,0.285,0.341,0.394,0.398,0.341,0.554,0.392,0.822,0.150,0.137,0.121,1.388,1.104,1.260,1.297,1.484,1.463,1.762,1.467,1.218,1.260,0.970,1.160,1.366,1.571,1.645
370,0.246,0.127,0.405,0.100,0.279,0.342,0.403,0.400,0.385,0.554,0.389,0.810,0.181,0.164,0.116,1.368,1.089,1.243,1.284,1.466,1.444,1.738,1.452,1.203,1.244,0.956,1.147,1.349,1.557,1.630
371,0.243,0.099,0.400,0.054,0.271,0.303,0.359,0.369,0.333,0.535,0.361,0.805,0.128,0.119,0.075,1.343,1.065,1.214,1.258,1.436,1.416,1.706,1.419,1.179,1.222,0.933,1.118,1.311,1.517,1.584
372,0.236,0.128,0.397,0.095,0.269,0.344,0.390,0.402,0.395,0.561,0.385,0.801,0.181,0.172,0.133,1.310,1.043,1.189,1.236,1.410,1.394,1.678,1.392,1.160,1.201,0.920,1.096,1.299,1.507,1.576
373,0.230,0.120,0.387,0.082,0.262,0.331,0.380,0.380,0.392,0.546,0.370,0.788,0.166,0.152,0.111,1.283,1.019,1.166,1.213,1.385,1.364,1.650,1.366,1.136,1.177,0.899,1.072,1.269,1.475,1.541
374,0.225,0.120,0.382,0.098,0.256,0.331,0.376,0.385,0.387,0.547,0.370,0.776,0.172,0.158,0.123,1.263,1.002,1.150,1.196,1.361,1.348,1.625,1.345,1.119,1.162,0.886,1.054,1.252,1.458,1.525
375,0.220,0.120,0.375,0.093,0.252,0.329,0.371,0.380,0.392,0.541,0.360,0.768,0.166,0.156,0.121,1.239,0.986,1.127,1.176,1.336,1.324,1.595,1.320,1.100,1.143,0.870,1.034,1.232,1.434,1.502
376,0.217,0.116,0.369,0.091,0.245,0.329,0.367,0.374,0.398,0.534,0.352,0.758,0.168,0.152,0.118,1.219,0.969,1.109,1.159,1.319,1.304,1.574,1.299,1.083,1.125,0.858,1.017,1.210,1.413,1.484
377,0.211,0.111,0.362,0.091,0.240,0.317,0.361,0.363,0.387,0.529,0.343,0.744,0.163,0.156,0.121,1.197,0.953,1.089,1.141,1.296,1.284,1.546,1.277,1.065,1.106,0.840,0.998,1.192,1.393,1.458
378,0.206,0.110,0.356,0.088,0.234,0.317,0.356,0.356,0.392,0.523,0.340,0.736,0.159,0.150,0.116,1.174,0.934,1.069,1.121,1.273,1.259,1.518,1.253,1.047,1.089,0.822,0.979,1.174,1.372,1.437
379,0.202,0.108,0.349,0.093,0.230,0.314,0.348,0.350,0.395,0.518,0.336,0.725,0.159,0.152,0.118,1.154,0.916,1.051,1.103,1.250,1.240,1.494,1.232,1.030,1.069,0.809,0.960,1.154,1.347,1.414
380,0.198,0.105,0.342,0.093,0.224,0.305,0.340,0.345,0.392,0.515,0.327,0.711,0.152,0.144,0.113,1.133,0.899,1.029,1.084,1.227,1.218,1.469,1.210,1.011,1.049,0.792,0.941,1.135,1.323,1.393
381,0.194,0.105,0.339,0.098,0.221,0.310,0.342,0.341,0.392,0.508,0.321,0.705,0.161,0.154,0.118,1.109,0.882,1.015,1.067,1.205,1.201,1.448,1.188,0.999,1.032,0.780,0.929,1.120,1.302,1.370
382,0.188,0.098,0.331,0.084,0.213,0.300,0.329,0.330,0.385,0.497,0.309,0.689,0.139,0.141,0.103,1.088,0.866,0.994,1.051,1.186,1.176,1.419,1.169,0.978,1.015,0.763,0.910,1.096,1.280,1.343
383,0.184,0.093,0.324,0.070,0.209,0.286,0.316,0.315,0.375,0.493,0.305,0.678,0.130,0.131,0.095,1.067,0.848,0.974,1.031,1.161,1.155,1.397,1.144,0.960,0.997,0.748,0.889,1.073,1.258,1.322
384,0.181,0.091,0.321,0.075,0.204,0.285,0.314,0.312,0.377,0.488,0.297,0.671,0.126,0.135,0.101,1.049,0.834,0.959,1.015,1.142,1.138,1.377,1.126,0.946,0.981,0.737,0.873,1.059,1.242,1.307
385,0.177,0.090,0.315,0.073,0.200,0.278,0.306,0.304,0.377,0.484,0.289,0.658,0.128,0.129,0.093,1.031,0.819,0.941,0.999,1.124,1.119,1.354,1.106,0.931,0.965,0.722,0.858,1.040,1.220,1.285
386,0.174,0.087,0.311,0.070,0.197,0.275,0.300,0.301,0.377,0.478,0.284,0.650,0.117,0.123,0.085,1.017,0.807,0.929,0.987,1.109,1.106,1.336,1.092,0.919,0.952,0.713,0.845,1.027,1.204,1.268
387,0.170,0.084,0.305,0.068,0.193,0.273,0.297,0.290,0.372,0.475,0.278,0.643,0.117,0.121,0.085,1.000,0.795,0.913,0.973,1.092,1.089,1.321,1.074,0.905,0.939,0.702,0.832,1.014,1.190,1.255
388,0.169,0.087,0.303,0.075,0.188,0.275,0.298,0.299,0.385,0.467,0.275,0.640,0.126,0.129,0.095,0.985,0.784,0.901,0.963,1.079,1.076,1.304,1.062,0.894,0.928,0.694,0.822,1.003,1.176,1.241
389,0.162,0.082,0.298,0.073,0.183,0.270,0.291,0.286,0.382,0.458,0.272,0.628,0.126,0.127,0.090,0.971,0.772,0.887,0.949,1.062,1.060,1.285,1.046,0.880,0.913,0.683,0.808,0.984,1.163,1.223
390,0.157,0.084,0.287,0.064,0.175,0.264,0.289,0.286,0.382,0.450,0.266,0.601,0.115,0.123,0.070,0.954,0.758,0.873,0.934,1.044,1.045,1.264,1.028,0.868,0.899,0.671,0.793,0.971,1.137,1.201
391,0.159,0.073,0.281,0.054,0.179,0.246,0.279,0.273,0.362,0.460,0.247,0.590,0.113,0.121,0.065,0.940,0.747,0.859,0.920,1.026,1.032,1.245,1.013,0.851,0.883,0.660,0.782,0.947,1.125,1.190
392,0.156,0.073,0.277,0.057,0.178,0.273,0.279,0.275,0.372,0.462,0.244,0.600,0.115,0.125,0.058,0.924,0.737,0.848,0.908,1.018,1.020,1.234,0.998,0.843,0.877,0.646,0.767,0.942,1.100,1.162
393,0.152,0.070,0.275,0.061,0.170,0.237,0.264,0.260,0.364,0.448,0.238,0.596,0.086,0.099,0.065,0.905,0.715,0.825,0.893,0.993,0.994,1.200,0.975,0.825,0.857,0.626,0.748,0.908,1.075,1.132
394,0.148,0.067,0.276,0.054,0.167,0.246,0.268,0.262,0.372,0.445,0.240,0.581,0.084,0.093,0.053,0.892,0.706,0.816,0.879,0.978,0.981,1.188,0.964,0.811,0.846,0.619,0.742,0.904,1.065,1.121
395,0.147,0.066,0.269,0.050,0.163,0.242,0.253,0.249,0.362,0.438,0.235,0.577,0.093,0.101,0.070,0.876,0.692,0.802,0.866,0.961,0.966,1.164,0.945,0.798,0.832,0.613,0.726,0.891,1.055,1.114
396,0.144,0.067,0.266,0.054,0.160,0.239,0.251,0.247,0.362,0.435,0.232,0.569,0.088,0.101,0.063,0.860,0.683,0.787,0.852,0.947,0.951,1.151,0.929,0.786,0.819,0.604,0.714,0.883,1.048,1.104
397,0.140,0.063,0.262,0.052,0.157,0.236,0.249,0.242,0.359,0.431,0.223,0.559,0.086,0.095,0.058,0.845,0.671,0.775,0.840,0.931,0.934,1.134,0.913,0.773,0.807,0.595,0.702,0.871,1.028,1.089
398,0.138,0.063,0.258,0.059,0.155,0.232,0.249,0.242,0.354,0.428,0.217,0.555,0.075,0.091,0.058,0.830,0.661,0.763,0.826,0.917,0.921,1.118,0.898,0.761,0.794,0.585,0.688,0.859,1.017,1.079
399,0.135,0.064,0.253,0.039,0.148,0.231,0.238,0.242,0.351,0.423,0.216,0.548,0.077,0.095,0.055,0.817,0.652,0.753,0.819,0.903,0.908,1.100,0.881,0.747,0.782,0.574,0.676,0.842,0.995,1.059
400,0.132,0.053,0.251,0.043,0.148,0.225,0.234,0.221,0.351,0.421,0.209,0.538,0.073,0.087,0.053,0.802,0.638,0.737,0.805,0.887,0.892,1.079,0.867,0.735,0.769,0.563,0.664,0.830,0.982,1.041
