energy,M6_unweathered,M6_unweathered_fit,energy,M6_weathered,M6_weathered_fit,energy,GRO_top,GRO_top fit,GRO_middle,GRO_middle_fit,GRO_bottom,GRO_bottom_fit
298,0.95726064,1.0468003,298,1.0732378,1.1352847,298,1.0779943,1.1085178,1.0892174,1.1381251,1.0768167,1.1281286
298.1,0.94637792,1.047203,298.1,1.0409915,1.1383603,298.1,1.0456694,1.1106075,1.0982667,1.1411215,1.0930018,1.1307772
298.2,0.97535547,1.0476409,298.2,1.0519494,1.1414451,298.2,1.0845331,1.1127201,1.0881432,1.1441316,1.1081486,1.1334438
298.3,0.98741428,1.0481104,298.3,1.0642594,1.1445286,298.3,1.1100414,1.114847,1.1134505,1.1471446,1.1313695,1.1361186
298.4,0.96011244,1.0486071,298.4,1.0599132,1.1475999,298.4,1.0721534,1.1169794,1.1052901,1.1501496,1.1145184,1.1387914
298.5,0.95341281,1.0491267,298.5,1.0351331,1.1506479,298.5,1.0586311,1.1191085,1.0769682,1.1531353,1.0850695,1.1414516
298.6,0.94830871,1.0496649,298.6,1.0505358,1.1536614,298.6,1.0415552,1.121225,1.0676833,1.1560904,1.0669575,1.1440886
298.7,0.9636707,1.050217,298.7,1.0586519,1.1566289,298.7,1.0826741,1.1233197,1.0867516,1.1590032,1.0987526,1.1466918
298.8,0.96370535,1.0507784,298.8,1.0549539,1.1595392,298.8,1.0752632,1.1253833,1.0792189,1.1618621,1.0761762,1.1492502
298.9,0.97743788,1.0513443,298.9,1.0733105,1.1623809,298.9,1.0477475,1.1274065,1.1039391,1.1646558,1.093344,1.1517531
299,1.006341,1.0519101,299,1.1077922,1.1651427,299,1.0843489,1.1293799,1.1107586,1.1673726,1.0980503,1.1541897
299.1,1.0279417,1.0524711,299.1,1.1282301,1.1678133,299.1,1.0849274,1.1312944,1.1140602,1.1700012,1.0963629,1.1565494
299.2,1.0753102,1.0530224,299.2,1.1650004,1.170382,299.2,1.1311232,1.1331409,1.1847092,1.1725304,1.1447939,1.1588218
299.3,1.0143094,1.0535596,299.3,1.126315,1.1728379,299.3,1.1068969,1.1349106,1.1500881,1.1749494,1.1274232,1.1609967
299.4,1.0312523,1.054078,299.4,1.1191975,1.1751706,299.4,1.1185817,1.1365947,1.1180726,1.1772476,1.1250733,1.163064
299.5,1.0523956,1.0545732,299.5,1.1432925,1.1773703,299.5,1.1192302,1.138185,1.1471699,1.1794146,1.1230222,1.1650143
299.6,1.1103608,1.0550409,299.6,1.2304138,1.1794272,299.6,1.1621535,1.1396734,1.2148557,1.1814409,1.1987972,1.1668383
299.7,1.1794305,1.055477,299.7,1.3176093,1.1813322,299.7,1.2397172,1.1410523,1.283563,1.1833169,1.2364252,1.1685272
299.8,1.2036054,1.0558775,299.8,1.3404604,1.1830768,299.8,1.2289623,1.1423144,1.2928903,1.185034,1.2589547,1.1700729
299.9,1.1987697,1.0562387,299.9,1.3375126,1.1846528,299.9,1.2223089,1.1434529,1.2951799,1.1865839,1.2894201,1.1714674
300,1.1334042,1.0565569,300,1.277024,1.1860528,300,1.2014745,1.1444615,1.2790218,1.1879589,1.2415865,1.1727036
