energy,M6_unweathered,M6_unweathered_fit,energy,M6_weathered,M6_weathered_fit,energy,GRO_top,GRO_top fit,GRO_middle,GRO_middle_fit,GRO_bottom,GRO_bottom_fit
283.3,0.16904817,0.1772361,283.3,0.15376075,0.17086519,283.3,0.20309913,0.20835957,0.19470158,0.20615855,0.20358225,0.2151898
283.4,0.18357697,0.20888567,283.4,0.18514604,0.20127557,283.4,0.22917016,0.2456225,0.22488417,0.24310563,0.23124395,0.25387992
283.5,0.21462848,0.23965002,283.5,0.20786702,0.23087475,283.5,0.25930438,0.28122971,0.24976814,0.2785264,0.26643668,0.29092656
283.6,0.24541615,0.26820206,283.6,0.2351642,0.25840981,283.6,0.29482427,0.31327191,0.2835895,0.31059302,0.30154035,0.32439001
283.7,0.2823255,0.29398235,283.7,0.27179642,0.28336943,283.7,0.32738078,0.34067501,0.3361244,0.33831915,0.35408564,0.35320704
283.8,0.31052789,0.31751314,283.8,0.3034905,0.3062837,283.8,0.35727792,0.36359653,0.36547199,0.36194827,0.37438445,0.37759945
283.9,0.34676859,0.34046512,283.9,0.34109641,0.32878484,283.9,0.38891938,0.38355406,0.39278932,0.3830719,0.40309778,0.3992015
284,0.37723608,0.36539371,284,0.36454898,0.35334882,284,0.41494193,0.40319021,0.41754207,0.40438282,0.42428116,0.42080659
284.1,0.4143985,0.39514807,284.1,0.39036715,0.382721,284.1,0.43376617,0.42567375,0.43701404,0.42906367,0.46430212,0.44573353
284.2,0.43914879,0.43206076,284.2,0.43076921,0.41913034,284.2,0.46064527,0.45385026,0.46878715,0.45992591,0.48166732,0.47693181
284.3,0.49692298,0.4771161,284.3,0.49044958,0.463484,284.3,0.49523587,0.48935159,0.51785628,0.4985114,0.52265643,0.51604633
284.4,0.53692909,0.52933761,284.4,0.51635249,0.5147752,284.4,0.52249577,0.53191681,0.54435041,0.54441263,0.5578356,0.56270788
284.5,0.60241581,0.58560662,284.5,0.59046831,0.56991004,284.5,0.57882472,0.57914612,0.59265997,0.59503602,0.62733723,0.61428237
284.6,0.63875094,0.64102289,284.6,0.63230409,0.62406133,284.6,0.62215459,0.62680275,0.63190368,0.64592487,0.65613192,0.66620008
284.7,0.69427871,0.68976814,284.7,0.67790256,0.67151173,284.7,0.67012282,0.66962462,0.69121835,0.69160149,0.72921574,0.71282335
284.8,0.72983215,0.72627908,284.8,0.70794149,0.70679907,284.8,0.69990372,0.70245161,0.72407444,0.72672855,0.7470595,0.74864607
284.9,0.74365783,0.74642984,284.9,0.70503098,0.7258723,284.9,0.7224671,0.72136961,0.73880456,0.74728265,0.76515567,0.76950728
285,0.71362217,0.74840558,285,0.70691921,0.72694864,285,0.70254477,0.72455732,0.73118471,0.75141737,0.74243794,0.77348524
285.1,0.73564781,0.73303238,285.1,0.69693296,0.71084222,285.1,0.72419809,0.71260688,0.74475432,0.73978106,0.75978248,0.76122915
285.2,0.69515252,0.7034877,285.2,0.6895635,0.68068892,285.2,0.69809046,0.6882485,0.73469764,0.71521972,0.74157831,0.73565592
285.3,0.67508246,0.66449874,285.3,0.6410168,0.64116908,285.3,0.66502822,0.65558923,0.68971688,0.68198056,0.70812756,0.70113126
285.4,0.62099247,0.62127812,285.4,0.59701998,0.59746889,285.4,0.62088804,0.61911356,0.65752581,0.64467489,0.67370336,0.66240122
285.5,0.56881508,0.57850092,285.5,0.55661246,0.55427489,285.5,0.58454375,0.58274325,0.60184107,0.60730873,0.62805796,0.62359275
285.6,0.5363714,0.53958082,285.6,0.49784653,0.51505301,285.6,0.5399735,0.54920323,0.57225304,0.57263681,0.58493758,0.58754677
285.7,0.50677008,0.50638134,285.7,0.47842031,0.48174733,285.7,0.52003744,0.51981676,0.53388159,0.5419654,0.54058414,0.55561349
285.8,0.46594985,0.47935237,285.8,0.44921424,0.45489294,285.8,0.49134694,0.49470646,0.50308641,0.51537657,0.52770473,0.52788221
285.9,0.46087981,0.45796558,285.9,0.44744486,0.43402472,285.9,0.47604825,0.47326395,0.49028592,0.49222757,0.50679009,0.50369462
286,0.45871618,0.44126831,286,0.4340515,0.41821031,286,0.45399801,0.45470097,0.48007351,0.47172783,0.49395244,0.48223849
286.1,0.43457312,0.42838855,286.1,0.41197531,0.40654559,286.1,0.43833334,0.4385144,0.45528551,0.45341783,0.4614452,0.46304025
286.2,0.42240758,0.41887966,286.2,0.40246123,0.39850311,286.2,0.42799304,0.42476098,0.43701174,0.43744221,0.43629939,0.44624565
286.3,0.42152918,0.41286107,286.3,0.40008652,0.3940875,286.3,0.41831464,0.41411172,0.42738521,0.4245888,0.44121825,0.43265956
286.4,0.41188956,0.41096383,286.4,0.38865986,0.39380155,286.4,0.39919436,0.40771231,0.42809862,0.41612536,0.4252361,0.42357807
286.5,0.41055348,0.41411975,286.5,0.38933848,0.39845647,286.5,0.4020843,0.4069057,0.40144965,0.41349699,0.41572588,0.42047838
286.6,0.41405962,0.42324719,286.6,0.39570003,0.40887549,286.6,0.40558876,0.4128825,0.40445729,0.4179559,0.40508038,0.42464062
286.7,0.43936174,0.43889847,286.7,0.42753881,0.42555351,286.7,0.42494066,0.42632905,0.43143329,0.43019647,0.44255688,0.4367765
286.8,0.45890841,0.46094846,286.8,0.45178544,0.44835171,286.8,0.45117385,0.44714797,0.45076185,0.45007139,0.4573712,0.45674201
286.9,0.49553635,0.4884136,286.9,0.48414777,0.47631653,286.9,0.48330187,0.47432853,0.49241735,0.47646496,0.50146427,0.48341072
287,0.52089254,0.51948039,287,0.50978709,0.50770222,287,0.5253196,0.50602906,0.51758322,0.50738435,0.52343402,0.51476846
287.1,0.54056213,0.55177821,287.1,0.53264913,0.54023208,287.1,0.54626291,0.53988997,0.53392921,0.54028607,0.54273482,0.54824595
287.2,0.57254009,0.58285744,287.2,0.57070265,0.57156034,287.2,0.56671808,0.57352609,0.56889597,0.57258662,0.59061946,0.5812362
287.3,0.59073061,0.61075247,287.3,0.59116539,0.59981596,287.3,0.58827725,0.60507277,0.5900128,0.60223184,0.58871301,0.61166922
287.4,0.62507492,0.63445574,287.4,0.61960138,0.62405771,287.4,0.61990261,0.6336146,0.62673187,0.62815426,0.6339422,0.63847003
287.5,0.66289035,0.65413451,287.5,0.63115249,0.64447554,287.5,0.66237963,0.65933847,0.6439303,0.65045823,0.64987422,0.6617383
287.6,0.66804362,0.67099504,287.6,0.67512463,0.66224609,287.6,0.69712304,0.68333094,0.67982457,0.6702487,0.69785326,0.68256546
287.7,0.70827205,0.68681865,287.7,0.68151952,0.67906893,287.7,0.70639678,0.70706239,0.6901278,0.68913918,0.7226813,0.70252761
287.8,0.69589935,0.70331494,287.8,0.6917047,0.69652868,287.8,0.71797395,0.73172033,0.69791043,0.70859298,0.7090795,0.72301355
287.9,0.74273836,0.72150835,287.9,0.74266979,0.71549837,287.9,0.75803183,0.75762094,0.74962889,0.72931961,0.74041964,0.74461563
288,0.77352304,0.74136373,288,0.75025061,0.73578731,288,0.79849066,0.78390895,0.75722428,0.7509333,0.78046808,0.76679564
288.1,0.77480796,0.76176674,288.1,0.75786954,0.75614684,288.1,0.81756043,0.80865568,0.78207175,0.77198664,0.78250463,0.78794048
288.2,0.79283844,0.78084332,288.2,0.77867927,0.77461589,288.2,0.85036655,0.82932152,0.80523713,0.79035644,0.8191189,0.8057819
288.3,0.78680381,0.79648553,288.3,0.78469234,0.78907098,288.3,0.83357305,0.84342369,0.77788454,0.80383837,0.81172697,0.81803037
288.4,0.79534441,0.80689694,288.4,0.78519008,0.79779086,288.4,0.82292577,0.84919216,0.78830496,0.81075073,0.80748819,0.82301399
288.5,0.79519513,0.81099696,288.5,0.7942578,0.79987235,288.5,0.82480141,0.84602757,0.80233986,0.81037461,0.80559643,0.82014057
288.6,0.77308883,0.80861125,288.6,0.75592962,0.79542087,288.6,0.80980623,0.83467334,0.76576882,0.80314775,0.7672095,0.81009418
288.7,0.76750738,0.80047478,288.7,0.76632236,0.7855404,288.7,0.81539605,0.81712937,0.77595472,0.79063479,0.79220051,0.79478699
288.8,0.7775434,0.78813629,288.8,0.77979425,0.77221048,288.8,0.8099618,0.79641154,0.80012213,0.77536424,0.78863805,0.77715984
288.9,0.76240923,0.77384926,288.9,0.75691151,0.75813684,288.9,0.77596515,0.77626688,0.77198465,0.76062374,0.77707397,0.7609296
289,0.77679087,0.76047325,289,0.75907035,0.74660264,289,0.79449564,0.7608955,0.80037473,0.75024722,0.80230681,0.75032416
289.1,0.78575118,0.75133196,289.1,0.78199295,0.74127078,289.1,0.79296933,0.75464759,0.79289406,0.74834965,0.79121733,0.74976747
289.2,0.81444875,0.74992953,289.2,0.8218661,0.74584418,289.2,0.83801279,0.76161059,0.81933316,0.75892083,0.84033318,0.76342996
289.3,0.80534312,0.75945053,289.3,0.79081114,0.76351473,289.3,0.8214855,0.785018,0.82211659,0.78521293,0.82323282,0.79458227
289.4,0.81038711,0.78205956,289.4,0.81134943,0.79622385,289.4,0.81674366,0.82649969,0.81812731,0.82895153,0.8425398,0.844784
289.5,0.83002049,0.81813861,289.5,0.82393744,0.84388153,289.5,0.85454771,0.88531817,0.86475185,0.8895267,0.87731096,0.91306801
289.6,0.83257829,0.86569647,289.6,0.86185967,0.9037872,289.6,0.89036135,0.95783641,0.87583162,0.96342074,0.90049771,0.99538189
289.7,0.85436028,0.92020224,289.7,0.89096878,0.97051284,289.7,0.93468557,1.0374811,0.94149317,1.0441449,0.95138583,1.0845642
289.8,0.90451783,0.97501231,289.8,0.94658997,1.03642,289.8,1.0141296,1.1153753,1.0095998,1.1228617,1.050954,1.1710342
289.9,0.95015449,1.022396,289.9,1.0263795,1.0928084,289.9,1.1207911,1.1816315,1.1155453,1.1896841,1.1865667,1.2441808
290,0.97047248,1.0549732,290,1.0954459,1.1314919,290,1.209916,1.2270824,1.198475,1.2354225,1.2915969,1.2942106
290.1,1.0080485,1.0672302,290.1,1.1334816,1.14644,290.1,1.2594028,1.2450612,1.2929359,1.253386,1.3559547,1.3140407
290.2,1.011226,1.0567326,290.2,1.094751,1.1350748,290.2,1.2249256,1.2327899,1.2358056,1.2407894,1.3231027,1.300767
290.3,1.0028624,1.0247276,290.3,1.0875894,1.0988954,290.3,1.175874,1.1920232,1.1952667,1.1994089,1.2702924,1.2563359
290.4,0.96015937,0.97599878,290.4,1.0222694,1.0432828,290.4,1.1063137,1.1287954,1.126831,1.1353307,1.1539349,1.1872574
290.5,0.95045149,0.91802959,290.5,1.0021969,0.97655548,290.5,1.0604653,1.0523515,1.0834555,1.057876,1.1047281,1.103451
290.6,0.97616181,0.85968296,290.6,0.98368241,0.9085067,290.6,1.0461043,0.97352283,1.0264984,0.97796356,1.0727893,1.0165053
290.7,0.95468355,0.80963702,290.7,0.96683614,0.84869752,290.7,1.0080801,0.90285771,1.0302602,0.90622693,1.0267977,0.93769088
290.8,0.94167055,0.7747573,290.8,0.96051627,0.80471509,290.8,0.99222082,0.84875105,0.98023634,0.85113159,0.98404541,0.87599422
290.9,0.9340071,0.75858672,290.9,0.93893876,0.78059679,290.9,0.96728316,0.81579349,0.98178478,0.81731677,0.99101998,0.83641155
291,0.94669273,0.76045323,291,0.9537015,0.77592402,291,0.98004709,0.80384914,0.96859992,0.80467109,0.97887141,0.81901397
291.1,0.97202958,0.77606305,291.1,0.94581665,0.78644478,291.1,0.9898063,0.80871092,0.97419696,0.80899059,0.99072437,0.81962658
291.2,0.93390414,0.79970373,291.2,0.9629586,0.8063327,291.2,0.98085796,0.82442234,0.97581579,0.82430593,0.98872111,0.83219622
291.3,0.97742135,0.82653779,291.3,0.98249272,0.83054476,291.3,0.97931096,0.84570729,0.98818541,0.84531886,0.98548864,0.85127432
291.4,0.98968107,0.85349936,291.4,0.97167966,0.85577563,291.4,0.99402732,0.8689892,0.98861818,0.86842723,0.99952098,0.87308387
291.5,0.9473229,0.87898965,291.5,0.96918942,0.88019571,291.5,0.98469854,0.89217693,0.96744916,0.89151539,0.97488925,0.8953406
291.6,0.98278819,0.90228889,291.6,0.98948198,0.90288817,291.6,0.99746338,0.91413013,0.99327951,0.91342215,0.99361099,0.91673923
291.7,0.9935078,0.92314522,291.7,0.99638295,0.92344781,291.7,0.99102573,0.93426924,1.0029551,0.93355182,1.0059646,0.93657175
291.8,1.0141997,0.94155828,291.8,1.0060559,0.9417639,291.8,1.0022102,0.95235751,1.0013017,0.95165611,1.0158626,0.95450871
291.9,0.98994275,0.95766764,291.9,0.99886734,0.95790188,291.9,0.98575707,0.96837515,0.97615009,0.96770757,0.99840349,0.97046787
292,1.0276185,0.97168644,292,1.0158586,0.97202834,292,1.0248258,0.98243443,1.0376883,0.98181379,1.0358578,0.98452193
292.1,1.0019948,0.98385696,292.1,0.98453268,0.9843581,292.1,1.0002946,0.99471743,1.0028823,0.99415419,0.98942584,0.99682936
292.2,1.0012014,0.99442081,292.2,0.99254373,0.99511779,292.2,0.99969351,1.0054319,0.99984756,1.0049353,1.0230084,1.0075847
292.3,1.0274982,1.0036013,292.3,1.0078079,1.0045232,292.3,1.0147881,1.0147834,1.0229113,1.0143619,1.0129912,1.0169862
292.4,0.99106387,1.0115947,292.4,1.00248,1.0127675,292.4,0.99653521,1.0229594,0.9927463,1.0226217,0.98964907,1.0252183
292.5,1.0060026,1.0185685,292.5,1.0188078,1.0200174,292.5,1.0003107,1.0301236,0.99025032,1.0298786,0.99911306,1.0324428
292.6,1.0102244,1.0246628,292.6,0.99232536,1.0264133,292.6,0.99750753,1.036415,1.0139875,1.0362719,0.99572847,1.0387983
292.7,1.0294006,1.0299939,292.7,0.99885422,1.0320725,292.7,1.0214575,1.0419497,0.98861426,1.0419182,1.0156799,1.044401
292.8,1.0078733,1.034658,292.8,0.99119723,1.0370925,292.8,0.98846089,1.0468248,0.99171908,1.046915,0.99845084,1.0493478
292.9,1.0237415,1.0387351,292.9,1.0314832,1.0415549,292.9,1.0123347,1.0511212,0.9978135,1.0513437,1.0041724,1.0537202
293,1.0356903,1.0422919,293,1.0230136,1.0455279,293,1.0002551,1.0549067,1.0156938,1.0552728,0.99372527,1.0575863
293.1,1.0062693,1.0453849,293.1,1.0136739,1.0490696,293.1,1.0087102,1.0582392,0.99190108,1.0587604,1.0082843,1.0610043
293.2,0.99049279,1.0480621,293.2,0.99515878,1.0522297,293.2,1.0151518,1.0611678,0.98224223,1.0618566,0.98338757,1.0640238
