date,ammonia_n
YYYY-MM-DD,ppm
2019-10-07,0.00457
2020-05-26,0.002663
2020-07-28,0.00309
2020-10-09,0.00362
2020-10-13,0.009075
2020-10-21,0.0073349999999999995
2020-10-28,0.0007285
2020-11-04,0.00203
2020-11-11,0.00243
2020-11-17,0.0012545
2020-11-25,0.00319
2020-12-03,0.0008600000000000001
2020-12-09,0.002125
2020-12-16,0.0006716
2020-12-26,0.002245
2020-12-31,0.0007769999999999999
2021-01-07,0.002025
2021-01-14,0.0016216000000000002
2021-01-21,0.00036815
2021-01-28,0.001865
2021-02-07,0.0029
2021-02-11,0.000535
2021-02-19,0.00311
2021-02-27,0.0007715
2021-03-05,0.02055
2021-03-12,0.0022199999999999998
2021-03-19,0.0019299999999999999
2021-03-26,0.000368
2021-04-03,0.00586
2021-04-09,0.00279
2021-04-16,0.00487
2021-04-23,0.00689
2021-04-30,0.006395
2021-05-19,0.00494
2021-05-25,0.003965
2021-05-26,0.00597
2021-06-02,0.004785
2021-06-09,0.0022299999999999998
2021-06-16,0.00312
2021-06-23,0.0016445000000000001
2021-06-30,0.0009335
2021-07-07,0.0013
2021-07-14,0.003405
2021-07-21,0.002395
2021-07-28,0.001437
2021-08-04,0.00435
2021-08-11,0.00375
2021-08-18,0.00264
2021-09-01,0.00213
2021-09-08,0.00195
2021-09-15,0.0015999999999999999
2021-09-22,0.0038650000000000004
2021-09-29,0.0023899999999999998
2021-10-05,0.0022185
2021-10-06,0.0006185
2021-10-13,0.00229
2021-10-20,0.0024000000000000002
2021-10-27,0.001142
2021-11-03,0.00414
2021-11-10,0.00083
2021-11-17,0.0038250000000000003
2021-11-24,0.0025050000000000003
2021-12-08,0.00327
2021-12-16,0.002705
2021-12-23,0.002705
