date,ammonia_n
YYYY-MM-DD,ppm
2018-10-05,0.003395
2018-10-12,0.004195
2018-10-18,0.00448
2018-10-25,0.007755000000000001
2018-11-02,0.0
2018-11-10,0.05155
2018-11-17,0.0037550000000000005
2018-12-03,0.0238
2018-12-14,0.0142
2018-12-20,0.0146
2019-02-27,0.0013974999999999999
2019-03-30,0.0076500000000000005
2019-04-18,0.004225
2019-05-08,0.0048435
2019-06-05,0.0062395
2019-06-11,0.0021250000000000006
2019-06-21,0.00421
2019-08-09,0.02425
2019-08-16,0.019299999999999998
2019-08-23,0.01465
2019-08-30,0.01225
2019-09-06,0.008910000000000001
2019-09-13,0.00741
2019-09-20,0.006505
2019-09-27,0.003655
2019-10-04,0.008145
2019-10-11,0.008835
2019-10-19,0.004685
2019-10-25,0.005679999999999999
2019-11-03,0.0034015
2019-11-08,0.003413
2019-11-15,0.005705
2019-11-22,0.0052
2019-12-04,0.00267755
2019-12-12,0.00399
2019-12-20,0.0023315000000000002
2020-01-08,0.006855
2020-01-15,0.00893
2020-01-21,0.011
2020-01-28,0.00668
2020-02-11,0.0
2020-02-20,0.0
2020-03-11,0.0024265000000000003
2020-03-17,0.00693
2020-04-03,0.00247
2020-04-14,0.0
2020-04-24,0.0018
2020-05-22,0.005495
2020-05-29,0.0036100000000000004
2020-06-05,0.003515
2020-06-12,0.0015325
2020-06-19,0.005915
2020-06-26,0.00566
2020-07-02,0.00547
2020-07-10,0.02965
2020-07-17,0.005945000000000001
2020-07-23,0.007690000000000001
2020-07-30,0.006240000000000001
2020-08-07,0.006915
2020-08-14,0.007800000000000001
2020-08-20,0.007750000000000002
2020-08-27,0.005300000000000001
2020-09-03,0.012650000000000002
2020-09-11,0.0020000000000000018
2020-09-18,0.004500000000000002
2020-09-24,0.0052250000000000005
2020-10-01,0.0077350000000000006
2020-10-08,0.003895
2020-10-16,0.00377
2020-10-23,0.00402
2020-10-27,0.002585
2020-11-06,0.0026505
2020-11-13,0.005455
2020-12-04,0.0028565
2021-01-15,0.00093
2021-01-28,0.01205
2021-02-11,0.0018635
2021-03-03,0.0439
2021-03-19,0.00196
2021-03-25,0.004475
2021-04-07,0.000548
2021-05-17,0.00532
2021-05-28,0.00183
2021-06-04,0.00269
2021-06-11,9.7
2021-06-18,2.55
2021-06-24,0.55
2021-07-02,3.9
2021-07-09,2.3000000000000003
2021-07-15,2.05
2021-07-30,0.001052
2021-08-06,0.00268
2021-08-13,0.0005215
2021-08-19,0.0037949999999999998
2021-08-27,0.002625
2021-09-03,3.9
2021-10-01,0.002327
2021-10-07,0.005925
2021-10-22,0.002415
2021-10-27,0.001069
2021-11-03,0.0055650000000000005
2021-11-11,0.034
2022-10-15,0.002065
