date,tdn
YYYY-MM-DD,g.L-1
2017-08-02,74.25
2017-08-02,92.11
2017-08-16,83.27
2017-10-30,102.5
2020-05-26,182.2
2020-10-09,144.20999999999998
2021-05-25,245.4
2021-07-28,165.7
2021-10-05,145.3
