date,ammonia_n
YYYY-MM-DD,ppm
2020-05-22,0.010960000000000001
2020-05-29,0.0156
2020-06-05,0.00703
2020-06-12,0.00237
2020-06-19,0.006855
2020-06-26,0.00347
2020-07-02,0.0
2020-07-10,0.0031750000000000003
2020-07-17,0.0005647499999999999
2020-07-23,0.0045049999999999995
2020-07-30,0.0019950000000000002
2020-08-07,0.00557
2020-08-14,0.000636
2020-08-20,0.0
2020-08-27,0.000884
2020-09-03,0.00093
2020-09-11,0.00133
2020-09-18,0.0029950000000000003
2020-09-24,0.000834
2020-10-01,0.00163
2020-10-16,0.00169
2020-10-23,0.00287
2020-11-06,0.0408
2021-01-21,0.00133
2021-02-17,0.0636
2021-03-10,0.0016
2021-04-14,0.002935
2021-05-19,0.00431
2021-05-28,0.004155000000000001
2021-06-04,0.0015079999999999998
2021-06-11,1.05
2021-06-24,2.45
2021-07-09,3.45
2021-07-15,5.0
2021-07-23,0.002225
2021-07-30,0.001199
2021-08-06,0.004135
2021-08-13,0.0025840000000000004
2021-08-27,0.0038599999999999997
2021-09-03,0.0031130000000000003
2021-10-01,0.006395
2021-10-07,0.0024225
2021-10-22,0.0002635
2021-11-03,0.002035
2021-11-11,0.0008975
2021-12-20,0.00259
