date,calcium,
YYYY-MM-DD,ppb,
5/2/14,48771.99945,48.77199945
5/4/14,41669.12684,41.66912684
5/7/14,36928.68558,36.92868558
5/10/14,41705.86246,41.70586246
5/13/14,46085.16951,46.08516951
5/16/14,33959.48291,33.95948291
5/19/14,36282.57972,36.28257972
5/22/14,34434.32806,34.43432806
5/25/14,32534.53734,32.53453734
5/28/14,31214.39551,31.21439551
5/31/14,29127.25299,29.12725299
6/3/14,29078.27125,29.07827125
6/6/14,29144.69416,29.14469416
6/9/14,30861.49926,30.86149926
6/12/14,28371.62118,28.37162118
6/15/14,29072.47109,29.07247109
6/18/14,28267.59405,28.26759405
6/21/14,27668.99785,27.66899785
6/24/14,28176.90275,28.17690275
6/27/14,27918.20909,27.91820909
6/30/14,27147.68804,27.14768804
7/3/14,27772.44275,27.77244275
7/6/14,28153.00669,28.15300669
7/9/14,28815.26302,28.81526302
7/12/14,30926.75108,30.92675108
7/15/14,31358.38486,31.35838486
7/18/14,32907.73569,32.90773569
7/21/14,33419.8147,33.4198147
7/24/14,33848.62512,33.84862512
7/27/14,35359.31546,35.35931546
7/30/14,34642.44746,34.64244746
8/2/14,35758.70153,35.75870153
8/5/14,37452.12529,37.45212529
8/8/14,38610.25799,38.61025799
8/11/14,40301.24328,40.30124328
8/14/14,40635.52144,40.63552144
8/17/14,41156.9445,41.1569445
8/20/14,40825.30141,40.82530141
8/23/14,39585.03316,39.58503316
8/26/14,41678.40212,41.67840212
8/29/14,38725.59975,38.72559975
9/1/14,43803.91311,43.80391311
9/4/14,44564.76537,44.56476537
9/7/14,44575.15561,44.57515561
9/10/14,34481.06928,34.48106928
9/13/14,41124.4297,41.1244297
9/16/14,43875.42531,43.87542531
9/19/14,44838.39424,44.83839424
9/22/14,41010.02618,41.01002618
9/25/14,43814.45988,43.81445988
9/28/14,44869.27674,44.86927674
10/1/14,43452.09971,43.45209971
10/4/14,44137.28733,44.13728733
10/7/14,43008.42151,43.00842151
10/9/14,43043.80766,43.04380766
10/10/14,42218.71417,42.21871417
10/13/14,43019.64299,43.01964299
10/16/14,42852.72899,42.85272899
10/19/14,43321.12044,43.32112044
10/22/14,39928.09,39.92809
10/23/14,40794.16582,40.79416582
10/24/14,40852.8049,40.8528049
10/25/14,41632.83068,41.63283068
10/26/14,40297.46854,40.29746854
10/27/14,40582.92598,40.58292598
10/28/14,41011.57469,41.01157469
10/29/14,41593.59581,41.59359581
10/30/14,41343.54827,41.34354827
10/31/14,41301.75604,41.30175604
11/1/14,40788.48661,40.78848661
11/2/14,41810.18069,41.81018069
11/3/14,41397.91689,41.39791689
11/4/14,41604.40026,41.60440026
11/5/14,42182.73477,42.18273477
11/6/14,42906.55155,42.90655155
11/7/14,42450.37624,42.45037624
11/8/14,41785.42165,41.78542165
11/9/14,42576.47756,42.57647756
11/10/14,43051.90532,43.05190532
11/11/14,44029.12351,44.02912351
11/12/14,43735.92022,43.73592022
11/13/14,44633.2392,44.6332392
11/14/14,45123.60948,45.12360948
11/15/14,43331.16441,43.33116441
11/16/14,45136.64751,45.13664751
11/17/14,47607.37178,47.60737178
11/18/14,49074.20471,49.07420471
11/19/14,47938.34058,47.93834058
11/20/14,50411.04065,50.41104065
11/21/14,49099.61153,49.09961153
11/22/14,49555.31421,49.55531421
11/23/14,48404.97662,48.40497662
11/24/14,48026.08,48.02608
11/25/14,48167.15951,48.16715951
11/26/14,48299.66333,48.29966333
11/27/14,47970.15603,47.97015603
11/28/14,48868.05293,48.86805293
11/29/14,49060.04818,49.06004818
11/30/14,49579.62255,49.57962255
12/1/14,48968.58964,48.96858964
12/2/14,49586.15431,49.58615431
12/3/14,49474.38975,49.47438975
12/4/14,49069.84422,49.06984422
12/5/14,48987.16208,48.98716208
12/6/14,49691.30175,49.69130175
12/7/14,50227.14119,50.22714119
12/8/14,51347.07495,51.34707495
12/9/14,52939.11628,52.93911628
12/10/14,53255.67856,53.25567856
12/11/14,53470.26243,53.47026243
12/12/14,52776.88163,52.77688163
12/13/14,51869.15998,51.86915998
12/14/14,51230.03132,51.23003132
12/15/14,51153.62875,51.15362875
12/16/14,53147.36212,53.14736212
12/17/14,51819.20999,51.81920999
12/18/14,51378.13478,51.37813478
12/19/14,52199.57662,52.19957662
12/20/14,52596.25631,52.59625631
12/21/14,49427.92628,49.42792628
12/22/14,49526.95749,49.52695749
12/23/14,49589.23581,49.58923581
12/24/14,51098.42677,51.09842677
12/25/14,50971.99683,50.97199683
12/26/14,49864.42955,49.86442955
12/27/14,50094.30153,50.09430153
12/28/14,51230.61962,51.23061962
12/29/14,50545.58891,50.54558891
12/30/14,51343.5604,51.3435604
12/31/14,50726.67356,50.72667356
1/1/15,51136.42988,51.13642988
1/2/15,50721.73329,50.72173329
1/3/15,50914.14392,50.91414392
1/4/15,51357.73818,51.35773818
1/6/15,51452.61791,51.45261791
1/8/15,51594.63429,51.59463429
1/10/15,52790.18495,52.79018495
1/12/15,52018.66254,52.01866254
1/14/15,51482.80011,51.48280011
1/16/15,53218.11181,53.21811181
1/18/15,52438.21717,52.43821717
1/20/15,51528.55005,51.52855005
1/22/15,52801.13656,52.80113656
1/24/15,52490.95627,52.49095627
1/26/15,51842.50914,51.84250914
1/28/15,51501.43096,51.50143096
1/30/15,51790.46276,51.79046276
2/1/15,50811.47405,50.81147405
2/3/15,51085.8891,51.0858891
2/5/15,50907.0817,50.9070817
2/7/15,51517.33853,51.51733853
2/9/15,51522.29994,51.52229994
2/11/15,51223.19308,51.22319308
2/13/15,52927.44042,52.92744042
2/15/15,53168.62148,53.16862148
2/16/15,52866.74711,52.86674711
2/17/15,54438.21559,54.43821559
2/18/15,53580.00543,53.58000543
2/19/15,53103.78302,53.10378302
2/20/15,52229.37556,52.22937556
2/21/15,52017.20274,52.01720274
2/22/15,52252.35492,52.25235492
2/23/15,52316.66853,52.31666853
2/24/15,52120.17532,52.12017532
2/25/15,52378.82219,52.37882219
2/26/15,52539.07195,52.53907195
2/27/15,52002.53183,52.00253183
2/28/15,52431.3832,52.4313832
3/1/15,51617.05476,51.61705476
3/2/15,51307.99296,51.30799296
3/3/15,51521.93716,51.52193716
3/4/15,51499.69947,51.49969947
3/5/15,52414.96047,52.41496047
3/6/15,52546.99877,52.54699877
3/7/15,52374.86177,52.37486177
3/8/15,52185.05577,52.18505577
3/9/15,52405.78727,52.40578727
3/10/15,52353.21613,52.35321613
3/11/15,52599.6602,52.5996602
3/13/15,52587.41104,52.58741104
3/16/15,51781.9771,51.7819771
3/17/15,49331.07207,49.33107207
3/18/15,49297.44117,49.29744117
3/19/15,49810.30019,49.81030019
3/20/15,52253.72587,52.25372587
3/21/15,50317.89058,50.31789058
3/22/15,51651.95173,51.65195173
3/23/15,50612.79665,50.61279665
3/24/15,51436.88894,51.43688894
3/25/15,46553.40961,46.55340961
3/26/15,53886.79435,53.88679435
3/27/15,50579.60087,50.57960087
3/28/15,50268.73996,50.26873996
3/29/15,49054.10708,49.05410708
3/30/15,50188.12654,50.18812654
3/31/15,48370.86638,48.37086638
4/1/15,48077.94621,48.07794621
4/2/15,48181.5977,48.1815977
4/3/15,49068.57501,49.06857501
4/4/15,50588.63101,50.58863101
4/5/15,50744.26493,50.74426493
4/6/15,49729.39839,49.72939839
4/7/15,49730.29397,49.73029397
4/8/15,48782.75914,48.78275914
4/9/15,48567.83139,48.56783139
4/10/15,48645.26985,48.64526985
4/11/15,46757.45345,46.75745345
4/12/15,47320.93217,47.32093217
4/13/15,43234.48051,43.23448051
4/14/15,43323.24451,43.32324451
4/15/15,40532.57116,40.53257116
4/16/15,42467.08454,42.46708454
4/17/15,41832.29368,41.83229368
4/18/15,43696.48142,43.69648142
4/19/15,46032.34587,46.03234587
4/20/15,46684.05245,46.68405245
4/21/15,47046.45334,47.04645334
4/22/15,48987.93666,48.98793666
4/23/15,47102.22087,47.10222087
4/24/15,47114.27192,47.11427192
4/25/15,46631.61594,46.63161594
4/26/15,46721.54078,46.72154078
4/27/15,47993.25969,47.99325969
4/28/15,45232.3368,45.2323368
4/29/15,43567.69663,43.56769663
5/1/15,39907.21641,39.90721641
5/2/15,37769.67939,37.76967939
5/3/15,37421.7879,37.4217879
5/4/15,37184.99209,37.18499209
5/5/15,37676.84908,37.67684908
5/6/15,36998.169,36.998169
5/7/15,38396.63931,38.39663931
5/8/15,38356.84174,38.35684174
5/9/15,39072.91777,39.07291777
5/10/15,40730.07667,40.73007667
5/11/15,41367.63192,41.36763192
5/12/15,41245.43036,41.24543036
5/13/15,41121.31838,41.12131838
5/14/15,39922.71127,39.92271127
5/15/15,38619.386,38.619386
5/16/15,40422.84128,40.42284128
5/17/15,41902.91462,41.90291462
5/18/15,40976.74176,40.97674176
5/19/15,42068.82227,42.06882227
5/20/15,41185.69805,41.18569805
5/21/15,41476.85093,41.47685093
5/22/15,40750.22472,40.75022472
5/23/15,44845.14789,44.84514789
5/24/15,40853.14989,40.85314989
5/25/15,42786.25047,42.78625047
5/26/15,41768.96503,41.76896503
