date,boron
YYYY-MM-DD,ppb
2014-05-02,3.225912
2014-05-04,3.389706
2014-05-07,3.190808
2014-05-10,3.323359
2014-05-13,3.204233
2014-05-16,2.281924
2014-05-19,3.114263
2014-05-22,2.752142
2014-05-25,2.67888
2014-05-28,2.47883
2014-05-31,2.307881
2014-06-03,2.133851
2014-06-06,2.037638
2014-06-09,2.068764
2014-06-12,1.942204
2014-06-15,1.930476
2014-06-18,2.321166
2014-06-21,2.041084
2014-06-24,2.038611
2014-06-27,2.016239
2014-06-30,1.856859
2014-07-03,1.955877
2014-07-06,2.002371
2014-07-09,1.808726
2014-07-12,2.100493
2014-07-15,1.880827
2014-07-18,1.96871
2014-07-21,1.892781
2014-07-24,1.932694
2014-07-27,1.898758
2014-07-30,1.990237
2014-08-02,2.024827
2014-08-05,1.933666
2014-08-08,1.866534
2014-08-11,1.812771
2014-08-14,1.886707
2014-08-17,1.869816
2014-08-20,2.150127
2014-08-23,2.300337
2014-08-26,2.828992801631384
2014-08-29,2.566903204827495
2014-09-01,2.81412282687426
2014-09-04,2.7646307933168703
2014-09-07,4.637728551825296
2014-09-10,2.794814831992221
2014-09-13,2.6296186238354116
2014-09-16,2.5713576166624477
2014-09-19,2.6840982402849605
2014-09-22,3.4747305026712065
2014-09-25,2.716279470390521
2014-09-28,2.69767956547056
2014-10-01,2.599639671263632
2014-10-04,2.421637891400052
2014-10-07,0.9301370775123026
2014-10-09,0.10734201308390957
2014-10-10,0.0
2014-10-13,0.0
2014-10-16,0.0
2014-10-19,0.0
2014-10-22,2.7264113459399457
2014-10-23,2.309484871880135
2014-10-24,2.2239111446132602
2014-10-25,2.291332116665505
2014-10-26,2.3379681792044273
2014-10-27,2.499463432348018
2014-10-28,2.2566673968171074
2014-10-29,2.4320832620048605
2014-10-30,2.2840501177109958
2014-10-31,2.159302279911065
2014-11-01,2.161033153923933
2014-11-02,2.261069753670466
2014-11-03,2.2680634355011526
2014-11-04,2.152622506438614
2014-11-05,2.1393669791585994
2014-11-06,2.0280548967097887
2014-11-07,2.2125277359227535
2014-11-08,2.2271854754714324
2014-11-09,2.3258769356153084
2014-11-10,2.4342294438232273
2014-11-11,2.209220451439552
2014-11-12,2.2026867268406183
2014-11-13,2.122440439450553
2014-11-14,2.195218621139085
2014-11-15,2.1131542437606363
2014-11-16,2.2110519572953553
2014-11-17,2.352864460267607
2014-11-18,2.454549604924344
2014-11-19,2.364359605911326
2014-11-20,1.857973502
2014-11-21,1.6777460246999998
2014-11-22,1.6547639168000001
2014-11-23,1.5318921312
2014-11-24,1.4455124009999998
2014-11-25,1.4180066656
2014-11-26,1.3878840987
2014-11-27,1.3331988956999998
2014-11-28,1.3542480533999999
2014-11-29,1.2832491554999998
2014-11-30,1.2571135392000004
2014-12-01,1.1419515688
2014-12-02,1.1161746636
2014-12-03,1.0837780281
2014-12-04,1.2802057726
2014-12-05,1.0747274813
2014-12-06,1.0827684574
2014-12-07,1.0184503772
2014-12-08,1.0551492315000002
2014-12-09,1.0090245284000001
2014-12-10,0.956079054
2014-12-11,0.9462826197
2014-12-12,0.9153383232
2014-12-13,0.8889130998
2014-12-14,0.8061494130000001
2014-12-15,0.6821378318999999
2014-12-16,0.7665679139999999
2014-12-17,0.6565659273000001
2014-12-18,0.7240544392
2014-12-19,0.5521934519999999
2014-12-20,0.542514794
2014-12-21,2.4321955768000003
2014-12-22,2.4250585216
2014-12-23,2.3823754704000004
2014-12-24,2.5672573646999997
2014-12-25,2.4191671080000003
2014-12-26,2.3813081098000004
2014-12-27,2.3099639249999995
2014-12-28,2.3556609595999998
2014-12-29,2.271296768
2014-12-30,2.4388613788
2014-12-31,2.320557239
2015-01-01,2.2889307671999997
2015-01-02,2.2488569528
2015-01-03,2.2342581
2015-01-04,2.280959397
2015-01-06,2.2798821786
2015-01-08,2.3578400808000004
2015-01-10,2.4174472135
2015-01-12,2.2995489896
2015-01-14,2.6378308928000003
2015-01-16,2.3499382312
2015-01-18,2.3173372208000003
2015-01-20,2.2763657996999997
2015-01-22,2.3239695872000006
2015-01-24,2.233319163
2015-01-26,2.2941392347
2015-01-28,2.2991729816
2015-01-30,2.3392246626
2015-02-01,2.305210368
2015-02-03,2.2829445004999998
2015-02-05,2.480064896
2015-02-07,2.3753647758000005
2015-02-09,2.3972403924
2015-02-11,2.401903378
2015-02-13,2.4162207726
2015-02-15,2.5503588874
2015-02-16,2.6761612866
2015-02-17,2.8213595624
2015-02-18,2.5549332171
2015-02-19,2.6245664723999997
2015-02-20,2.4137022456
2015-02-21,2.5805046249
2015-02-22,2.5816167729000004
2015-02-23,2.5349398209999996
2015-02-24,2.531769128
2015-02-25,2.5641147888
2015-02-26,2.4968817198
2015-02-27,2.4503848005
2015-02-28,2.4233244908000002
2015-03-01,2.383029069
2015-03-02,2.3367676746000003
2015-03-03,2.39558844
2015-03-04,2.3972843902000003
2015-03-05,2.4707118296
2015-03-06,2.4171636134
2015-03-07,2.5113336741000003
2015-03-08,2.4645928398000003
2015-03-09,2.5128018039
2015-03-10,2.4385148891
2015-03-11,2.4485348089
2015-03-13,2.2513203279
2015-03-16,2.1578562459
2015-03-17,2.2674325871999996
2015-03-18,2.1371906358000006
2015-03-19,2.1024006218999998
2015-03-20,2.1017165058
2015-03-21,1.8294967920000003
2015-03-22,1.5056854692
2015-03-23,1.3326980884
2015-03-24,1.1004981614
2015-03-25,0.786651696
2015-03-26,0.8764492815
2015-03-27,0.477103326
2015-03-28,0.495430103
2015-03-29,0.5396326168000001
2015-03-30,0.7707692187999999
2015-03-31,0.6297150229999999
2015-04-01,0.613995347
2015-04-02,0.5652706904
2015-04-03,0.41781798240000007
2015-04-04,0.5271850144
2015-04-05,0.390516465
2015-04-06,3.0854225867
2015-04-07,3.1816968128
2015-04-08,3.19553352
2015-04-09,3.0357753426
2015-04-10,3.2736765152000005
2015-04-11,3.3020589896000003
2015-04-12,3.3598909788
2015-04-13,3.2772622257999995
2015-04-14,3.2561443480000003
2015-04-15,3.1967253704000003
2015-04-16,3.1602601446000005
2015-04-17,2.9121430139999998
2015-04-18,3.0329128531416396
2015-04-19,3.17141544725841
2015-04-20,3.126523093833678
2015-04-21,3.3321386711406435
2015-04-22,3.231426021223488
2015-04-23,3.281977037299584
2015-04-24,3.448639296353832
2015-04-25,3.349370463962369
2015-04-26,3.5338978764322198
2015-04-27,3.37151464934152
2015-04-28,3.087870864
2015-04-29,3.6859638554
2015-05-01,3.6857647647999996
2015-05-02,3.4650561645
2015-05-03,3.5495325243
2015-05-04,3.6318464377999997
2015-05-05,3.9128494104000002
2015-05-06,4.1111589472
2015-05-07,4.6712884356
2015-05-08,5.017591491599999
2015-05-09,4.73061575
2015-05-10,5.098373919
2015-05-11,4.4217961374999994
2015-05-12,4.494718349999999
2015-05-13,4.7095077024
2015-05-14,4.5126578014000005
2015-05-15,4.639267905600001
2015-05-16,4.772188776899999
2015-05-17,4.3307368344
2015-05-18,5.232233604
2015-05-19,4.4382603436
2015-05-20,4.325195432000001
2015-05-21,3.3176308775
2015-05-22,3.3721740416
2015-05-23,3.3280255421000002
2015-05-24,3.2091406532
2015-05-25,3.584722224
2015-05-26,3.1428337682
2015-05-27,3.2702541718000004
2015-05-28,2.8650781509
2015-05-29,2.8666792158000005
2015-05-30,2.7165199649
2015-05-31,2.6755109703
2015-06-01,2.545958586723231
2015-06-02,2.4538178309625542
2015-06-03,2.445837210285678
2015-06-04,2.2507948776552302
2015-06-05,2.1801053365932965
2015-06-06,2.398228293275802
2015-06-07,2.15059534698968
2015-06-08,2.100046542644505
2015-06-09,2.038894200242964
2015-06-10,2.0939791610635408
2015-06-11,2.0590069128926722
2015-06-12,2.051589802800408
2015-06-13,1.985649920605348
2015-06-14,1.9359738856000002
2015-06-15,1.84245093
2015-06-16,1.9980797817
2015-06-17,1.8444526344000003
2015-06-18,1.8947559904000002
2015-06-19,2.0277413477999997
2015-06-20,2.0899359381
2015-06-21,3.6260232515
2015-06-22,4.4552250319999995
2015-06-23,2.3540048685
2015-06-24,2.2580477639999996
2015-06-25,2.3097261215000002
2015-06-26,2.1919195638
2015-06-27,2.2305262395
2015-06-28,2.1798923080000003
2015-06-29,2.122172611
2015-06-30,2.1471889140000004
2015-07-01,2.1312021009
2015-07-02,2.0902082810000002
2015-07-03,2.3322048009
2015-07-04,2.0251115504
2015-07-05,2.0735737728
2015-07-06,2.0064187554000004
2015-07-07,1.9262061686000003
2015-07-08,4.89024
2015-07-09,3.76941
2015-07-10,3.2676100000000003
2015-07-11,2.7495199999999995
2015-07-12,2.39952
2015-07-13,2.23883
2015-07-14,2.0146
2015-07-15,2.01708
2015-07-16,1.73564
2015-07-17,1.5509600000000001
2015-07-18,1.53297
2015-07-19,5.9086300000000005
2015-07-20,4.80014
2015-07-21,4.29979
2015-07-22,4.14233
2015-07-23,3.62249
2015-07-24,3.54124
2015-07-25,3.10259
2015-07-26,3.0733800000000002
2015-07-27,2.90165
