date,zirconium
YYYY-MM-DD,ppb
2015-07-08,0.16931000000000002
2015-07-09,0.15268
2015-07-10,0.16081
2015-07-11,0.20612999999999998
2015-07-12,0.15896
2015-07-13,0.15241
2015-07-14,0.1711
2015-07-15,0.1592
2015-07-16,0.14862
2015-07-17,0.16104000000000002
2015-07-18,0.16096
2015-07-19,0.12791
2015-07-20,0.12281
2015-07-21,0.13098
2015-07-22,0.13063
2015-07-23,0.12771
2015-07-24,0.14588
2015-07-25,0.12686
2015-07-26,0.12635000000000002
2015-07-27,0.11736999999999999
2015-07-28,0.12561
2015-07-29,0.11713
2015-07-30,0.11165
2015-07-31,0.11723
2015-08-01,0.13187000000000001
2015-08-02,0.14966000000000002
2015-08-03,0.12279
2015-08-04,0.12331
2015-08-05,0.12175
2015-08-06,0.20389999999999997
2015-08-07,0.11977
2015-08-08,0.12397
2015-08-09,0.11201
2015-08-10,0.12206
2015-08-11,0.10732
2015-08-12,0.10938
2015-08-13,0.1
2015-08-14,0.09984
2015-08-15,0.11452000000000001
2015-08-16,0.10619999999999999
2015-08-17,0.15511
2015-08-18,0.10597000000000001
2015-08-19,0.11977
2015-08-20,0.13104
2015-08-21,0.09908
2015-08-22,0.11901999999999999
2015-08-23,0.10646
2015-08-24,0.10699
2015-08-25,0.048069999999999995
2015-08-25,0.04537
2015-08-26,0.040569999999999995
2015-08-26,0.07082
2015-08-27,0.053099999999999994
2015-08-27,0.04734000000000001
2015-08-28,0.05488
2015-08-28,4.354839999999999
2015-08-29,0.24965
2015-08-29,0.14195
2015-08-30,0.09375
2015-08-30,0.08274000000000001
2015-08-31,0.06899
2015-08-31,0.058910000000000004
2015-09-01,0.06652
2015-09-01,0.06583
2015-09-02,0.06146
2015-09-02,0.059300000000000005
2015-09-03,0.05885
2015-09-03,0.06424
2015-09-04,0.05745
2015-09-04,0.05554
2015-09-05,0.05466
2015-09-05,0.05454
2015-09-06,0.22459
2015-09-07,0.19736
2015-09-07,1.16789
2015-09-08,0.21176
2015-09-08,0.18183000000000002
2015-09-09,2.53808
2015-09-09,0.24625999999999998
2015-09-10,0.21791000000000002
2015-09-10,0.21924
2015-09-11,0.31466
2015-09-11,0.21065
2015-09-12,2.28073
2015-09-12,0.2833
2015-09-13,0.22024
2015-09-13,0.22176
2015-09-14,0.19874
2015-09-14,0.89665
2015-09-15,0.21916999999999998
2015-09-15,0.20415
2015-09-16,0.19918000000000002
2015-09-16,0.24609999999999999
2015-09-17,0.19008
2015-09-17,0.28177
2015-09-18,0.19211
2015-09-18,0.19251999999999997
2015-09-19,0.07317
2015-09-20,0.0992
2015-09-21,0.08274999999999999
2015-09-22,0.09265000000000001
2015-09-23,0.18489
2015-09-24,0.07385
2015-09-25,0.07514
2015-09-26,0.06885
2015-09-27,0.08935
2015-09-28,0.09061
2015-09-29,0.18800999999999998
2015-09-30,0.0862
2015-10-01,0.058469999999999994
2015-10-02,0.06889
2015-10-03,0.05991
2015-10-04,0.07089
2015-10-05,0.07060999999999999
2015-10-06,0.05136
2015-10-07,0.06158
2015-10-08,0.08595
2015-10-09,0.04707
2015-10-10,0.05215
2015-10-11,0.05866
2015-10-12,0.09050000000000001
2015-10-13,0.14131
2015-10-14,0.17721
2015-10-15,0.08814000000000001
2015-10-16,0.14827
2015-10-17,0.19791
2015-10-18,0.08295999999999999
2015-10-19,0.19147
2015-10-20,0.1334
2015-10-21,0.10725
2015-10-22,0.07411
2015-10-23,0.07629
2015-10-24,0.07407
