date,phosphate
YYYY-MM-DD,uM
2018-02-09,0.0
2018-02-12,0.0
2018-02-15,0.0
2018-02-18,0.0
2018-02-21,0.0
2018-02-24,0.0
2018-02-27,0.0
2018-03-02,0.0
2018-03-05,0.0
2018-03-08,0.0
2018-03-11,0.0
2018-03-14,0.0
2018-03-17,0.0
2018-03-20,0.0
2018-03-23,0.0
2018-03-26,0.0
2018-03-29,0.0
2018-04-01,0.0
2018-04-04,0.0
2018-04-07,0.0
2018-04-10,0.0
2018-04-13,0.0
2018-04-16,0.0
2018-04-18,0.0
2018-04-20,0.0
2018-04-22,0.0
2018-04-24,0.0
2018-04-26,0.0
2018-04-28,0.0
2018-04-30,0.0
2018-05-02,0.0
2018-05-04,0.0
2018-05-06,0.0
2018-05-08,0.0
2018-05-10,0.0
2018-05-12,0.0
2018-05-14,0.0
2018-05-16,0.0
2018-05-18,0.0
2018-05-20,0.0
2018-05-22,0.0
2018-05-24,0.0
2018-05-26,0.0
2018-05-28,0.0
2018-05-30,0.0
2018-06-01,0.0
2018-06-03,0.0
2018-06-05,0.0
2018-06-07,0.0
2018-06-09,0.0
2018-06-11,0.0
2018-06-13,0.0
2018-06-15,0.0
2018-06-17,0.0
2018-06-19,0.0
2018-06-21,0.0
2018-06-23,0.0
2018-06-25,0.0
2018-06-27,0.0
2018-06-29,0.0
2018-07-01,0.0
2018-07-03,0.0
2018-07-05,0.0
2018-07-07,0.0
2018-07-09,0.0
2018-07-11,0.0
2018-07-13,0.0
2018-07-15,0.0
2018-07-17,0.0
2018-07-19,0.0
2018-07-21,0.0
2018-07-23,0.0
2018-07-25,0.0
2018-07-27,0.0
2018-07-29,0.0
2018-07-31,0.0
2018-08-02,0.0
2018-08-04,0.0
2018-08-06,0.0
2018-08-08,0.0
2018-08-10,0.0
2018-08-12,0.0
2018-08-14,0.0
2018-08-16,0.0
2018-08-18,0.0
2018-08-20,0.0
2018-08-22,0.0
2018-08-24,0.0
2018-08-25,0.0
2018-08-26,0.0
2018-08-28,0.0
2018-08-30,0.0
2018-09-01,0.0
2018-09-03,0.0
2018-09-05,0.0
2018-09-07,0.0
2018-09-09,0.0
2018-09-11,0.0
2018-09-13,0.0
2018-09-15,0.0
2018-09-17,0.0
2018-09-19,0.0
2018-09-21,0.0
2018-09-23,0.0
2018-09-25,0.0
2018-09-27,0.0
2018-09-29,0.0
2018-10-01,0.0
2018-10-03,0.0
2018-10-05,0.0
2018-10-07,0.0
2018-10-09,0.0
2018-10-11,0.0
2018-11-16,0.1794
2018-11-19,0.071
2018-11-22,0.1375
2018-11-25,0.1515
2018-11-28,0.0254
2018-12-01,1.296
2018-12-04,0.8603
2018-12-07,0.2416
2018-12-10,0.0129
2018-12-13,0.0859
2018-12-16,0.0
2018-12-19,0.4282
2018-12-22,0.1583
2018-12-25,0.573
2018-12-28,1.6546
2018-12-31,0.0886
2019-01-03,0.0
2019-01-06,0.0495
2019-01-09,0.0
2019-01-12,1.2289
2019-01-15,0.1939
2019-01-18,0.0751
2019-01-21,0.2031
2019-01-24,0.0
2019-01-27,0.0
2019-01-30,0.0
2019-02-02,0.0
2019-02-05,0.0
2019-02-08,0.0
2019-02-11,0.0
2019-02-14,0.0
2019-02-17,0.0
2019-02-20,0.0
2019-02-23,0.0
2019-02-26,0.1325
2019-03-01,0.0
2019-03-04,0.0
2019-03-07,0.0
2019-03-10,0.0
2019-03-13,0.0
2019-03-16,0.0
2019-03-19,0.0
2019-03-22,0.0
2019-03-25,0.1337
2019-03-28,0.0
2019-03-31,0.0
2019-04-03,0.0
2019-04-06,0.0
2019-04-09,0.0
2019-04-12,0.0
2019-04-15,0.0
2019-04-18,0.0
2019-04-21,0.0
2019-04-24,0.0
2019-04-25,0.0
2019-04-27,0.0
2019-04-29,0.0
2019-05-01,0.182
2019-05-03,0.0
2019-05-05,0.0
2019-05-07,0.0
2019-05-09,0.0
2019-05-11,0.0
2019-05-13,0.0
2019-05-15,0.0
2019-05-17,0.0
2019-05-19,0.0
2019-05-21,0.0
2019-05-23,0.0
2019-05-25,0.0
2019-05-27,0.0
2019-05-29,0.0
2019-05-31,0.0
2019-06-02,0.0
2019-06-04,0.0
2019-06-06,0.1492
2019-06-08,0.0
2019-06-10,0.2837
2019-06-11,0.0
2019-06-12,0.1181
2019-06-13,0.0
2019-06-14,0.0
2019-06-15,0.0
2019-06-16,0.0
2019-06-17,0.0
2019-06-18,0.0
2019-06-19,0.1381
2019-06-20,0.2562
2019-06-21,0.1531
2019-06-22,0.0
2019-06-23,0.0
2019-06-24,0.0
2019-06-25,0.0
2019-06-26,0.1453
2019-06-27,0.1251
2019-06-28,0.1558
2019-06-29,0.0
2019-06-30,0.0
2019-07-01,0.0
2019-07-02,0.1983
2019-07-03,0.0
2019-07-04,0.0
2019-07-07,0.0
2019-07-09,0.0
2019-07-11,0.0
2019-07-13,0.0
2019-07-15,0.1682
2019-07-17,0.0
2019-07-19,0.0
2019-07-21,0.0
2019-07-23,0.0
2019-07-25,0.0
2019-07-27,0.1671
2019-07-29,0.0
2019-07-31,0.0
2019-08-02,0.0
2019-08-04,0.0
2019-08-06,0.0
2019-08-08,0.1776
2019-08-10,0.1957
2019-08-12,0.5745
2019-08-14,0.6046
2019-08-18,0.0
2019-08-20,0.0
2019-08-22,0.3705
2019-08-24,0.0
2019-08-26,0.0151
2019-08-28,0.0639
2019-08-30,0.0995
2019-09-01,0.0322
2019-09-03,0.0182
2019-09-05,0.1057
2019-09-07,0.0783
2019-09-09,0.033
2019-09-11,0.0723
2019-09-13,0.0685
2019-09-15,0.1073
2019-09-17,0.0575
2019-09-19,0.0634
