run_id,obs_point_id,obs_y,obs_z,obs_time,DIC_obs,Fe_obs,pH_obs,Ca_obs,DIC_mod,Fe_mod,pH_mod,Ca_mod
000,MCP1-1D,0.5,1.7,2019-06-01,0.00367,6.91e-05,7.45,0.00185,0.0020643453729542968,2.8366001556215326e-07,7.5522429625608165,0.0015446489361392495
000,MCP1-1D,0.5,1.7,2019-06-24,0.00336,4e-05,7.42,0.00149,0.002012375989786284,1.607708123699994e-07,7.637944094035203,0.0012460327093814345
000,MCP1-1D,0.5,1.7,2019-07-11,0.00269,3.35e-05,7.25,0.00142,0.0019251807842249058,1.1474671654554798e-07,7.688604551771701,0.0011356221408549976
000,MCP1-1D,0.5,1.7,2019-07-17,0.00354,3.62e-05,7.5,0.00155,0.0019293450884080275,1.0291962403341972e-07,7.693881950830805,0.001116811753272645
000,MCP1-1D,0.5,1.7,2019-07-22,0.00376,3.08e-05,6.94,0.00148,0.0019399083502172304,1.0773253482656268e-07,7.695085329898709,0.0011069427785514554
000,MCP1-1D,0.5,1.7,2019-08-14,0.00332,8.16e-05,7.157,0.00167,0.0018994515792328552,1.5617592936267896e-07,7.719817325117576,0.0010652249341665215
000,MCP1-1D,0.5,1.7,2019-08-28,0.0032500000000000003,7.98e-05,7.523,0.00163,0.0018696649493024015,2.0681309028693347e-07,7.731131166895199,0.0010560843311479958
000,MCP1-1D,0.5,1.7,2019-09-15,0.0034100000000000003,7.56e-05,7.39,0.00169,0.0018278765869649436,2.449256667443355e-07,7.7454276264073,0.0010505756942478619
000,MCP1-1D,0.5,1.7,2019-09-24,0.00365,8.55e-05,,0.00178,0.001825695437838404,2.6201641251674883e-07,7.7454164690510865,0.0010563119780294952
000,MCP1-2D,16.0,2.0,2019-06-01,0.00229,0.000105,7.49,0.00106,0.000992844735662554,0.0004585386072151434,7.983063645461393,0.0013261996721224791
000,MCP1-2D,16.0,2.0,2019-06-07,0.00267,0.000111,7.48,0.00106,0.0010450059428940318,0.0004534228921586299,7.960964089193379,0.0013190372361198237
000,MCP1-2D,16.0,2.0,2019-06-14,0.0029500000000000004,0.00012,7.29,0.00114,0.0011598836410060818,0.0004147040993159041,7.914911648760258,0.001294468961189364
000,MCP1-2D,16.0,2.0,2019-06-24,0.0030099999999999997,0.000114,7.34,0.00116,0.0013255674737620178,0.00033927424150223686,7.857976728907336,0.001245583526191797
000,MCP1-2D,16.0,2.0,2019-07-01,0.0032300000000000002,0.000119,7.13,0.00125,0.0013125253580674643,0.0003697537171878138,7.869181056376368,0.001239706578092894
000,MCP1-2D,16.0,2.0,2019-07-11,0.00348,0.000115,7.2,0.00127,0.0013320334844905723,0.0003775174057992278,7.872130149048759,0.0012128661244392195
