run_id,obs_point_id,obs_y,obs_z,obs_time,DIC_obs,Fe_obs,pH_obs,Ca_obs,DIC_mod,Fe_mod,pH_mod,Ca_mod
000,MCP1-2D,16.0,2.0,2019-07-17,,0.00014,7.31,0.00146,0.0013098247723237117,0.00041163233210201,7.886667314224493,0.0012065058138843723
000,MCP1-2D,16.0,2.0,2019-07-22,0.00417,9.35e-05,6.96,0.00138,0.0012888613141732157,0.00044133469948400255,7.899941093959603,0.0012014621442052033
000,MCP1-2D,16.0,2.0,2019-08-14,0.00367,0.000179,7.667,0.00162,0.001232766183347057,0.000548878999618277,7.9453483808972205,0.001174245632413931
000,MCP1-2D,16.0,2.0,2019-08-28,0.00394,0.00018,,0.00173,0.0012198650274199997,0.0006025942888244646,7.965577836801314,0.0011530169408368962
000,MCP1-2D,16.0,2.0,2019-09-15,0.0036200000000000004,0.000197,7.34,0.00173,0.001233307810992421,0.0006461160697745349,7.978231055534527,0.001121389113081175
000,MCP1-2D,16.0,2.0,2019-09-24,0.0029900000000000005,0.000169,,0.00146,0.0012418242161661834,0.0006654274223598114,7.984273482104847,0.001103847979391305
000,MCP1-3D,31.0,2.1,2019-06-01,0.00333,0.000181,7.33,0.00163,0.001305123003753294,0.0003500999427814551,7.8196803001356034,0.001411310057126893
000,MCP1-3D,31.0,2.1,2019-06-07,0.00369,6.57e-05,7.41,0.0014,0.0014780642937308078,0.0002853612899355567,7.75346320836157,0.0014220318159626026
000,MCP1-3D,31.0,2.1,2019-06-14,0.0037400000000000003,0.000157,7.26,0.00161,0.0017505949751425982,0.00017073317415398228,7.682761142319726,0.0013671855644289599
000,MCP1-3D,31.0,2.1,2019-06-24,0.00378,0.000141,7.25,0.00155,0.001665326109443813,0.0001719774481122739,7.741183529903392,0.001230323551228163
000,MCP1-3D,31.0,2.1,2019-07-01,0.00385,7.71e-05,7.31,0.00146,0.001516108597357238,0.0002569482331739495,7.792401468641124,0.0012295645889935016
000,MCP1-3D,31.0,2.1,2019-07-22,0.00394,0.000197,7.03,0.00167,0.001529469970769685,0.0002958098483038296,7.79635104799935,0.001220906165255687
000,MCP1-3D,31.0,2.1,2019-08-28,,,7.1,,0.0013650440512148851,0.0004780521633472613,7.885200594412126,0.0011824889928120806
000,MCP1-3D,31.0,2.1,2019-09-15,0.00364,0.000163,7.41,0.00162,0.0014126303209856706,0.00047547410804411346,7.8774272512796335,0.001160392926972641
000,MCP1-3D,31.0,2.1,2019-09-24,0.00384,0.00019,,0.00168,0.0014092656379273317,0.0004924957851420607,7.888639777743156,0.0011382604767917193
000,MCP1-4D,46.0,2.4,2019-07-17,0.00419,0.000168,,0.00162,0.0018135433856573877,7.561932445087317e-05,7.720862465979465,0.0011395014221355767
000,MCP1-5D,60.0,2.5,2019-06-01,0.00422,2.52e-05,7.45,0.00174,0.0025719168824975664,5.994507901127787e-06,7.456080155118478,0.0015973084397247867
000,MCP1-5D,60.0,2.5,2019-06-07,0.00509,1.09e-05,7.44,0.00158,0.002650381079979731,7.634642265057314e-06,7.43004461246048,0.0016579799312588389
000,MCP1-5D,60.0,2.5,2019-06-14,0.00518,1.76e-05,7.29,0.00169,0.0025791827783818804,8.319380740229539e-06,7.453928869256064,0.0015945714197191279
000,MCP1-5D,60.0,2.5,2019-06-24,0.00517,2.2e-05,7.33,0.00161,0.002434986454752843,2.8141641901583117e-06,7.505842585511855,0.0014564121418010735
000,MCP1-5D,60.0,2.5,2019-07-01,0.00531,2e-05,7.51,0.0017,0.002275912229081413,2.113625233276069e-06,7.568981567643967,0.0013216070447073516
000,MCP1-5D,60.0,2.5,2019-07-11,0.00526,7.88e-06,7.33,0.00148,0.002067691723009315,1.6683206549279084e-06,7.6587033174075225,0.0011371851710115712
000,MCP1-5D,60.0,2.5,2019-07-17,0.0052699999999999995,2.14e-05,7.56,0.00175,0.0020319181859823686,3.1696334743585395e-06,7.6680461952190955,0.0011290284690339584
000,MCP1-5D,60.0,2.5,2019-07-22,0.00529,8.54e-06,7.3,0.00152,0.0019809812541514795,3.5044387702869266e-06,7.682540818436129,0.0011173772002083318
000,MCP1-5D,60.0,2.5,2019-08-14,0.00467,2.55e-05,7.678,0.00178,0.0021123293365839626,9.642274481286072e-06,7.657519474164089,0.0011233447048875215
000,MCP1-5D,60.0,2.5,2019-08-28,0.00456,2.68e-05,7.77,0.00175,0.001979056709431999,1.7559931913211336e-05,7.689371300333185,0.0011148866457825065
000,MCP1-5D,60.0,2.5,2019-09-15,0.00428,2.82e-05,7.6,0.00177,0.0019131803031432512,2.3436500210325235e-05,7.713626326749614,0.0010918593621540476
000,MCP1-5D,60.0,2.5,2019-09-24,0.00458,2.5e-05,,0.00179,0.0019275371635144865,2.12133682728196e-05,7.7014232677504,0.0011233084856930593
001,MCP1-1D,0.5,1.7,2019-06-01,0.00367,6.91e-05,7.45,0.00185,0.0020643453729542968,2.8366001556215326e-07,7.5522429625608165,0.0015446489361392495
001,MCP1-1D,0.5,1.7,2019-06-24,0.00336,4e-05,7.42,0.00149,0.002012375989786284,1.607708123699994e-07,7.637944094035203,0.0012460327093814345
001,MCP1-1D,0.5,1.7,2019-07-11,0.00269,3.35e-05,7.25,0.00142,0.0019251807842249058,1.1474671654554798e-07,7.688604551771701,0.0011356221408549976
001,MCP1-1D,0.5,1.7,2019-07-17,0.00354,3.62e-05,7.5,0.00155,0.0019293450884080275,1.0291962403341972e-07,7.693881950830805,0.001116811753272645
001,MCP1-1D,0.5,1.7,2019-07-22,0.00376,3.08e-05,6.94,0.00148,0.0019399083502172304,1.0773253482656268e-07,7.695085329898709,0.0011069427785514554
001,MCP1-1D,0.5,1.7,2019-08-14,0.00332,8.16e-05,7.157,0.00167,0.0018994515792328552,1.5617592936267896e-07,7.719817325117576,0.0010652249341665215
001,MCP1-1D,0.5,1.7,2019-08-28,0.0032500000000000003,7.98e-05,7.523,0.00163,0.0018696649493024015,2.0681309028693347e-07,7.731131166895199,0.0010560843311479958
001,MCP1-1D,0.5,1.7,2019-09-15,0.0034100000000000003,7.56e-05,7.39,0.00169,0.0018278765869649436,2.449256667443355e-07,7.7454276264073,0.0010505756942478619
001,MCP1-1D,0.5,1.7,2019-09-24,0.00365,8.55e-05,,0.00178,0.001825695437838404,2.6201641251674883e-07,7.7454164690510865,0.0010563119780294952
001,MCP1-2D,16.0,2.0,2019-06-01,0.00229,0.000105,7.49,0.00106,0.000992844735662554,0.0004585386072151434,7.983063645461393,0.0013261996721224791
001,MCP1-2D,16.0,2.0,2019-06-07,0.00267,0.000111,7.48,0.00106,0.0010450059428940318,0.0004534228921586299,7.960964089193379,0.0013190372361198237
001,MCP1-2D,16.0,2.0,2019-06-14,0.0029500000000000004,0.00012,7.29,0.00114,0.0011598836410060818,0.0004147040993159041,7.914911648760258,0.001294468961189364
001,MCP1-2D,16.0,2.0,2019-06-24,0.0030099999999999997,0.000114,7.34,0.00116,0.0013255674737620178,0.00033927424150223686,7.857976728907336,0.001245583526191797
001,MCP1-2D,16.0,2.0,2019-07-01,0.0032300000000000002,0.000119,7.13,0.00125,0.0013125253580674643,0.0003697537171878138,7.869181056376368,0.001239706578092894
001,MCP1-2D,16.0,2.0,2019-07-11,0.00348,0.000115,7.2,0.00127,0.0013320334844905723,0.0003775174057992278,7.872130149048759,0.0012128661244392195
001,MCP1-2D,16.0,2.0,2019-07-17,,0.00014,7.31,0.00146,0.0013098247723237117,0.00041163233210201,7.886667314224493,0.0012065058138843723
001,MCP1-2D,16.0,2.0,2019-07-22,0.00417,9.35e-05,6.96,0.00138,0.0012888613141732157,0.00044133469948400255,7.899941093959603,0.0012014621442052033
001,MCP1-2D,16.0,2.0,2019-08-14,0.00367,0.000179,7.667,0.00162,0.001232766183347057,0.000548878999618277,7.9453483808972205,0.001174245632413931
001,MCP1-2D,16.0,2.0,2019-08-28,0.00394,0.00018,,0.00173,0.0012198650274199997,0.0006025942888244646,7.965577836801314,0.0011530169408368962
001,MCP1-2D,16.0,2.0,2019-09-15,0.0036200000000000004,0.000197,7.34,0.00173,0.001233307810992421,0.0006461160697745349,7.978231055534527,0.001121389113081175
001,MCP1-2D,16.0,2.0,2019-09-24,0.0029900000000000005,0.000169,,0.00146,0.0012418242161661834,0.0006654274223598114,7.984273482104847,0.001103847979391305
001,MCP1-3D,31.0,2.1,2019-06-01,0.00333,0.000181,7.33,0.00163,0.001305123003753294,0.0003500999427814551,7.8196803001356034,0.001411310057126893
001,MCP1-3D,31.0,2.1,2019-06-07,0.00369,6.57e-05,7.41,0.0014,0.0014780642937308078,0.0002853612899355567,7.75346320836157,0.0014220318159626026
001,MCP1-3D,31.0,2.1,2019-06-14,0.0037400000000000003,0.000157,7.26,0.00161,0.0017505949751425982,0.00017073317415398228,7.682761142319726,0.0013671855644289599
001,MCP1-3D,31.0,2.1,2019-06-24,0.00378,0.000141,7.25,0.00155,0.001665326109443813,0.0001719774481122739,7.741183529903392,0.001230323551228163
001,MCP1-3D,31.0,2.1,2019-07-01,0.00385,7.71e-05,7.31,0.00146,0.001516108597357238,0.0002569482331739495,7.792401468641124,0.0012295645889935016
001,MCP1-3D,31.0,2.1,2019-07-22,0.00394,0.000197,7.03,0.00167,0.001529469970769685,0.0002958098483038296,7.79635104799935,0.001220906165255687
001,MCP1-3D,31.0,2.1,2019-08-28,,,7.1,,0.0013650440512148851,0.0004780521633472613,7.885200594412126,0.0011824889928120806
001,MCP1-3D,31.0,2.1,2019-09-15,0.00364,0.000163,7.41,0.00162,0.0014126303209856706,0.00047547410804411346,7.8774272512796335,0.001160392926972641
001,MCP1-3D,31.0,2.1,2019-09-24,0.00384,0.00019,,0.00168,0.0014092656379273317,0.0004924957851420607,7.888639777743156,0.0011382604767917193
001,MCP1-4D,46.0,2.4,2019-07-17,0.00419,0.000168,,0.00162,0.0018135433856573877,7.561932445087317e-05,7.720862465979465,0.0011395014221355767
001,MCP1-5D,60.0,2.5,2019-06-01,0.00422,2.52e-05,7.45,0.00174,0.0025719168824975664,5.994507901127787e-06,7.456080155118478,0.0015973084397247867
001,MCP1-5D,60.0,2.5,2019-06-07,0.00509,1.09e-05,7.44,0.00158,0.002650381079979731,7.634642265057314e-06,7.43004461246048,0.0016579799312588389
001,MCP1-5D,60.0,2.5,2019-06-14,0.00518,1.76e-05,7.29,0.00169,0.0025791827783818804,8.319380740229539e-06,7.453928869256064,0.0015945714197191279
001,MCP1-5D,60.0,2.5,2019-06-24,0.00517,2.2e-05,7.33,0.00161,0.002434986454752843,2.8141641901583117e-06,7.505842585511855,0.0014564121418010735
001,MCP1-5D,60.0,2.5,2019-07-01,0.00531,2e-05,7.51,0.0017,0.002275912229081413,2.113625233276069e-06,7.568981567643967,0.0013216070447073516
001,MCP1-5D,60.0,2.5,2019-07-11,0.00526,7.88e-06,7.33,0.00148,0.002067691723009315,1.6683206549279084e-06,7.6587033174075225,0.0011371851710115712
001,MCP1-5D,60.0,2.5,2019-07-17,0.0052699999999999995,2.14e-05,7.56,0.00175,0.0020319181859823686,3.1696334743585395e-06,7.6680461952190955,0.0011290284690339584
001,MCP1-5D,60.0,2.5,2019-07-22,0.00529,8.54e-06,7.3,0.00152,0.0019809812541514795,3.5044387702869266e-06,7.682540818436129,0.0011173772002083318
001,MCP1-5D,60.0,2.5,2019-08-14,0.00467,2.55e-05,7.678,0.00178,0.0021123293365839626,9.642274481286072e-06,7.657519474164089,0.0011233447048875215
001,MCP1-5D,60.0,2.5,2019-08-28,0.00456,2.68e-05,7.77,0.00175,0.001979056709431999,1.7559931913211336e-05,7.689371300333185,0.0011148866457825065
001,MCP1-5D,60.0,2.5,2019-09-15,0.00428,2.82e-05,7.6,0.00177,0.0019131803031432512,2.3436500210325235e-05,7.713626326749614,0.0010918593621540476
001,MCP1-5D,60.0,2.5,2019-09-24,0.00458,2.5e-05,,0.00179,0.0019275371635144865,2.12133682728196e-05,7.7014232677504,0.0011233084856930593
002,MCP1-1D,0.5,1.7,2019-06-01,0.00367,6.91e-05,7.45,0.00185,0.0020599070480626907,2.8366301044409747e-07,7.553199182995378,0.0015443331605641069
002,MCP1-1D,0.5,1.7,2019-06-24,0.00336,4e-05,7.42,0.00149,0.0020088750477434505,1.6055979131363056e-07,7.6387509773432845,0.001245736126655302
002,MCP1-1D,0.5,1.7,2019-07-11,0.00269,3.35e-05,7.25,0.00142,0.0019236561384664362,1.1439849819419454e-07,7.688979485996746,0.00113548698061668
002,MCP1-1D,0.5,1.7,2019-07-17,0.00354,3.62e-05,7.5,0.00155,0.0019277694090102772,1.0257623179828392e-07,7.694267476908679,0.0011166744462390314
002,MCP1-1D,0.5,1.7,2019-07-22,0.00376,3.08e-05,6.94,0.00148,0.00193830199996337,1.0737999349687105e-07,7.695477904828428,0.0011067988820911093
002,MCP1-1D,0.5,1.7,2019-08-14,0.00332,8.16e-05,7.157,0.00167,0.001898208387357651,1.5578008661598542e-07,7.720130726121636,0.0010651086885387039
002,MCP1-1D,0.5,1.7,2019-08-28,0.0032500000000000003,7.98e-05,7.523,0.00163,0.0018684415031780615,2.0634397333083544e-07,7.731445135763299,0.001055968771316953
002,MCP1-1D,0.5,1.7,2019-09-15,0.0034100000000000003,7.56e-05,7.39,0.00169,0.001827092891808314,2.4442642787305844e-07,7.74563403595012,0.0010504989818216524
002,MCP1-1D,0.5,1.7,2019-09-24,0.00365,8.55e-05,,0.00178,0.0018251484315335422,2.615019039843894e-07,7.745560522347343,0.0010562586233563674
002,MCP1-2D,16.0,2.0,2019-06-01,0.00229,0.000105,7.49,0.00106,0.0009925125957014349,0.0004584976627295185,7.983207633832297,0.0013262195711386585
002,MCP1-2D,16.0,2.0,2019-06-07,0.00267,0.000111,7.48,0.00106,0.0010445264348220907,0.000453423744760908,7.961192770207281,0.0013189924863530552
002,MCP1-2D,16.0,2.0,2019-06-14,0.0029500000000000004,0.00012,7.29,0.00114,0.0011590954635462395,0.00041479967752149305,7.9153003822209405,0.0012942831113299557
002,MCP1-2D,16.0,2.0,2019-06-24,0.0030099999999999997,0.000114,7.34,0.00116,0.001323862338912586,0.0003395546162527154,7.8587510266477745,0.001245071719276041
002,MCP1-2D,16.0,2.0,2019-07-01,0.0032300000000000002,0.000119,7.13,0.00125,0.0013109714214724934,0.00036999364615798063,7.869891023159331,0.001239247911269336
002,MCP1-2D,16.0,2.0,2019-07-11,0.00348,0.000115,7.2,0.00127,0.001330990674005383,0.00037764181565272625,7.872583372168236,0.0012126035196059653
002,MCP1-2D,16.0,2.0,2019-07-17,,0.00014,7.31,0.00146,0.0013090114446627306,0.0004117064660206713,7.887015413885202,0.0012063302642430565
002,MCP1-2D,16.0,2.0,2019-07-22,0.00417,9.35e-05,6.96,0.00138,0.001288174548796898,0.00044138361520091305,7.900233517462538,0.0012013328820262728
002,MCP1-2D,16.0,2.0,2019-08-14,0.00367,0.000179,7.667,0.00162,0.0012324990835522259,0.000548840172259908,7.945435663489253,0.0011742692507691528
002,MCP1-2D,16.0,2.0,2019-08-28,0.00394,0.00018,,0.00173,0.0012197562420303131,0.0006025222590842673,7.965580833658576,0.0011530984066196143
002,MCP1-2D,16.0,2.0,2019-09-15,0.0036200000000000004,0.000197,7.34,0.00173,0.001233290662738621,0.0006460225288792219,7.978181364672862,0.0011215065100077725
002,MCP1-2D,16.0,2.0,2019-09-24,0.0029900000000000005,0.000169,,0.00146,0.0012418583813815873,0.0006653199914525849,7.984193015925611,0.0011039876053745075
002,MCP1-3D,31.0,2.1,2019-06-01,0.00333,0.000181,7.33,0.00163,0.0013048077632955859,0.00035006804020299413,7.819780815496617,0.0014113198833916693
002,MCP1-3D,31.0,2.1,2019-06-07,0.00369,6.57e-05,7.41,0.0014,0.0014775487568100935,0.00028535687945507534,7.75362661565601,0.001421988634306803
002,MCP1-3D,31.0,2.1,2019-06-14,0.0037400000000000003,0.000157,7.26,0.00161,0.001750137133495726,0.00017074791404469454,7.6828904194271725,0.001367126779340367
002,MCP1-3D,31.0,2.1,2019-06-24,0.00378,0.000141,7.25,0.00155,0.0016646833458360704,0.00017206560163605925,7.741412625865137,0.0012301525105828603
002,MCP1-3D,31.0,2.1,2019-07-01,0.00385,7.71e-05,7.31,0.00146,0.0015151771593926173,0.0002571062087458493,7.792780639183112,0.0012292752088415718
002,MCP1-3D,31.0,2.1,2019-07-22,0.00394,0.000197,7.03,0.00167,0.001528914949663689,0.0002958717289056977,7.796559672125388,0.0012207756607898977
002,MCP1-3D,31.0,2.1,2019-08-28,,,7.1,,0.0013649047833979864,0.0004779817807351814,7.8852113522307645,0.0011825676079111392
002,MCP1-3D,31.0,2.1,2019-09-15,0.00364,0.000163,7.41,0.00162,0.0014125740865684395,0.00047536744533646235,7.877385890992354,0.0011605256730739123
002,MCP1-3D,31.0,2.1,2019-09-24,0.00384,0.00019,,0.00168,0.0014092578821557505,0.0004923830876143907,7.888576401911587,0.0011384059766251708
002,MCP1-4D,46.0,2.4,2019-07-17,0.00419,0.000168,,0.00162,0.001813300208367845,7.564160597707794e-05,7.7209382125179244,0.0011394513111381997
002,MCP1-5D,60.0,2.5,2019-06-01,0.00422,2.52e-05,7.45,0.00174,0.002571910237949888,5.991764308951897e-06,7.45608027412377,0.001597311450540093
002,MCP1-5D,60.0,2.5,2019-06-07,0.00509,1.09e-05,7.44,0.00158,0.002650369029389326,7.632478386121768e-06,7.4300458109549945,0.0016579819901906567
002,MCP1-5D,60.0,2.5,2019-06-14,0.00518,1.76e-05,7.29,0.00169,0.0025791648238850306,8.318268098252483e-06,7.453931494005472,0.0015945718181674881
002,MCP1-5D,60.0,2.5,2019-06-24,0.00517,2.2e-05,7.33,0.00161,0.0024349719111652146,2.814011123880884e-06,7.505845181662832,0.001456411411418411
002,MCP1-5D,60.0,2.5,2019-07-01,0.00531,2e-05,7.51,0.0017,0.0022759031596248014,2.1138324489482788e-06,7.5689834764436545,0.0013216061285907298
002,MCP1-5D,60.0,2.5,2019-07-11,0.00526,7.88e-06,7.33,0.00148,0.0020676850994116114,1.6689970445509273e-06,7.6587094980947095,0.0011371848603341618
002,MCP1-5D,60.0,2.5,2019-07-17,0.0052699999999999995,2.14e-05,7.56,0.00175,0.0020319028055344416,3.171203418180178e-06,7.668050649311034,0.001129025022554813
002,MCP1-5D,60.0,2.5,2019-07-22,0.00529,8.54e-06,7.3,0.00152,0.0019809658596273818,3.5055407167478005e-06,7.682545033763173,0.0011173746268328534
002,MCP1-5D,60.0,2.5,2019-08-14,0.00467,2.55e-05,7.678,0.00178,0.0021123081896140088,9.640047894488616e-06,7.657523017038376,0.0011233457566977838
002,MCP1-5D,60.0,2.5,2019-08-28,0.00456,2.68e-05,7.77,0.00175,0.0019790322190867955,1.755382365008145e-05,7.68937388721137,0.001114892147458466
002,MCP1-5D,60.0,2.5,2019-09-15,0.00428,2.82e-05,7.6,0.00177,0.0019131597337663448,2.3426356196826712e-05,7.713625851375381,0.0010918702459519884
002,MCP1-5D,60.0,2.5,2019-09-24,0.00458,2.5e-05,,0.00179,0.0019275193462064244,2.1201524423689362e-05,7.7014212785985645,0.0011233217778154048
003,MCP1-1D,0.5,1.7,2019-06-01,0.00367,6.91e-05,7.45,0.00185,0.002059907401266013,2.835607684249433e-07,7.553199056139869,0.0015443333469868147
003,MCP1-1D,0.5,1.7,2019-06-24,0.00336,4e-05,7.42,0.00149,0.002008875249257326,1.6053747879615246e-07,7.638750911154064,0.0012457361952987473
003,MCP1-1D,0.5,1.7,2019-07-11,0.00269,3.35e-05,7.25,0.00142,0.001923656213160498,1.1445482366194037e-07,7.688979489498396,0.001135486936464817
003,MCP1-1D,0.5,1.7,2019-07-17,0.00354,3.62e-05,7.5,0.00155,0.0019277694460556598,1.0265523067588845e-07,7.694267502654428,0.0011166743690012673
003,MCP1-1D,0.5,1.7,2019-07-22,0.00376,3.08e-05,6.94,0.00148,0.0019383020456380628,1.0746290774297827e-07,7.695477930013206,0.0011067988028865532
003,MCP1-1D,0.5,1.7,2019-08-14,0.00332,8.16e-05,7.157,0.00167,0.001898208654967192,1.5575349175628503e-07,7.720130629718068,0.0010651087785904124
003,MCP1-1D,0.5,1.7,2019-08-28,0.0032500000000000003,7.98e-05,7.523,0.00163,0.0018684419296009793,2.0625305773257117e-07,7.731444955811736,0.0010559689675264615
003,MCP1-1D,0.5,1.7,2019-09-15,0.0034100000000000003,7.56e-05,7.39,0.00169,0.001827093434521762,2.442858531381713e-07,7.745633790342835,0.001050499259184747
003,MCP1-1D,0.5,1.7,2019-09-24,0.00365,8.55e-05,,0.00178,0.0018251490151148136,2.613447711994424e-07,7.745560255684627,0.0010562589280772707
003,MCP1-2D,16.0,2.0,2019-06-01,0.00229,0.000105,7.49,0.00106,0.0009934334865899386,0.000458242681913118,7.982583925093225,0.0013267171118962152
003,MCP1-2D,16.0,2.0,2019-06-07,0.00267,0.000111,7.48,0.00106,0.0010454372133626446,0.00045317139387250567,7.960599363890105,0.0013194844346781451
003,MCP1-2D,16.0,2.0,2019-06-14,0.0029500000000000004,0.00012,7.29,0.00114,0.0011599289529296368,0.00041456846616276104,7.914797893422995,0.0012947331222843213
003,MCP1-2D,16.0,2.0,2019-06-24,0.0030099999999999997,0.000114,7.34,0.00116,0.00132450778831247,0.00033939430967729707,7.858405369132026,0.001245398689491505
003,MCP1-2D,16.0,2.0,2019-07-01,0.0032300000000000002,0.000119,7.13,0.00125,0.0013117002881159374,0.00036979879436172696,7.869488847703563,0.0012396314429371565
003,MCP1-2D,16.0,2.0,2019-07-11,0.00348,0.000115,7.2,0.00127,0.0013317479818693947,0.0003774328558859076,7.872163216289099,0.0012130083963522594
003,MCP1-2D,16.0,2.0,2019-07-17,,0.00014,7.31,0.00146,0.0013098401660237968,0.0004114760872401018,7.886546722841896,0.0012067745778986721
003,MCP1-2D,16.0,2.0,2019-07-22,0.00417,9.35e-05,6.96,0.00138,0.0012890640432410587,0.00044113547642586864,7.899721817683831,0.0012018100548095514
003,MCP1-2D,16.0,2.0,2019-08-14,0.00367,0.000179,7.667,0.00162,0.0012336044728945624,0.0005485299325586841,7.944765130196985,0.00117485955492618
003,MCP1-2D,16.0,2.0,2019-08-28,0.00394,0.00018,,0.00173,0.0012209698406833005,0.0006021808674922476,7.964829524029063,0.0011537435132403316
003,MCP1-2D,16.0,2.0,2019-09-15,0.0036200000000000004,0.000197,7.34,0.00173,0.001234593267432938,0.0006456555447472217,7.977369279398575,0.0011221948354171827
003,MCP1-2D,16.0,2.0,2019-09-24,0.0029900000000000005,0.000169,,0.00146,0.0012432014502919441,0.0006649413191380553,7.983353199070629,0.0011046950940236172
003,MCP1-3D,31.0,2.1,2019-06-01,0.00333,0.000181,7.33,0.00163,0.0013055105377508805,0.000349871336871304,7.819407096070061,0.0014117014823779798
003,MCP1-3D,31.0,2.1,2019-06-07,0.00369,6.57e-05,7.41,0.0014,0.0014781170406354084,0.00028519721521742846,7.75335338224187,0.0014222954387432026
003,MCP1-3D,31.0,2.1,2019-06-14,0.0037400000000000003,0.000157,7.26,0.00161,0.0017504739588448666,0.00017065192726831082,7.682745707507004,0.001367307261501621
003,MCP1-3D,31.0,2.1,2019-06-24,0.00378,0.000141,7.25,0.00155,0.0016650252270238076,0.00017196888262320734,7.741253864758141,0.0012303361844780236
003,MCP1-3D,31.0,2.1,2019-07-01,0.00385,7.71e-05,7.31,0.00146,0.001515691210657001,0.0002569618397105484,7.792524234596725,0.001229552000745515
003,MCP1-3D,31.0,2.1,2019-07-22,0.00394,0.000197,7.03,0.00167,0.0015295090956559058,0.00029570458013684626,7.796263024416218,0.0012210950437332685
003,MCP1-3D,31.0,2.1,2019-08-28,,,7.1,,0.0013658771941156766,0.0004777080938365225,7.884669008200811,0.0011830885283649975
003,MCP1-3D,31.0,2.1,2019-09-15,0.00364,0.000163,7.41,0.00162,0.0014135477911916608,0.00047509339026026155,7.8768519654944456,0.0011610458432503338
003,MCP1-3D,31.0,2.1,2019-09-24,0.00384,0.00019,,0.00168,0.0014102709438799212,0.0004920979443944807,7.888014712776259,0.0011389459785438104
003,MCP1-4D,46.0,2.4,2019-07-17,0.00419,0.000168,,0.00162,0.001813450227888143,7.559895154982462e-05,7.720870625594188,0.0011395314898134808
003,MCP1-5D,60.0,2.5,2019-06-01,0.00422,2.52e-05,7.45,0.00174,0.0025719214065930787,5.988383542582609e-06,7.456076844873451,0.0015973172065223546
003,MCP1-5D,60.0,2.5,2019-06-07,0.00509,1.09e-05,7.44,0.00158,0.002650383144330722,7.6281913955099785e-06,7.430041642405492,0.001657989208254951
003,MCP1-5D,60.0,2.5,2019-06-14,0.00518,1.76e-05,7.29,0.00169,0.002579180274328194,8.31362081687676e-06,7.45392676890877,0.0015945797402212355
003,MCP1-5D,60.0,2.5,2019-06-24,0.00517,2.2e-05,7.33,0.00161,0.002434977206527499,2.8124332419813005e-06,7.505843426986667,0.0014564141573300672
003,MCP1-5D,60.0,2.5,2019-07-01,0.00531,2e-05,7.51,0.0017,0.00227590720443961,2.1126425256899574e-06,7.568982008581671,0.0013216082490186134
