Location ID,sample ID,depth_cm bgs,Fe(II)_mmol/g,sd_mmol/g,OC ext_mmol/g,sd_mmol/g,Li_mmol/g,sd_mmol/g,Be_mmol/g,sd_mmol/g,B_mmol/g,sd_mmol/g,Na_mmol/g,sd_mmol/g,Mg_mmol/g,sd_mmol/g,Al_mmol/g,sd_mmol/g,Si_mmol/g,sd_mmol/g,K_mmol/g,sd_mmol/g,V_mmol/g,sd_mmol/g,Cr_mmol/g,sd_mmol/g,Mn_mmol/g,sd_mmol/g,Ca_mmol/g,sd_mmol/g,Fe_mmol/g,sd_mmol/g,Se_mmol/g,sd_mmol/g,Ti_mmol/g,sd_mmol/g,Ni_mmol/g,sd_mmol/g,Co_mmol/g,sd_mmol/g,Cu_mmol/g,sd_mmol/g,Zn_mmol/g,sd_mmol/g,Ge_mmol/g,sd_mmol/g,Rb_mmol/g,sd_mmol/g,Sr_mmol/g,sd_mmol/g,Zr_mmol/g,sd_mmol/g,Mo_mmol/g,sd_mmol/g,Ag_mmol/g,sd_mmol/g,Cd_mmol/g,sd_mmol/g,Sn_mmol/g,sd_mmol/g,Sb_mmol/g,sd_mmol/g,Cs_mmol/g,sd_mmol/g,Ba_mmol/g,sd_mmol/g,Eu_mmol/g,sd_mmol/g,Pb_mmol/g,sd_mmol/g,Th_mmol/g,sd_mmol/g,U_mmol/g,sd_mmol/g,P_mmol/g,sd_mmol/g,As_mmol/g,sd_mmol/g
ER-MZA1,MZA1-1,0-20,0.0361,0.0020,0.120,0.00,1.83E-04,4.89E-06,BDL,BDL,2.24E-04,1.20E-04,-2.33E-03,2.78E-03,8.51E-02,2.05E-03,5.43E-02,7.84E-04,4.09E-02,1.12E-03,4.27E-03,3.28E-04,1.45E-04,3.72E-06,3.34E-05,2.56E-06,4.40E-03,1.36E-04,3.70E-01,2.02E-03,7.38E-02,1.19E-03,BDL,BDL,6.61E-05,8.80E-07,1.65E-04,3.76E-06,6.74E-05,1.63E-06,1.64E-04,1.68E-06,6.66E-04,7.74E-06,BDL,BDL,3.15E-06,2.01E-07,5.15E-04,4.44E-06,7.93E-07,9.10E-09,BDL,BDL,BDL,BDL,1.09E-05,1.61E-07,6.53E-06,2.76E-07,BDL,BDL,BDL,BDL,6.83E-04,5.29E-06,3.67E-06,2.17E-08,1.90E-04,1.15E-06,3.48E-07,2.50E-08,1.59E-06,8.67E-08,1.32E-02,1.31E-04,1.66E-05,4.33E-07
ER-MZA1,MZA1-2,20-29,0.0133,0.0039,0.081,0.00,1.57E-04,5.87E-07,BDL,BDL,BDL,BDL,-3.50E-03,6.52E-04,4.45E-02,3.72E-04,4.66E-02,7.84E-04,3.53E-02,1.14E-04,2.93E-03,3.85E-05,1.10E-04,5.85E-07,1.82E-05,5.46E-07,4.16E-03,2.04E-04,1.88E-01,1.93E-03,6.16E-02,2.02E-04,BDL,BDL,7.50E-05,7.81E-07,1.31E-04,5.00E-06,5.99E-05,1.20E-06,1.11E-04,1.70E-06,4.24E-04,4.90E-06,BDL,BDL,3.11E-06,7.42E-09,2.83E-04,3.11E-06,6.33E-07,2.23E-08,BDL,BDL,BDL,BDL,7.35E-06,1.57E-07,1.57E-06,7.11E-07,BDL,BDL,BDL,BDL,5.59E-04,4.79E-06,3.03E-06,6.10E-08,8.03E-05,2.24E-06,3.72E-07,1.74E-08,1.30E-06,2.13E-08,1.20E-02,5.14E-04,1.60E-05,1.20E-06
ER-MZA1,MZA1-3,45-60,0.0075,0.0000,0.039,0.01,1.91E-04,9.41E-06,BDL,BDL,BDL,BDL,-2.54E-03,6.39E-04,2.40E-02,8.73E-04,4.34E-02,1.39E-03,3.29E-02,7.23E-04,2.03E-03,8.70E-05,8.87E-05,2.28E-06,1.61E-05,8.58E-07,3.51E-03,7.50E-05,1.02E-01,2.22E-03,5.45E-02,2.39E-03,BDL,BDL,8.35E-05,3.40E-06,9.95E-05,1.34E-06,5.59E-05,3.37E-06,6.11E-05,2.07E-06,3.50E-04,1.09E-05,BDL,BDL,4.32E-06,1.21E-07,1.67E-04,1.12E-06,BDL,BDL,BDL,BDL,BDL,BDL,3.95E-06,2.11E-07,9.08E-06,2.39E-06,BDL,BDL,BDL,BDL,5.12E-04,1.09E-05,2.56E-06,7.40E-09,7.04E-05,4.86E-06,7.13E-07,2.89E-08,1.06E-06,7.69E-08,1.22E-02,9.43E-04,1.17E-05,4.79E-07
ER-MZA1,MZA1-4,80-94,0.0074,0.0039,0.026,0.00,1.48E-04,4.99E-06,BDL,BDL,BDL,BDL,-3.97E-03,2.23E-04,2.31E-02,9.03E-04,3.10E-02,2.44E-04,2.78E-02,6.55E-04,1.96E-03,2.48E-06,7.56E-05,6.38E-09,2.17E-05,6.53E-06,3.08E-03,2.43E-05,1.18E-01,8.29E-03,4.53E-02,1.01E-03,BDL,BDL,9.23E-05,2.65E-06,7.41E-05,8.02E-07,4.15E-05,1.38E-09,1.21E-04,6.70E-06,2.75E-04,1.54E-06,BDL,BDL,3.78E-06,7.30E-08,1.48E-04,3.64E-06,BDL,BDL,BDL,BDL,BDL,BDL,3.19E-06,2.16E-07,BDL,BDL,BDL,BDL,BDL,BDL,4.77E-04,1.04E-05,2.17E-06,1.49E-09,3.75E-05,1.86E-06,7.34E-07,4.57E-08,7.69E-07,2.63E-08,1.11E-02,2.81E-04,1.02E-05,3.29E-07
ER-MZA5,MZA5-1,0-18,0.0443,0.0025,0.126,0.00,1.51E-04,7.24E-06,BDL,BDL,7.09E-05,5.91E-07,-4.32E-03,9.12E-05,8.40E-02,1.08E-03,4.52E-02,2.33E-04,3.80E-02,1.29E-04,3.92E-03,3.77E-05,1.40E-04,2.88E-06,2.15E-05,5.60E-07,4.92E-03,1.47E-04,6.49E-01,5.51E-03,6.40E-02,7.99E-04,BDL,BDL,4.75E-05,2.62E-06,1.81E-04,6.33E-06,6.92E-05,2.74E-06,1.81E-04,1.53E-06,5.13E-04,1.72E-05,BDL,BDL,2.26E-06,3.86E-08,8.59E-04,9.03E-06,5.29E-07,3.95E-08,BDL,BDL,BDL,BDL,1.14E-05,2.63E-07,BDL,BDL,BDL,BDL,BDL,BDL,7.94E-04,3.38E-05,3.63E-06,1.64E-07,7.79E-05,1.69E-06,2.61E-07,3.29E-08,1.31E-06,4.50E-08,1.04E-02,6.50E-04,1.22E-05,1.85E-07
ER-MZA5,MZA5-2,18-30,0.0392,0.0031,0.076,0.00,1.52E-04,7.02E-06,BDL,BDL,BDL,BDL,-4.50E-03,1.63E-04,9.28E-02,1.04E-03,4.90E-02,1.11E-03,3.59E-02,3.17E-04,2.38E-03,3.83E-05,1.44E-04,2.50E-06,2.97E-05,1.25E-05,4.35E-03,3.47E-04,8.14E-01,1.36E-02,6.21E-02,1.03E-03,BDL,BDL,3.89E-05,2.50E-06,2.00E-04,1.14E-06,7.14E-05,2.73E-06,1.69E-04,2.01E-06,5.49E-04,1.21E-06,BDL,BDL,2.01E-06,8.76E-10,1.03E-03,1.31E-05,7.01E-07,2.72E-08,BDL,BDL,BDL,BDL,1.17E-05,8.18E-07,1.29E-04,1.33E-05,BDL,BDL,BDL,BDL,8.67E-04,2.29E-05,3.86E-06,3.28E-09,7.25E-04,6.67E-05,2.62E-07,2.95E-08,1.38E-06,7.44E-08,7.05E-03,2.90E-04,7.96E-06,5.56E-07
ER-MZA5,MZA5-3,30-50,0.0455,0.0037,0.066,0.01,2.02E-04,1.13E-05,BDL,BDL,BDL,BDL,-4.49E-03,4.53E-04,6.69E-02,2.33E-03,5.77E-02,2.78E-03,4.13E-02,2.10E-03,1.83E-03,4.50E-05,1.44E-04,5.32E-06,3.09E-05,5.51E-06,2.95E-03,5.52E-04,4.47E-01,4.92E-02,6.23E-02,1.76E-03,BDL,BDL,4.32E-05,5.46E-06,1.90E-04,3.31E-06,6.47E-05,5.92E-07,1.61E-04,1.37E-05,5.64E-04,5.14E-05,BDL,BDL,2.66E-06,2.27E-07,5.99E-04,6.80E-05,4.65E-07,1.12E-09,BDL,BDL,BDL,BDL,1.27E-05,6.80E-07,3.13E-04,3.07E-04,BDL,BDL,BDL,BDL,6.99E-04,2.11E-05,4.03E-06,2.98E-08,8.49E-04,5.37E-04,1.99E-07,2.51E-09,1.55E-06,2.21E-08,9.91E-03,1.10E-03,9.01E-06,2.55E-08
ER-MZA5,MZA5-4,50-70,0.0580,0.0041,0.055,0.00,2.66E-04,2.76E-06,BDL,BDL,BDL,BDL,-5.16E-03,2.25E-04,4.83E-02,8.41E-04,5.93E-02,1.12E-03,4.16E-02,6.64E-04,2.17E-03,1.68E-05,1.73E-04,8.26E-07,3.81E-05,1.55E-06,6.92E-04,1.65E-04,1.85E-01,2.16E-02,5.98E-02,1.74E-03,BDL,BDL,6.15E-05,1.47E-06,1.55E-04,3.94E-06,4.53E-05,8.59E-07,1.29E-04,4.83E-07,9.00E-04,6.39E-06,BDL,BDL,4.29E-06,9.76E-08,2.55E-04,3.13E-05,BDL,BDL,BDL,BDL,BDL,BDL,1.06E-05,1.19E-06,BDL,BDL,BDL,BDL,BDL,BDL,5.08E-04,1.89E-05,3.24E-06,6.34E-08,7.70E-05,2.22E-06,BDL,BDL,1.47E-06,2.27E-07,1.25E-02,5.17E-04,1.39E-05,4.89E-07
ER-MZA5,MZA5-5,70-75,0.0184,0.0028,0.017,0.00,1.92E-04,7.19E-06,BDL,BDL,BDL,BDL,-3.91E-03,3.16E-04,2.78E-02,4.32E-04,3.62E-02,2.32E-04,3.16E-02,6.33E-04,2.15E-03,8.16E-05,7.06E-05,6.13E-07,1.55E-05,8.84E-07,9.48E-04,8.58E-05,1.69E-01,1.80E-03,5.91E-02,2.69E-04,BDL,BDL,6.54E-05,9.32E-07,8.81E-05,2.42E-06,4.72E-05,8.22E-07,6.30E-05,1.59E-06,4.34E-04,2.00E-05,BDL,BDL,3.06E-06,1.84E-07,2.21E-04,1.81E-05,BDL,BDL,BDL,BDL,BDL,BDL,5.75E-06,3.54E-07,5.56E-06,1.96E-06,BDL,BDL,BDL,BDL,4.28E-04,1.65E-05,2.34E-06,1.20E-07,6.49E-05,2.01E-06,2.35E-06,7.08E-08,6.39E-07,2.22E-08,1.17E-02,7.68E-04,8.46E-06,4.07E-07
ER-MZA5,MZA5-6,75-87,0.0576,0.0013,0.038,0.00,2.36E-04,1.45E-05,BDL,BDL,BDL,BDL,-4.73E-03,1.05E-04,4.50E-02,1.32E-03,5.17E-02,6.61E-03,3.82E-02,2.12E-03,2.22E-03,1.65E-04,1.59E-04,8.15E-06,3.72E-05,1.64E-06,2.54E-03,1.95E-04,1.99E-01,8.08E-03,6.08E-02,3.03E-03,BDL,BDL,6.42E-05,4.07E-06,1.35E-04,1.46E-05,4.06E-05,2.75E-06,9.85E-05,1.15E-05,7.72E-04,6.04E-05,BDL,BDL,4.14E-06,1.81E-07,2.54E-04,1.71E-05,BDL,BDL,BDL,BDL,BDL,BDL,9.35E-06,5.68E-07,9.21E-06,5.64E-06,BDL,BDL,BDL,BDL,5.30E-04,4.12E-05,3.03E-06,1.32E-07,1.17E-04,3.10E-05,2.31E-07,1.17E-07,1.76E-06,1.33E-08,1.18E-02,7.05E-04,1.08E-05,7.54E-07
