Location ID,sample ID,depth_cm bgs,Fe(II)_mmol/g,sd_mmol/g,OC ext_mmol/g,sd_mmol/g,Li_mmol/g,sd_mmol/g,Be_mmol/g,sd_mmol/g,B_mmol/g,sd_mmol/g,Na_mmol/g,sd_mmol/g,Mg_mmol/g,sd_mmol/g,Al_mmol/g,sd_mmol/g,Si_mmol/g,sd_mmol/g,K_mmol/g,sd_mmol/g,V_mmol/g,sd_mmol/g,Cr_mmol/g,sd_mmol/g,Mn_mmol/g,sd_mmol/g,Ca_mmol/g,sd_mmol/g,Fe_mmol/g,sd_mmol/g,Se_mmol/g,sd_mmol/g,Ti_mmol/g,sd_mmol/g,Ni_mmol/g,sd_mmol/g,Co_mmol/g,sd_mmol/g,Cu_mmol/g,sd_mmol/g,Zn_mmol/g,sd_mmol/g,Ge_mmol/g,sd_mmol/g,Rb_mmol/g,sd_mmol/g,Sr_mmol/g,sd_mmol/g,Zr_mmol/g,sd_mmol/g,Mo_mmol/g,sd_mmol/g,Ag_mmol/g,sd_mmol/g,Cd_mmol/g,sd_mmol/g,Sn_mmol/g,sd_mmol/g,Sb_mmol/g,sd_mmol/g,Cs_mmol/g,sd_mmol/g,Ba_mmol/g,sd_mmol/g,Eu_mmol/g,sd_mmol/g,Pb_mmol/g,sd_mmol/g,Th_mmol/g,sd_mmol/g,U_mmol/g,sd_mmol/g,P_mmol/g,sd_mmol/g,As_mmol/g,sd_mmol/g
ER-MZA5,MZA5-7,~90,0.0366,0.0081,0.026,0.00,2.57E-04,1.13E-05,BDL,BDL,BDL,BDL,-4.95E-03,3.29E-04,3.88E-02,6.98E-04,5.61E-02,9.63E-04,4.32E-02,9.36E-04,2.72E-03,7.33E-05,1.32E-04,3.94E-06,3.24E-05,5.19E-06,2.40E-03,2.72E-04,1.74E-01,3.23E-03,6.68E-02,2.74E-03,BDL,BDL,8.64E-05,8.84E-07,1.27E-04,1.53E-06,5.50E-05,1.59E-06,1.65E-04,2.49E-05,6.99E-04,3.39E-05,BDL,BDL,5.13E-06,8.77E-08,2.26E-04,6.94E-06,BDL,BDL,BDL,BDL,BDL,BDL,6.73E-06,5.54E-08,BDL,BDL,BDL,BDL,BDL,BDL,5.95E-04,1.11E-05,3.19E-06,2.68E-08,6.54E-05,6.16E-07,1.21E-06,1.91E-08,1.91E-06,4.29E-08,1.52E-02,1.94E-04,1.07E-05,1.14E-06
ER-MZB1,MZB1-1,0-15,0.0724,0.0003,0.110,0.00,1.68E-04,3.63E-06,BDL,BDL,BDL,BDL,-4.33E-03,6.78E-05,9.83E-02,5.20E-03,4.23E-02,1.54E-03,3.51E-02,1.58E-03,3.04E-03,1.98E-04,1.13E-04,5.74E-06,9.46E-05,6.44E-06,4.05E-03,2.64E-04,7.66E-01,4.52E-02,8.13E-02,3.81E-03,BDL,BDL,6.03E-05,7.47E-06,2.10E-04,1.27E-05,6.42E-05,3.23E-06,1.44E-04,9.68E-06,6.93E-04,4.16E-05,BDL,BDL,2.96E-06,2.56E-07,1.09E-03,5.33E-05,BDL,BDL,BDL,BDL,BDL,BDL,1.11E-05,8.80E-07,BDL,BDL,BDL,BDL,BDL,BDL,5.92E-04,3.48E-05,3.54E-06,1.59E-07,1.07E-04,4.60E-06,2.00E-07,9.50E-10,1.77E-06,1.03E-07,1.52E-02,2.29E-05,1.75E-05,3.50E-08
ER-MZB1,MZB1-2,18-33,0.0645,0.0000,0.060,0.00,1.20E-04,6.42E-06,BDL,BDL,BDL,BDL,-3.99E-03,2.61E-05,9.08E-02,8.62E-04,3.86E-02,6.36E-05,3.05E-02,6.94E-05,1.84E-03,1.98E-05,1.06E-04,1.56E-06,2.39E-05,1.21E-07,3.95E-03,6.84E-05,8.13E-01,1.39E-03,7.29E-02,2.00E-03,BDL,BDL,5.16E-05,1.25E-06,1.64E-04,2.39E-06,6.37E-05,4.89E-07,1.55E-04,1.28E-05,6.16E-04,9.86E-07,BDL,BDL,3.03E-06,3.11E-07,1.17E-03,1.63E-05,5.84E-07,3.95E-08,BDL,BDL,BDL,BDL,1.02E-05,4.18E-07,BDL,BDL,BDL,BDL,BDL,BDL,5.99E-04,1.98E-06,3.37E-06,2.38E-08,7.83E-05,9.32E-07,1.44E-07,3.07E-08,1.49E-06,1.55E-08,1.30E-02,3.73E-04,1.46E-05,1.04E-06
ER-MZB1,MZB1-3,33-40,0.0495,0.0009,0.045,0.00,1.46E-04,1.14E-05,BDL,BDL,BDL,BDL,-4.18E-03,9.85E-04,9.60E-02,1.10E-03,4.38E-02,1.55E-04,3.36E-02,4.33E-04,1.77E-03,1.35E-04,1.07E-04,1.07E-06,3.63E-05,9.80E-07,5.18E-03,3.50E-04,8.54E-01,1.96E-02,6.83E-02,1.77E-03,BDL,BDL,5.85E-05,6.71E-06,1.82E-04,3.07E-06,6.84E-05,2.74E-06,1.45E-04,1.69E-06,5.68E-04,1.75E-05,BDL,BDL,3.15E-06,1.76E-07,1.19E-03,1.66E-05,5.81E-07,2.20E-07,BDL,BDL,BDL,BDL,1.01E-05,6.60E-07,BDL,BDL,BDL,BDL,BDL,BDL,6.81E-04,1.27E-05,3.79E-06,5.61E-08,1.03E-04,8.49E-06,2.31E-07,5.06E-08,1.65E-06,4.40E-08,1.41E-02,1.55E-03,1.30E-05,1.82E-07
ER-MZB1,MZB1-4,50-60,0.0359,0.0026,0.042,0.00,1.64E-04,3.86E-06,BDL,BDL,BDL,BDL,2.00E-03,7.91E-04,9.12E-02,6.69E-04,4.82E-02,4.87E-04,3.34E-02,2.01E-04,2.00E-03,3.28E-06,9.99E-05,4.77E-07,2.66E-05,3.31E-07,4.86E-03,2.12E-04,7.27E-01,1.78E-02,5.38E-02,1.32E-03,BDL,BDL,5.57E-05,1.80E-07,1.57E-04,2.36E-06,5.89E-05,2.66E-07,1.56E-04,2.91E-06,5.47E-04,1.35E-06,BDL,BDL,3.01E-06,3.90E-08,1.04E-03,4.41E-06,7.95E-07,1.39E-07,BDL,BDL,BDL,BDL,1.03E-05,1.37E-07,BDL,BDL,BDL,BDL,BDL,BDL,6.90E-04,9.58E-06,3.65E-06,1.77E-08,8.64E-05,4.00E-07,1.63E-07,2.54E-08,1.54E-06,5.36E-09,1.52E-02,3.67E-04,9.96E-06,6.02E-07
ER-MZB3,MZB3-1,0-18,0.0699,0.0041,0.196,0.00,2.22E-04,1.29E-05,BDL,BDL,BDL,BDL,1.34E-03,1.64E-04,1.03E-01,3.91E-03,6.78E-02,2.21E-03,4.76E-02,1.60E-03,3.72E-03,1.33E-04,1.27E-04,3.19E-06,3.83E-05,1.72E-06,4.47E-03,1.38E-04,3.93E-01,1.60E-02,9.18E-02,3.32E-03,BDL,BDL,5.57E-05,6.34E-07,2.16E-04,3.66E-06,7.71E-05,2.50E-06,2.18E-04,1.58E-06,8.11E-04,5.92E-06,BDL,BDL,3.40E-06,2.29E-08,4.99E-04,1.71E-05,1.27E-06,4.43E-08,BDL,BDL,BDL,BDL,1.33E-05,5.06E-07,BDL,BDL,BDL,BDL,BDL,BDL,8.08E-04,1.97E-05,3.78E-06,6.15E-08,1.12E-04,2.56E-06,BDL,BDL,1.49E-06,3.28E-08,1.66E-02,6.93E-04,1.82E-05,1.42E-06
ER-MZB3,MZB3-2,18-40,0.0282,0.0043,0.050,0.00,1.82E-04,3.44E-06,BDL,BDL,BDL,BDL,1.67E-03,8.35E-04,1.05E-01,4.71E-04,5.66E-02,1.91E-04,3.97E-02,6.10E-04,1.78E-03,1.52E-05,1.15E-04,5.65E-07,3.03E-05,6.15E-07,2.54E-03,2.18E-05,6.47E-01,6.73E-03,6.39E-02,6.74E-04,BDL,BDL,6.08E-05,8.76E-07,1.68E-04,1.50E-06,6.14E-05,4.07E-07,1.66E-04,1.43E-05,5.78E-04,5.69E-05,BDL,BDL,3.48E-06,1.72E-07,8.41E-04,7.85E-06,9.23E-07,2.82E-07,BDL,BDL,BDL,BDL,1.06E-05,4.22E-07,BDL,BDL,BDL,BDL,BDL,BDL,6.82E-04,6.78E-08,4.07E-06,2.81E-08,8.12E-05,4.02E-07,4.56E-07,9.15E-09,1.68E-06,2.56E-08,1.66E-02,3.52E-04,1.02E-05,1.85E-07
ER-MZB5,MZB5-1,0-15,0.0713,0.0031,0.186,0.00,1.73E-04,7.78E-06,BDL,BDL,BDL,BDL,1.97E-03,1.10E-03,8.95E-02,2.14E-04,4.99E-02,1.38E-03,3.66E-02,9.76E-04,3.58E-03,4.05E-05,1.10E-04,2.38E-06,2.57E-05,1.13E-06,4.49E-03,1.80E-05,7.27E-01,5.65E-03,7.89E-02,1.18E-03,BDL,BDL,3.91E-05,5.42E-06,1.70E-04,3.18E-06,6.92E-05,4.06E-07,1.35E-04,1.09E-06,8.07E-04,2.64E-05,BDL,BDL,2.92E-06,1.33E-08,1.02E-03,6.78E-06,1.26E-06,1.40E-07,BDL,BDL,BDL,BDL,1.27E-05,2.44E-07,2.14E-04,8.00E-05,BDL,BDL,BDL,BDL,7.66E-04,6.33E-06,3.13E-06,7.83E-08,1.18E-03,6.71E-04,BDL,BDL,1.11E-06,1.94E-08,1.27E-02,1.25E-03,1.47E-05,3.36E-07
ER-MZB5,MZB5-2,18-30,0.0529,0.0018,0.059,0.01,1.57E-04,8.59E-06,BDL,BDL,BDL,BDL,1.11E-03,4.39E-05,7.95E-02,5.58E-04,4.51E-02,7.18E-04,3.30E-02,8.19E-04,2.20E-03,4.36E-04,1.08E-04,8.20E-07,2.90E-05,3.33E-07,2.81E-03,2.15E-04,7.52E-01,7.33E-03,7.54E-02,1.50E-03,BDL,BDL,5.95E-05,1.80E-06,1.60E-04,3.07E-06,6.25E-05,2.37E-06,1.36E-04,2.49E-06,5.70E-04,1.27E-05,BDL,BDL,3.27E-06,1.84E-07,1.09E-03,8.20E-06,1.03E-06,1.33E-07,BDL,BDL,BDL,BDL,1.08E-05,1.64E-07,7.62E-06,6.64E-06,BDL,BDL,BDL,BDL,7.46E-04,2.19E-06,3.57E-06,4.41E-09,1.28E-04,3.02E-05,2.16E-07,5.01E-08,1.58E-06,1.08E-07,1.44E-02,4.57E-04,1.30E-05,4.85E-07
ER-MZB5,MZB5-3,30-55,0.0502,0.0016,0.069,0.00,1.18E-03,1.37E-03,BDL,BDL,BDL,BDL,7.01E-03,7.88E-03,3.21E-01,3.66E-01,2.67E-01,3.00E-01,2.01E-01,2.28E-01,1.02E-02,1.13E-02,5.66E-04,6.35E-04,1.46E-04,1.68E-04,1.67E-02,1.92E-02,1.97E+00,2.21E+00,4.12E-01,4.58E-01,BDL,BDL,4.20E-04,4.91E-04,9.76E-04,1.12E-03,3.91E-04,4.45E-04,7.85E-04,8.96E-04,3.77E-03,4.26E-03,BDL,BDL,2.28E-05,2.58E-05,3.12E-03,3.59E-03,2.18E-06,2.08E-06,BDL,BDL,BDL,BDL,6.22E-05,7.24E-05,4.09E-05,3.63E-05,BDL,BDL,BDL,BDL,3.76E-03,4.25E-03,1.97E-05,2.26E-05,7.13E-04,7.79E-04,3.18E-06,3.80E-06,1.12E-05,1.33E-05,8.41E-02,9.54E-02,7.63E-05,8.63E-05
ER-MZB5,MZB5-4,57-70,0.0230,0.0016,0.031,0.01,1.85E-04,1.15E-05,BDL,BDL,BDL,BDL,1.45E-03,8.70E-04,2.35E-02,1.18E-03,3.60E-02,2.48E-03,3.27E-02,2.28E-03,2.20E-03,5.25E-05,4.99E-05,2.21E-06,1.76E-05,4.31E-07,3.98E-03,5.69E-04,1.31E-01,2.58E-02,8.85E-02,2.75E-03,BDL,BDL,6.59E-05,6.69E-06,9.15E-05,9.20E-07,6.27E-05,1.12E-06,6.00E-05,2.20E-06,3.90E-04,1.33E-05,BDL,BDL,2.86E-06,1.47E-07,2.04E-04,2.58E-05,5.71E-07,1.52E-07,BDL,BDL,BDL,BDL,3.57E-06,7.44E-08,BDL,BDL,BDL,BDL,BDL,BDL,5.68E-04,9.85E-05,2.37E-06,3.06E-08,5.25E-05,2.22E-06,2.42E-06,1.12E-07,8.39E-07,5.54E-08,1.37E-02,7.24E-04,8.48E-06,7.39E-07
ER-MYP1,MYP1-1,0-18,0.0760,0.0016,0.211,0.03,1.40E-04,5.25E-06,BDL,BDL,BDL,BDL,1.33E-03,4.60E-04,1.05E-01,1.52E-03,4.88E-02,1.66E-03,3.19E-02,1.59E-03,4.79E-03,1.27E-05,1.15E-04,2.27E-06,2.40E-05,1.82E-06,4.61E-03,1.21E-05,7.59E-01,9.96E-03,8.13E-02,4.32E-03,BDL,BDL,4.24E-05,4.86E-07,1.77E-04,5.42E-07,7.40E-05,5.81E-07,1.36E-04,1.16E-05,8.85E-04,1.36E-05,BDL,BDL,2.36E-06,1.35E-08,1.02E-03,1.56E-05,1.09E-06,2.01E-07,BDL,BDL,BDL,BDL,1.49E-05,2.52E-07,3.22E-05,1.68E-05,BDL,BDL,BDL,BDL,7.77E-04,2.11E-07,3.28E-06,2.92E-08,2.88E-04,2.78E-05,BDL,BDL,1.30E-06,7.06E-08,1.36E-02,8.75E-04,1.73E-05,1.97E-07
ER-MYP1,MYP1-2,18-28,0.0419,0.0012,0.035,0.00,1.09E-04,6.91E-06,BDL,BDL,BDL,BDL,1.36E-03,5.76E-04,1.00E-01,1.85E-03,3.92E-02,8.99E-05,2.88E-02,1.43E-04,2.08E-03,5.68E-05,1.02E-04,1.98E-06,2.06E-05,6.49E-07,4.17E-03,4.34E-05,9.00E-01,5.67E-03,6.23E-02,1.87E-03,BDL,BDL,4.64E-05,4.95E-08,1.70E-04,2.93E-06,7.10E-05,3.71E-07,1.99E-04,2.33E-05,6.97E-04,1.29E-05,BDL,BDL,1.64E-06,2.80E-08,1.26E-03,3.20E-06,8.04E-07,2.06E-07,BDL,BDL,BDL,BDL,1.29E-05,6.01E-07,BDL,BDL,BDL,BDL,BDL,BDL,8.27E-04,7.39E-06,3.71E-06,9.13E-09,1.20E-04,1.85E-06,3.28E-07,3.90E-08,1.74E-06,1.78E-08,1.19E-02,5.07E-04,1.38E-05,1.04E-06
ER-MYP1,MYP1-3,28-43,0.0176,0.0004,0.030,0.00,1.68E-04,1.00E-05,BDL,BDL,BDL,BDL,1.67E-03,8.86E-04,4.84E-02,3.09E-03,4.08E-02,1.96E-03,2.74E-02,2.42E-05,1.87E-03,2.11E-05,7.69E-05,1.18E-06,1.91E-05,1.83E-06,3.87E-03,5.46E-05,4.33E-01,1.35E-03,5.67E-02,7.83E-04,BDL,BDL,7.71E-05,5.27E-06,1.25E-04,4.78E-07,6.61E-05,1.07E-06,8.71E-05,1.28E-06,4.94E-04,1.54E-05,BDL,BDL,2.61E-06,3.67E-09,6.12E-04,2.30E-06,7.17E-07,1.75E-07,BDL,BDL,BDL,BDL,6.95E-06,4.92E-08,2.81E-05,4.72E-06,BDL,BDL,BDL,BDL,5.31E-04,1.60E-05,2.90E-06,3.51E-08,1.75E-04,1.73E-05,9.36E-07,5.01E-08,1.45E-06,1.39E-07,1.58E-02,1.83E-04,1.28E-05,8.76E-07
