Location ID,sample ID,depth_cm bgs,moisture content_g water/g dry soil,fraction <2mm_w/w,sand_wt %,silt_wt %,clay_wt %,TC_wt %,sd_wt %,TIC_wt %,sd_wt %,TOC_wt %,sd_wt %
ER-MZA1,MZA1-1,0-20,0.240,0.918,41,46,13,3.96,0.08,0.36,0.01,3.60,0.08
ER-MZA1,MZA1-2,20-29,0.144,0.908,68,25,7,1.93,0.13,0.08,0.01,1.85,0.13
ER-MZA1,MZA1-3,45-60,0.117,0.381,88,9,3,0.70,0.03,0.04,0.01,0.66,0.03
ER-MZA1,MZA1-4,80-94,0.162,0.233,88,9,4,0.52,0.01,0.08,0.01,0.44,0.01
ER-MZA5,MZA5-1,0-18,0.340,0.856,38,42,20,4.57,0.04,0.69,0.05,3.88,0.06
ER-MZA5,MZA5-2,18-30,0.334,0.987,36,44,20,3.84,0.04,0.93,0.02,2.91,0.04
ER-MZA5,MZA5-3,30-50,0.400,0.989,48,38,14,2.31,0.02,0.59,0.06,1.72,0.06
ER-MZA5,MZA5-4,50-70,0.520,0.983,62,29,9,2.46,0.04,0.09,0.02,2.37,0.04
ER-MZA5,MZA5-5,70-75,0.211,0.813,90,7,2,0.36,0.02,0.21,0.05,0.15,0.06
ER-MZA5,MZA5-6,75-87,0.406,0.455,74,20,6,1.75,0.02,0.15,0.00,1.60,0.02
ER-MZA5,MZA5-7,~90,0.443,0.162,86,11,3,0.61,0.04,0.10,0.04,0.50,0.05
ER-MZB1,MZB1-1,0-15,0.354,0.933,,,,3.69,0.05,0.95,0.02,2.74,0.05
ER-MZB1,MZB1-2,18-33,0.350,0.980,,,,3.14,0.10,1.08,0.02,2.06,0.10
ER-MZB1,MZB1-3,33-40,0.329,0.978,,,,2.62,0.04,1.03,0.00,1.58,0.04
ER-MZB1,MZB1-4,50-60,0.350,0.992,,,,2.44,0.06,0.90,0.05,1.54,0.08
ER-MZB3,MZB3-1,0-18,0.457,0.967,,,,4.74,0.02,0.39,0.01,4.35,0.03
ER-MZB3,MZB3-2,18-40,0.391,0.925,,,,2.22,0.02,0.80,0.01,1.42,0.02
ER-MZB5,MZB5-1,0-15,0.368,0.885,,,,4.70,0.10,0.87,0.00,3.83,0.10
ER-MZB5,MZB5-2,18-30,0.348,0.985,,,,2.60,0.05,0.85,0.03,1.75,0.06
ER-MZB5,MZB5-3,30-55,0.404,0.979,,,,2.33,0.06,0.35,0.01,1.99,0.06
ER-MZB5,MZB5-4,57-70,0.197,0.699,,,,0.40,0.00,0.09,0.01,0.32,0.01
ER-MYP1,MYP1-1,0-18,0.308,0.971,,,,4.59,0.01,0.85,0.03,3.74,0.03
ER-MYP1,MYP1-2,18-28,0.257,0.996,,,,3.01,0.04,1.04,0.09,1.97,0.10
ER-MYP1,MYP1-3,28-43,0.117,0.501,,,,1.12,0.04,0.50,0.00,0.62,0.04
