Location ID,sample ID,depth_cm bgs,Li_mol/g,sd_mol/g,Be_mol/g,sd_mol/g,B_mol/g,sd_mol/g,Mg_mol/g,sd_mol/g,Al_mol/g,sd_mol/g,Si_mol/g,sd_mol/g,K_mol/g,sd_mol/g,V_mol/g,sd_mol/g,Cr_mol/g,sd_mol/g,Mn_mol/g,sd_mol/g,Ca_mol/g,sd_mol/g,Fe_mol/g,sd_mol/g,Se_mol/g,sd_mol/g,Ti_mol/g,sd_mol/g,Ni_mol/g,sd_mol/g,Co_mol/g,sd_mol/g,Cu_mol/g,sd_mol/g,Zn_mol/g,sd_mol/g,Ge_mol/g,sd_mol/g,Rb_mol/g,sd_mol/g,Sr_mol/g,sd_mol/g,Zr_mol/g,sd_mol/g,Mo_mol/g,sd_mol/g,Ag_mol/g,sd_mol/g,Cd_mol/g,sd_mol/g,Sn_mol/g,sd_mol/g,Sb_mol/g,sd_mol/g,Cs_mol/g,sd_mol/g,Ba_mol/g,sd_mol/g,Eu_mol/g,sd_mol/g,Pb_mol/g,sd_mol/g,Th_mol/g,sd_mol/g,U_mol/g,sd_mol/g,P_mol/g,sd_mol/g,As_mol/g,sd_mol/g
ER-MZA1,MZA1-1,0-20,BDL,BDL,BDL,BDL,6.15E-07,3.44E-08,1.05E-05,5.17E-07,2.61E-05,1.15E-06,3.29E-05,1.19E-06,BDL,BDL,2.06E-07,6.74E-10,7.29E-08,2.64E-08,4.34E-06,3.65E-08,2.13E-04,4.24E-06,2.26E-04,2.47E-06,1.24E-08,5.39E-10,2.67E-07,3.87E-08,2.37E-07,1.91E-08,1.17E-07,3.20E-10,1.88E-07,1.14E-08,8.85E-07,8.47E-09,BDL,BDL,2.82E-09,9.94E-11,4.06E-07,7.04E-09,8.53E-09,6.94E-11,2.86E-08,4.31E-09,BDL,BDL,BDL,BDL,7.63E-08,2.01E-08,6.01E-09,3.36E-10,BDL,BDL,6.40E-07,2.29E-09,2.56E-09,6.50E-11,6.79E-08,9.88E-10,2.89E-09,3.13E-12,1.27E-09,4.33E-11,2.45E-04,1.28E-05,1.27E-07,4.36E-09
ER-MZA1,MZA1-2,20-29,BDL,BDL,BDL,BDL,2.69E-07,#DIV/0!,6.17E-06,2.04E-07,1.82E-05,3.29E-07,2.23E-05,2.19E-07,BDL,BDL,1.62E-07,3.31E-09,4.57E-08,1.68E-10,4.79E-06,8.25E-08,9.71E-05,5.35E-06,1.90E-04,4.05E-06,8.62E-09,5.83E-10,1.67E-07,9.95E-09,1.78E-07,4.19E-09,1.15E-07,8.28E-09,1.58E-07,1.66E-09,6.45E-07,9.39E-08,BDL,BDL,3.14E-09,5.09E-11,2.08E-07,2.10E-09,8.47E-09,9.13E-10,2.26E-08,3.98E-10,BDL,BDL,BDL,BDL,1.35E-07,7.99E-08,4.68E-09,1.36E-10,BDL,BDL,3.23E-07,2.40E-07,1.83E-09,8.15E-11,2.77E-08,2.98E-13,2.74E-09,1.73E-11,9.72E-10,8.67E-12,2.86E-04,4.98E-05,1.07E-07,1.71E-09
ER-MZA1,MZA1-3,45-60,BDL,BDL,BDL,BDL,BDL,BDL,5.18E-06,1.04E-07,1.75E-05,9.91E-08,2.67E-05,5.78E-06,BDL,BDL,1.41E-07,3.33E-09,3.93E-08,1.97E-09,4.10E-06,4.40E-08,5.97E-05,5.82E-07,1.82E-04,2.00E-06,6.30E-09,#DIV/0!,1.91E-07,7.95E-09,1.40E-07,3.33E-09,4.97E-07,5.50E-07,1.31E-07,6.10E-10,5.83E-07,4.84E-08,BDL,BDL,4.09E-09,1.47E-10,1.47E-07,3.66E-09,7.68E-09,4.89E-10,2.15E-08,2.49E-09,BDL,BDL,BDL,BDL,3.22E-08,1.42E-08,3.71E-09,1.48E-10,BDL,BDL,3.24E-07,2.53E-07,1.44E-09,5.51E-11,1.67E-08,2.49E-09,3.22E-09,1.04E-10,7.51E-10,1.83E-11,2.95E-04,3.19E-05,9.99E-08,1.92E-09
ER-MZA1,MZA1-4,80-94,BDL,BDL,BDL,BDL,BDL,BDL,5.17E-06,6.86E-08,1.35E-05,3.36E-07,2.02E-05,5.73E-09,BDL,BDL,1.36E-07,2.39E-09,4.72E-08,3.71E-09,3.54E-06,7.23E-08,7.39E-05,1.16E-06,1.50E-04,7.38E-07,BDL,BDL,2.00E-07,1.75E-08,1.04E-07,3.51E-10,1.40E-07,3.46E-08,1.40E-07,7.64E-10,4.20E-07,2.14E-08,BDL,BDL,3.22E-09,5.50E-10,1.33E-07,2.20E-09,6.91E-09,1.56E-10,1.69E-08,2.92E-10,BDL,BDL,BDL,BDL,BDL,BDL,2.58E-09,1.99E-10,BDL,BDL,3.86E-07,2.17E-08,1.24E-09,1.79E-11,1.10E-08,8.66E-11,3.54E-09,1.30E-11,6.09E-10,4.39E-12,2.89E-04,2.39E-06,BDL,BDL
ER-MZA5,MZA5-1,0-18,BDL,BDL,BDL,BDL,BDL,BDL,1.12E-05,1.41E-07,2.09E-05,4.65E-08,3.06E-05,4.46E-08,3.63E-07,4.41E-08,2.11E-07,1.75E-09,7.51E-08,3.77E-08,5.04E-06,1.32E-08,4.13E-04,2.46E-06,2.29E-04,4.20E-06,1.18E-08,1.23E-09,1.46E-07,3.37E-09,2.48E-07,5.16E-10,1.62E-07,1.08E-09,2.10E-07,6.50E-09,9.51E-07,6.04E-09,BDL,BDL,2.26E-09,2.75E-10,6.21E-07,1.66E-09,6.99E-09,6.90E-11,2.55E-08,2.56E-11,BDL,BDL,BDL,BDL,BDL,BDL,6.09E-09,3.60E-11,BDL,BDL,7.51E-07,8.98E-10,2.58E-09,1.58E-11,3.08E-08,1.47E-09,3.70E-09,8.28E-13,1.09E-09,7.20E-12,3.02E-04,7.23E-06,1.21E-07,5.04E-09
ER-MZA5,MZA5-2,18-30,BDL,BDL,BDL,BDL,BDL,BDL,1.04E-05,2.49E-07,1.83E-05,3.57E-07,2.61E-05,5.48E-07,BDL,BDL,2.09E-07,5.31E-10,5.13E-08,3.30E-09,4.33E-06,7.82E-08,4.73E-04,3.65E-06,2.35E-04,1.73E-06,1.21E-08,6.02E-10,1.40E-07,7.84E-09,2.49E-07,4.57E-09,1.24E-07,4.14E-10,2.10E-07,6.95E-09,9.42E-07,1.47E-08,BDL,BDL,1.87E-09,2.19E-10,6.60E-07,1.30E-08,8.05E-09,1.04E-10,2.95E-08,7.36E-11,BDL,BDL,BDL,BDL,9.20E-08,1.33E-08,6.55E-09,2.51E-10,BDL,BDL,7.57E-07,1.95E-08,2.62E-09,9.72E-12,3.75E-08,8.60E-10,3.68E-09,1.35E-11,1.11E-09,3.70E-11,3.05E-04,1.51E-06,1.24E-07,2.16E-09
ER-MZA5,MZA5-3,30-50,BDL,BDL,BDL,BDL,BDL,BDL,9.17E-06,7.30E-08,2.14E-05,6.47E-08,2.46E-05,2.72E-07,BDL,BDL,2.21E-07,4.83E-10,6.00E-08,1.94E-09,5.02E-06,1.51E-08,3.78E-04,1.09E-05,2.54E-04,1.64E-06,1.17E-08,4.43E-10,1.21E-07,1.62E-09,2.67E-07,1.03E-09,1.48E-07,5.14E-10,1.72E-07,4.41E-10,9.46E-07,1.20E-08,BDL,BDL,1.69E-09,5.99E-11,5.75E-07,1.52E-08,9.51E-09,1.80E-10,4.16E-08,1.45E-10,BDL,BDL,BDL,BDL,1.35E-07,4.31E-08,8.19E-09,1.56E-10,BDL,BDL,6.93E-07,2.45E-09,2.70E-09,6.86E-11,2.20E-08,9.73E-10,4.28E-09,4.96E-11,9.91E-10,3.77E-11,3.01E-04,5.42E-06,1.41E-07,4.86E-10
ER-MZA5,MZA5-4,50-70,BDL,BDL,BDL,BDL,BDL,BDL,7.67E-06,1.07E-07,1.78E-05,2.29E-08,1.82E-05,1.69E-07,BDL,BDL,1.88E-07,7.63E-10,5.45E-08,2.15E-08,7.87E-07,4.66E-08,1.12E-04,5.50E-07,1.67E-04,1.28E-06,7.30E-09,8.32E-10,5.91E-08,1.34E-10,1.53E-07,2.73E-09,1.52E-07,2.52E-09,1.40E-07,2.99E-09,5.77E-07,2.01E-08,BDL,BDL,3.00E-09,4.38E-11,2.01E-07,3.62E-09,5.40E-09,2.72E-11,2.47E-08,4.20E-10,BDL,BDL,BDL,BDL,BDL,BDL,3.15E-09,2.02E-10,BDL,BDL,4.75E-07,3.27E-09,2.06E-09,5.70E-11,6.24E-09,2.12E-10,3.23E-09,4.14E-11,1.13E-09,3.18E-11,3.00E-04,1.42E-05,BDL,BDL
ER-MZA5,MZA5-5,70-75,BDL,BDL,BDL,BDL,BDL,BDL,4.67E-06,1.50E-07,1.30E-05,9.45E-07,2.04E-05,8.34E-07,BDL,BDL,1.06E-07,5.26E-09,2.66E-08,1.23E-09,1.03E-06,2.16E-08,7.66E-05,7.50E-06,1.80E-04,5.84E-06,7.49E-09,3.96E-10,9.34E-08,1.44E-08,1.11E-07,8.21E-09,8.89E-08,5.42E-09,1.45E-07,3.78E-10,5.84E-07,7.98E-08,BDL,BDL,3.55E-09,2.54E-10,1.48E-07,7.50E-09,6.17E-09,2.01E-10,2.39E-08,8.77E-10,BDL,BDL,BDL,BDL,1.36E-08,1.90E-09,4.08E-09,1.14E-10,BDL,BDL,3.46E-07,6.58E-09,1.06E-09,7.31E-11,7.30E-09,4.53E-10,3.42E-09,5.72E-11,BDL,BDL,3.02E-04,5.41E-06,9.81E-08,1.10E-09
ER-MZA5,MZA5-6,75-87,BDL,BDL,BDL,BDL,BDL,BDL,7.04E-06,3.14E-07,1.68E-05,5.04E-08,1.90E-05,1.77E-07,BDL,BDL,1.66E-07,9.90E-10,3.94E-08,2.17E-09,2.97E-06,3.29E-08,1.31E-04,3.30E-07,1.60E-04,4.85E-07,BDL,BDL,BDL,BDL,1.74E-07,8.73E-10,1.03E-07,6.92E-10,1.45E-07,7.79E-11,5.11E-07,1.09E-08,BDL,BDL,2.57E-09,3.95E-10,2.03E-07,2.00E-09,5.56E-09,6.44E-10,2.21E-08,1.49E-10,BDL,BDL,BDL,BDL,9.44E-08,4.58E-08,2.46E-09,1.57E-10,BDL,BDL,4.72E-07,4.17E-09,1.86E-09,1.02E-10,4.62E-09,3.13E-10,3.42E-09,3.80E-11,1.49E-09,4.44E-11,2.84E-04,8.33E-06,BDL,BDL
