Location ID,sample ID,depth_cm bgs,Li_mol/g,sd_mol/g,Be_mol/g,sd_mol/g,B_mol/g,sd_mol/g,Mg_mol/g,sd_mol/g,Al_mol/g,sd_mol/g,Si_mol/g,sd_mol/g,K_mol/g,sd_mol/g,V_mol/g,sd_mol/g,Cr_mol/g,sd_mol/g,Mn_mol/g,sd_mol/g,Ca_mol/g,sd_mol/g,Fe_mol/g,sd_mol/g,Se_mol/g,sd_mol/g,Ti_mol/g,sd_mol/g,Ni_mol/g,sd_mol/g,Co_mol/g,sd_mol/g,Cu_mol/g,sd_mol/g,Zn_mol/g,sd_mol/g,Ge_mol/g,sd_mol/g,Rb_mol/g,sd_mol/g,Sr_mol/g,sd_mol/g,Zr_mol/g,sd_mol/g,Mo_mol/g,sd_mol/g,Ag_mol/g,sd_mol/g,Cd_mol/g,sd_mol/g,Sn_mol/g,sd_mol/g,Sb_mol/g,sd_mol/g,Cs_mol/g,sd_mol/g,Ba_mol/g,sd_mol/g,Eu_mol/g,sd_mol/g,Pb_mol/g,sd_mol/g,Th_mol/g,sd_mol/g,U_mol/g,sd_mol/g,P_mol/g,sd_mol/g,As_mol/g,sd_mol/g
ER-MZA5,MZA5-7,~90,BDL,BDL,BDL,BDL,BDL,BDL,4.97E-06,8.57E-08,1.30E-05,1.43E-07,1.78E-05,2.00E-07,BDL,BDL,1.26E-07,6.14E-10,3.70E-08,9.02E-10,2.26E-06,9.17E-08,6.60E-05,3.68E-07,1.54E-04,5.92E-08,BDL,BDL,5.71E-08,2.67E-09,1.30E-07,6.41E-09,8.27E-08,1.02E-09,1.49E-07,2.28E-09,5.88E-07,1.12E-08,BDL,BDL,3.26E-09,4.58E-12,1.18E-07,1.27E-09,5.77E-09,8.91E-11,1.58E-08,2.52E-10,BDL,BDL,BDL,BDL,BDL,BDL,2.19E-09,2.41E-11,BDL,BDL,3.68E-07,8.84E-09,1.26E-09,8.43E-12,4.18E-09,1.42E-10,3.96E-09,6.85E-11,7.44E-10,3.66E-12,3.45E-04,2.33E-05,BDL,BDL
ER-MZB1,MZB1-1,0-15,2.29E-07,#DIV/0!,7.45E-07,#DIV/0!,5.92E-07,3.51E-07,8.82E-06,3.05E-07,1.49E-05,2.32E-07,2.11E-05,4.11E-07,BDL,BDL,1.71E-07,4.06E-09,6.39E-08,1.72E-09,4.10E-06,8.00E-08,4.20E-04,1.66E-05,2.15E-04,2.40E-06,3.94E-07,3.01E-07,1.95E-07,3.13E-08,2.20E-07,4.09E-09,8.53E-08,1.29E-09,1.64E-07,2.80E-08,9.41E-07,1.96E-08,4.52E-09,2.94E-09,4.57E-09,2.42E-10,6.62E-07,3.36E-08,7.05E-09,1.16E-09,3.58E-08,2.82E-09,5.21E-09,#DIV/0!,1.66E-08,9.09E-09,1.79E-08,2.15E-09,1.00E-08,2.68E-09,8.75E-10,#DIV/0!,5.73E-07,1.12E-08,2.91E-09,3.03E-10,2.91E-08,1.98E-09,4.29E-09,4.08E-10,2.18E-09,3.54E-10,2.47E-04,4.39E-06,1.96E-07,8.98E-08
ER-MZB1,MZB1-2,18-33,2.48E-07,#DIV/0!,8.81E-07,#DIV/0!,8.68E-07,#DIV/0!,6.76E-06,2.65E-07,1.63E-05,8.28E-08,1.70E-05,2.54E-06,BDL,BDL,2.01E-07,1.21E-08,7.71E-08,1.52E-08,5.90E-06,1.75E-08,4.81E-04,2.27E-05,2.56E-04,5.59E-06,9.73E-07,1.14E-06,2.43E-07,7.60E-08,2.12E-07,8.46E-09,8.52E-08,6.30E-10,1.97E-07,3.18E-08,1.09E-06,7.87E-08,6.97E-09,#DIV/0!,5.47E-09,8.13E-10,7.06E-07,2.11E-08,8.93E-09,1.78E-09,5.00E-08,9.43E-10,5.77E-09,#DIV/0!,1.52E-08,1.08E-08,5.91E-09,3.94E-09,1.09E-08,2.22E-09,1.01E-09,#DIV/0!,7.03E-07,6.13E-09,3.05E-09,7.83E-10,2.48E-08,1.11E-10,5.73E-09,1.45E-09,2.10E-09,7.33E-10,2.95E-04,6.05E-05,2.31E-07,1.01E-07
ER-MZB1,MZB1-3,33-40,6.28E-07,6.99E-08,2.54E-06,3.14E-07,2.06E-06,2.35E-07,6.90E-06,1.50E-07,1.47E-05,4.72E-07,1.73E-05,2.04E-07,BDL,BDL,1.81E-07,1.64E-09,6.92E-08,3.61E-09,5.36E-06,3.16E-08,4.58E-04,1.28E-05,2.28E-04,4.07E-07,5.40E-07,5.05E-08,4.37E-07,1.66E-08,2.56E-07,8.82E-10,9.10E-08,1.57E-09,1.90E-07,5.86E-09,9.74E-07,4.34E-09,2.12E-08,2.31E-09,9.32E-09,4.20E-10,6.59E-07,9.96E-09,1.39E-08,6.44E-10,6.85E-08,2.41E-09,1.99E-08,2.30E-09,6.87E-08,6.45E-09,3.07E-08,1.89E-09,2.57E-08,1.16E-09,2.88E-09,3.21E-10,6.60E-07,7.52E-09,5.84E-09,3.90E-10,3.09E-08,8.48E-10,7.44E-09,3.32E-10,4.70E-09,2.66E-10,2.56E-04,9.87E-07,3.33E-07,1.49E-07
ER-MZB1,MZB1-4,50-60,5.60E-07,1.68E-07,2.17E-06,7.08E-07,1.57E-06,4.74E-07,7.41E-06,4.39E-08,1.34E-05,3.80E-08,2.05E-05,7.18E-08,BDL,BDL,1.88E-07,4.20E-10,7.03E-08,3.64E-09,4.51E-06,4.52E-08,5.00E-04,2.12E-05,2.31E-04,3.31E-06,2.91E-06,2.16E-07,3.61E-07,7.89E-08,2.43E-07,1.66E-08,8.14E-08,3.64E-09,3.58E-07,2.25E-07,1.01E-06,2.94E-08,1.64E-08,4.71E-09,8.33E-09,9.57E-10,7.18E-07,3.54E-08,1.19E-08,1.81E-09,6.20E-08,5.34E-09,1.62E-08,4.71E-09,5.94E-08,1.66E-08,2.63E-08,9.86E-09,2.24E-08,4.01E-09,2.41E-09,7.15E-10,6.33E-07,1.48E-08,5.27E-09,9.79E-10,3.22E-08,3.19E-09,7.10E-09,7.38E-10,4.48E-09,9.94E-10,2.74E-04,7.22E-06,2.90E-07,1.07E-07
ER-MZB3,MZB3-1,0-18,7.85E-07,1.39E-07,3.06E-06,5.76E-07,2.29E-06,6.09E-07,8.27E-06,1.18E-07,1.78E-05,1.23E-07,2.30E-05,9.59E-07,BDL,BDL,2.29E-07,2.35E-09,1.06E-07,6.10E-10,5.03E-06,4.64E-08,2.58E-04,5.39E-06,2.83E-04,4.71E-07,2.16E-06,9.06E-08,5.11E-07,6.11E-08,3.00E-07,1.19E-08,9.85E-08,1.95E-09,2.54E-07,4.17E-09,1.20E-06,1.17E-08,2.34E-08,3.91E-09,7.57E-09,9.66E-10,3.76E-07,4.72E-09,1.49E-08,1.56E-09,5.75E-08,4.16E-09,1.99E-08,2.65E-09,7.06E-08,1.09E-08,2.25E-08,2.83E-09,2.49E-08,1.77E-09,3.19E-09,5.54E-10,8.30E-07,3.28E-09,7.13E-09,8.92E-10,4.82E-08,3.70E-09,8.27E-09,1.26E-09,5.24E-09,7.38E-10,1.86E-04,6.88E-06,3.82E-07,4.03E-08
ER-MZB3,MZB3-2,18-40,3.86E-07,5.06E-08,1.42E-06,1.67E-07,1.36E-06,3.41E-07,5.83E-06,1.75E-07,1.67E-05,2.21E-07,1.90E-05,9.98E-07,BDL,BDL,2.10E-07,7.25E-09,7.34E-08,4.72E-09,2.82E-06,4.30E-08,3.82E-04,2.28E-05,2.65E-04,5.65E-06,9.12E-07,1.18E-08,2.94E-07,4.91E-09,2.55E-07,1.54E-08,8.92E-08,8.45E-10,1.87E-07,3.00E-09,1.03E-06,7.73E-08,1.09E-08,1.67E-09,6.17E-09,4.06E-10,5.19E-07,2.67E-08,1.14E-08,3.59E-10,5.27E-08,8.38E-09,8.66E-09,2.97E-09,3.26E-08,9.57E-09,1.09E-08,3.14E-09,1.66E-08,3.40E-09,1.60E-09,2.51E-10,6.78E-07,6.41E-09,4.50E-09,4.56E-10,2.13E-08,1.08E-09,7.27E-09,2.96E-10,3.02E-09,2.69E-10,1.87E-04,9.18E-06,2.44E-07,1.30E-09
ER-MZB5,MZB5-1,0-15,3.29E-07,#DIV/0!,1.25E-06,#DIV/0!,9.07E-07,#DIV/0!,9.37E-06,1.43E-06,1.65E-05,2.67E-06,2.14E-05,8.65E-07,BDL,BDL,1.79E-07,7.63E-09,6.43E-08,9.60E-09,4.64E-06,1.88E-07,4.42E-04,1.10E-05,2.23E-04,1.35E-05,6.10E-07,8.45E-07,1.79E-07,9.67E-08,2.11E-07,1.70E-08,8.05E-08,1.27E-09,2.00E-07,1.39E-08,1.12E-06,2.90E-08,9.48E-09,#DIV/0!,5.01E-09,#DIV/0!,6.96E-07,8.11E-08,6.74E-09,2.34E-09,3.04E-08,1.03E-08,7.94E-09,#DIV/0!,3.29E-08,#DIV/0!,1.55E-07,3.08E-08,9.85E-09,6.19E-09,1.40E-09,#DIV/0!,7.57E-07,2.64E-08,3.08E-09,1.23E-09,5.20E-08,8.49E-09,4.71E-09,4.36E-10,2.19E-09,1.18E-09,1.98E-04,5.59E-06,2.15E-07,1.14E-07
ER-MZB5,MZB5-2,18-30,BDL,BDL,BDL,BDL,2.40E-07,#DIV/0!,7.51E-06,7.79E-07,1.99E-05,8.79E-07,2.07E-05,2.13E-06,BDL,BDL,1.83E-07,5.70E-09,8.06E-08,3.67E-08,2.67E-06,7.98E-08,4.01E-04,9.91E-05,2.28E-04,8.48E-06,1.02E-08,2.34E-09,7.62E-08,3.53E-08,1.92E-07,7.37E-09,9.99E-08,1.81E-09,1.78E-07,1.40E-08,8.98E-07,7.59E-08,BDL,BDL,BDL,BDL,7.24E-07,1.61E-07,6.34E-09,5.57E-10,3.19E-08,9.72E-11,BDL,BDL,BDL,BDL,8.15E-09,4.70E-09,5.43E-09,6.74E-10,BDL,BDL,6.92E-07,2.06E-08,2.14E-09,6.60E-11,1.89E-08,7.91E-09,4.68E-09,7.22E-10,1.11E-09,1.47E-10,1.83E-04,1.98E-05,1.42E-07,8.25E-09
ER-MZB5,MZB5-3,30-55,BDL,BDL,BDL,BDL,2.65E-07,#DIV/0!,6.40E-06,1.95E-07,1.66E-05,3.76E-07,1.64E-05,2.93E-07,BDL,BDL,1.61E-07,1.92E-09,4.98E-08,7.16E-09,3.11E-06,7.42E-08,2.06E-04,3.24E-06,2.12E-04,5.36E-06,8.01E-09,1.59E-09,4.74E-08,3.36E-09,1.72E-07,2.85E-09,8.94E-08,1.33E-09,1.69E-07,3.81E-09,8.12E-07,1.03E-08,BDL,BDL,BDL,BDL,3.81E-07,4.65E-09,4.61E-09,3.22E-11,2.30E-08,2.96E-09,BDL,BDL,BDL,BDL,4.56E-08,1.49E-08,4.64E-09,1.54E-10,BDL,BDL,6.41E-07,5.22E-10,2.06E-09,7.94E-11,1.88E-08,4.23E-10,3.71E-09,4.78E-10,1.33E-09,1.08E-10,1.84E-04,7.41E-06,1.21E-07,5.23E-09
ER-MZB5,MZB5-4,57-70,BDL,BDL,BDL,BDL,BDL,BDL,5.02E-06,5.22E-08,1.62E-05,5.09E-07,2.92E-05,4.73E-07,BDL,BDL,1.12E-07,2.19E-09,3.98E-08,7.07E-09,3.89E-06,1.73E-07,6.33E-05,7.53E-07,2.81E-04,2.98E-06,1.10E-08,1.73E-09,9.25E-08,5.35E-09,1.19E-07,3.26E-09,9.61E-08,6.30E-10,1.51E-07,2.16E-10,7.05E-07,3.82E-08,BDL,BDL,BDL,BDL,1.47E-07,1.25E-09,5.76E-09,7.31E-11,3.41E-08,1.81E-09,BDL,BDL,BDL,BDL,7.74E-09,3.65E-10,4.24E-09,4.63E-11,BDL,BDL,4.48E-07,1.85E-08,1.18E-09,1.98E-11,8.07E-09,4.89E-10,4.44E-09,8.98E-11,7.14E-10,5.00E-11,1.90E-04,3.80E-07,1.62E-07,6.38E-10
ER-MYP1,MYP1-1,0-18,BDL,BDL,BDL,BDL,4.29E-07,#DIV/0!,1.10E-05,2.41E-07,2.08E-05,1.90E-07,2.74E-05,1.45E-06,1.29E-07,#DIV/0!,1.97E-07,3.34E-09,7.41E-08,1.11E-08,4.48E-06,9.42E-08,4.54E-04,2.06E-05,2.31E-04,1.80E-06,1.41E-08,7.10E-11,1.44E-07,2.64E-09,2.33E-07,5.22E-09,9.12E-08,2.42E-11,2.17E-07,4.77E-09,1.25E-06,1.50E-08,BDL,BDL,BDL,BDL,7.91E-07,2.99E-08,6.13E-09,3.40E-11,2.90E-08,2.24E-09,BDL,BDL,BDL,BDL,3.17E-07,1.64E-08,7.56E-09,5.97E-10,BDL,BDL,7.59E-07,7.43E-09,2.54E-09,1.86E-11,7.00E-08,6.20E-09,4.13E-09,6.74E-10,1.94E-09,1.53E-11,1.80E-04,1.62E-06,1.56E-07,5.79E-09
ER-MYP1,MYP1-2,18-28,BDL,BDL,BDL,BDL,BDL,BDL,8.88E-06,1.29E-07,1.92E-05,4.20E-07,2.58E-05,7.71E-08,BDL,BDL,1.91E-07,1.01E-09,5.90E-08,9.82E-10,4.27E-06,1.27E-07,4.59E-04,8.01E-06,2.35E-04,6.11E-07,1.16E-08,1.91E-09,1.22E-07,7.18E-09,2.37E-07,9.27E-10,8.82E-08,1.16E-09,2.20E-07,8.48E-09,1.13E-06,2.96E-08,BDL,BDL,BDL,BDL,7.87E-07,1.86E-08,7.44E-09,9.40E-11,4.19E-08,1.99E-10,BDL,BDL,BDL,BDL,BDL,BDL,9.16E-09,5.86E-12,BDL,BDL,7.94E-07,2.07E-09,2.39E-09,2.65E-11,3.52E-08,3.92E-09,4.32E-09,3.00E-10,1.69E-09,3.74E-11,1.81E-04,1.17E-05,1.82E-07,2.71E-09
ER-MYP1,MYP1-3,28-43,BDL,BDL,BDL,BDL,3.48E-07,#DIV/0!,5.96E-06,1.38E-08,1.49E-05,3.49E-07,2.03E-05,1.18E-07,BDL,BDL,1.41E-07,2.98E-09,4.94E-08,5.62E-09,5.01E-06,7.72E-08,2.68E-04,2.40E-06,1.96E-04,2.57E-06,8.36E-09,#DIV/0!,1.53E-07,4.83E-09,1.57E-07,1.08E-09,8.79E-08,1.40E-09,1.53E-07,4.10E-09,9.55E-07,2.56E-08,BDL,BDL,BDL,BDL,4.84E-07,9.61E-09,6.07E-09,1.15E-10,4.27E-08,7.06E-09,BDL,BDL,BDL,BDL,3.77E-07,1.54E-07,7.92E-09,4.92E-11,BDL,BDL,5.01E-07,8.24E-09,1.49E-09,3.51E-12,2.22E-08,2.99E-10,3.97E-09,1.39E-11,1.03E-09,7.47E-11,2.40E-04,4.65E-07,1.38E-07,4.72E-09
