Location ID,sample ID,depth_cm bgs,Li_mol/g,sd_mol/g,Be_mol/g,sd_mol/g,B_mol/g,sd_mol/g,Na_mol/g,sd_mol/g,Mg_mol/g,sd_mol/g,Al_mol/g,sd_mol/g,Si_mol/g,sd_mol/g,K_mol/g,sd_mol/g,V_mol/g,sd_mol/g,Cr_mol/g,sd_mol/g,Mn_mol/g,sd_mol/g,Ca_mol/g,sd_mol/g,Fe_mol/g,sd_mol/g,Se_mol/g,sd_mol/g,Ti_mol/g,sd_mol/g,Ni_mol/g,sd_mol/g,Co_mol/g,sd_mol/g,Cu_mol/g,sd_mol/g,Zn_mol/g,sd_mol/g,Ge_mol/g,sd_mol/g,Rb_mol/g,sd_mol/g,Sr_mol/g,sd_mol/g,Zr_mol/g,sd_mol/g,Mo_mol/g,sd_mol/g,Ag_mol/g,sd_mol/g,Cd_mol/g,sd_mol/g,Sn_mol/g,sd_mol/g,Sb_mol/g,sd_mol/g,Cs_mol/g,sd_mol/g,Ba_mol/g,sd_mol/g,Eu_mol/g,sd_mol/g,Pb_mol/g,sd_mol/g,Th_mol/g,sd_mol/g,U_mol/g,sd_mol/g,P_mol/g,sd_mol/g,As_mol/g,sd_mol/g
ER-MZA5,MZA5-7,~90,BDL,BDL,BDL,BDL,BDL,BDL,3.10E-04,3.07E-05,3.11E-06,1.45E-07,8.28E-06,4.19E-07,6.81E-06,2.06E-07,4.19E-06,9.39E-07,4.66E-08,5.17E-09,BDL,BDL,1.12E-06,4.49E-08,BDL,BDL,3.01E-05,3.05E-06,BDL,BDL,BDL,BDL,6.43E-08,6.45E-09,2.82E-08,1.07E-09,4.49E-08,1.40E-08,1.74E-08,8.84E-09,BDL,BDL,BDL,BDL,BDL,BDL,4.28E-09,1.01E-09,4.70E-09,5.25E-10,BDL,BDL,BDL,BDL,1.37E-08,1.56E-08,BDL,BDL,BDL,BDL,3.15E-08,2.87E-09,5.39E-10,7.30E-11,2.38E-08,4.20E-09,5.07E-09,2.00E-10,1.66E-09,1.69E-11,BDL,BDL,3.09E-08,2.67E-09
ER-MZB1,MZB1-1,0-15,BDL,BDL,BDL,BDL,BDL,BDL,2.62E-04,1.27E-05,3.06E-05,2.90E-07,1.28E-05,4.15E-07,9.67E-06,1.85E-07,4.01E-06,1.16E-06,8.05E-08,2.65E-09,BDL,BDL,1.17E-06,6.01E-08,BDL,BDL,7.32E-05,2.88E-06,BDL,BDL,9.19E-08,3.44E-08,9.79E-08,3.34E-09,3.64E-08,1.79E-09,9.20E-08,5.23E-09,2.87E-07,3.52E-09,BDL,BDL,BDL,BDL,BDL,BDL,9.50E-09,4.02E-09,6.32E-09,1.41E-09,BDL,BDL,BDL,BDL,2.01E-08,2.58E-09,2.46E-09,6.03E-10,1.17E-10,1.21E-11,3.46E-08,1.59E-10,1.71E-10,2.26E-11,1.39E-08,3.95E-10,8.51E-09,4.62E-10,2.19E-09,1.30E-11,4.03E-06,5.28E-06,5.82E-08,5.05E-09
ER-MZB1,MZB1-2,18-33,BDL,BDL,BDL,BDL,BDL,BDL,3.33E-04,4.07E-05,3.36E-05,3.01E-06,1.45E-05,1.34E-06,1.04E-05,7.35E-07,6.96E-06,1.14E-06,8.66E-08,5.95E-09,BDL,BDL,1.12E-06,7.27E-08,BDL,BDL,8.12E-05,5.77E-06,BDL,BDL,1.29E-07,1.53E-09,1.08E-07,7.11E-09,4.40E-08,4.05E-09,1.48E-07,1.20E-08,2.99E-07,3.93E-08,BDL,BDL,BDL,BDL,1.05E-08,1.16E-08,9.96E-09,1.34E-09,7.23E-09,1.55E-10,BDL,BDL,BDL,BDL,1.19E-08,4.84E-09,2.61E-09,3.17E-10,1.78E-10,6.46E-11,5.00E-08,5.27E-09,2.24E-10,1.13E-11,1.63E-08,1.17E-09,8.85E-09,6.30E-10,2.37E-09,2.53E-10,9.46E-06,7.75E-08,6.93E-08,3.53E-09
ER-MZB1,MZB1-3,33-40,BDL,BDL,BDL,BDL,BDL,BDL,2.84E-04,9.58E-06,2.97E-05,5.51E-07,1.20E-05,2.06E-07,7.75E-06,7.83E-08,5.55E-06,7.70E-07,7.07E-08,1.76E-09,BDL,BDL,1.77E-06,2.28E-08,BDL,BDL,6.66E-05,1.80E-06,BDL,BDL,8.28E-08,1.86E-08,9.56E-08,3.78E-09,3.29E-08,2.43E-09,9.78E-08,8.74E-09,8.59E-08,3.01E-08,BDL,BDL,BDL,BDL,BDL,BDL,9.18E-09,1.00E-09,6.76E-09,4.78E-11,BDL,BDL,BDL,BDL,2.43E-07,2.56E-07,2.59E-09,1.26E-10,1.70E-10,2.83E-11,2.98E-08,1.63E-09,2.08E-10,2.26E-11,3.56E-08,1.54E-08,8.54E-09,4.16E-10,2.14E-09,1.60E-10,6.38E-06,1.66E-06,6.15E-08,3.37E-09
ER-MZB1,MZB1-4,50-60,BDL,BDL,BDL,BDL,BDL,BDL,3.13E-04,1.32E-05,2.82E-05,9.22E-07,1.35E-05,2.63E-07,6.80E-06,2.74E-08,6.83E-06,7.61E-07,6.30E-08,1.16E-09,BDL,BDL,1.95E-06,4.80E-08,BDL,BDL,5.18E-05,1.17E-06,BDL,BDL,1.08E-07,1.93E-09,9.64E-08,4.19E-09,3.53E-08,4.11E-10,1.35E-07,3.76E-10,2.02E-07,6.43E-09,BDL,BDL,BDL,BDL,BDL,BDL,8.52E-09,1.11E-09,7.11E-09,3.31E-10,BDL,BDL,BDL,BDL,BDL,BDL,2.00E-09,1.95E-10,1.77E-10,4.67E-11,4.16E-08,1.85E-09,2.59E-10,3.47E-11,1.75E-08,4.84E-10,8.10E-09,2.85E-10,2.02E-09,7.12E-11,8.24E-06,5.64E-07,5.36E-08,8.35E-10
ER-MZB3,MZB3-1,0-18,BDL,BDL,BDL,BDL,BDL,BDL,2.88E-04,1.56E-05,3.28E-05,4.88E-07,1.72E-05,2.21E-07,8.44E-06,1.23E-07,5.60E-06,7.60E-07,6.96E-08,3.58E-10,BDL,BDL,1.99E-06,6.20E-09,BDL,BDL,7.14E-05,6.23E-07,BDL,BDL,1.18E-07,4.35E-09,1.20E-07,4.65E-09,4.64E-08,1.49E-10,1.92E-07,2.08E-09,2.81E-07,9.60E-10,BDL,BDL,BDL,BDL,BDL,BDL,1.15E-08,1.02E-09,3.61E-09,4.34E-11,BDL,BDL,BDL,BDL,BDL,BDL,1.95E-09,5.63E-11,1.46E-10,1.54E-11,7.36E-08,1.93E-09,3.21E-10,3.86E-11,1.58E-08,3.75E-10,9.83E-09,5.92E-12,2.29E-09,1.42E-10,1.07E-05,4.09E-07,6.45E-08,5.63E-11
ER-MZB3,MZB3-2,18-40,BDL,BDL,BDL,BDL,BDL,BDL,3.14E-04,3.41E-05,3.06E-05,3.09E-06,1.30E-05,1.18E-06,7.79E-06,1.03E-06,6.20E-06,1.17E-06,6.41E-08,5.70E-09,BDL,BDL,1.03E-06,1.16E-07,BDL,BDL,5.20E-05,5.14E-06,BDL,BDL,8.24E-08,2.42E-09,8.77E-08,1.35E-08,3.21E-08,4.81E-09,2.00E-07,1.02E-07,9.95E-08,3.96E-08,BDL,BDL,BDL,BDL,BDL,BDL,7.99E-09,1.07E-09,4.37E-09,6.77E-10,BDL,BDL,BDL,BDL,BDL,BDL,2.04E-09,4.31E-10,1.64E-10,3.24E-11,4.24E-08,4.73E-09,2.02E-10,7.37E-11,1.94E-08,1.43E-09,9.22E-09,9.30E-10,2.17E-09,1.65E-10,9.70E-06,9.62E-07,5.36E-08,3.72E-09
ER-MZB5,MZB5-1,0-15,BDL,BDL,BDL,BDL,BDL,BDL,3.47E-04,1.16E-05,3.05E-05,1.17E-06,1.41E-05,2.78E-07,8.72E-06,1.07E-07,6.90E-06,7.66E-07,7.68E-08,1.89E-09,BDL,BDL,1.68E-06,3.34E-08,BDL,BDL,7.39E-05,4.02E-07,BDL,BDL,1.24E-07,2.28E-09,1.12E-07,2.50E-09,4.44E-08,1.19E-09,1.49E-07,1.39E-08,4.32E-07,9.86E-08,BDL,BDL,BDL,BDL,BDL,BDL,1.02E-08,1.20E-09,4.06E-09,6.51E-10,BDL,BDL,BDL,BDL,2.16E-06,6.70E-08,1.80E-09,1.83E-10,1.17E-10,1.68E-11,6.57E-08,1.85E-09,3.31E-10,5.59E-11,2.99E-07,1.82E-08,8.54E-09,3.32E-10,2.25E-09,2.16E-11,9.51E-06,5.24E-07,5.94E-08,1.00E-09
ER-MZB5,MZB5-2,18-30,BDL,BDL,BDL,BDL,BDL,BDL,3.56E-04,1.74E-05,2.50E-05,4.98E-07,1.63E-05,4.10E-07,9.66E-06,2.35E-08,7.34E-06,7.72E-07,7.88E-08,2.89E-09,BDL,BDL,8.13E-07,1.37E-08,BDL,BDL,6.97E-05,2.29E-06,BDL,BDL,1.10E-07,8.16E-09,1.03E-07,8.55E-09,4.67E-08,4.84E-10,1.21E-07,6.86E-09,2.40E-07,2.70E-08,BDL,BDL,7.61E-10,6.31E-11,BDL,BDL,8.47E-09,1.17E-09,4.97E-09,1.76E-10,BDL,BDL,BDL,BDL,9.21E-08,5.06E-09,2.01E-09,7.82E-11,2.68E-10,2.60E-11,6.08E-08,1.50E-09,3.28E-10,3.01E-12,3.46E-08,3.96E-10,9.17E-09,2.41E-10,2.17E-09,2.49E-11,1.02E-05,7.43E-07,6.08E-08,1.66E-09
ER-MZB5,MZB5-3,30-55,BDL,BDL,BDL,BDL,BDL,BDL,3.24E-04,6.00E-05,1.38E-05,7.91E-07,1.06E-05,5.05E-07,5.32E-06,2.31E-07,6.32E-06,8.72E-07,5.73E-08,6.62E-10,BDL,BDL,1.23E-06,1.23E-07,BDL,BDL,5.03E-05,6.27E-07,BDL,BDL,8.80E-08,2.04E-09,1.07E-07,1.58E-08,4.14E-08,8.15E-10,1.09E-07,2.51E-09,2.09E-07,5.00E-08,BDL,BDL,BDL,BDL,BDL,BDL,6.33E-09,1.04E-09,2.90E-09,2.26E-10,BDL,BDL,BDL,BDL,3.26E-07,7.68E-08,1.30E-09,9.57E-11,1.77E-10,1.69E-11,6.00E-08,2.07E-10,4.66E-10,9.20E-12,7.24E-08,1.45E-08,6.59E-09,2.27E-10,1.87E-09,4.33E-11,7.02E-06,1.09E-06,4.33E-08,2.74E-10
ER-MZB5,MZB5-4,57-70,BDL,BDL,BDL,BDL,BDL,BDL,3.57E-04,3.01E-05,3.70E-06,5.99E-07,8.59E-06,2.07E-06,1.02E-05,2.36E-06,7.32E-06,1.10E-06,2.62E-08,5.83E-09,BDL,BDL,1.91E-06,5.06E-07,BDL,BDL,5.57E-05,1.36E-05,BDL,BDL,7.06E-08,2.40E-08,5.86E-08,9.76E-09,4.43E-08,1.05E-08,6.53E-08,4.49E-09,1.38E-07,6.39E-08,BDL,BDL,BDL,BDL,BDL,BDL,3.51E-09,1.32E-09,4.74E-09,1.12E-09,BDL,BDL,BDL,BDL,8.15E-09,4.43E-09,BDL,BDL,1.55E-10,2.35E-11,6.32E-08,1.48E-08,4.65E-10,7.21E-11,2.40E-08,2.99E-09,4.31E-09,9.31E-10,1.58E-09,2.44E-10,5.26E-06,1.19E-06,4.36E-08,1.15E-08
ER-MYP1,MYP1-1,0-18,BDL,BDL,BDL,BDL,BDL,BDL,1.72E-04,2.47E-04,4.26E-05,1.12E-06,1.97E-05,1.82E-06,1.13E-05,1.59E-06,4.09E-06,5.78E-06,9.79E-08,6.61E-09,BDL,BDL,1.72E-06,2.68E-08,BDL,BDL,8.92E-05,1.10E-05,BDL,BDL,1.57E-07,2.58E-08,1.12E-07,3.03E-08,5.29E-08,8.84E-09,1.98E-07,2.66E-09,4.84E-07,1.27E-07,BDL,BDL,7.94E-10,6.85E-11,BDL,BDL,1.09E-08,1.47E-09,5.36E-09,7.94E-10,BDL,BDL,BDL,BDL,4.54E-06,2.45E-07,3.11E-09,3.94E-10,2.10E-10,1.87E-11,6.33E-08,1.88E-08,1.54E-10,1.11E-10,4.89E-07,2.06E-07,1.01E-08,1.49E-10,2.44E-09,6.40E-10,1.32E-05,7.29E-07,7.59E-08,7.14E-09
ER-MYP1,MYP1-2,18-28,BDL,BDL,BDL,BDL,BDL,BDL,3.55E-04,1.61E-05,4.14E-05,3.11E-06,1.68E-05,7.43E-07,1.13E-05,9.57E-07,6.77E-06,7.80E-07,9.00E-08,4.58E-09,BDL,BDL,1.75E-06,4.78E-08,BDL,BDL,8.27E-05,3.23E-06,BDL,BDL,1.52E-07,4.39E-09,1.35E-07,1.39E-08,5.12E-08,2.28E-10,2.03E-07,5.43E-09,3.34E-07,2.03E-08,BDL,BDL,BDL,BDL,BDL,BDL,1.03E-08,1.21E-09,6.35E-09,4.37E-10,BDL,BDL,BDL,BDL,6.68E-09,7.22E-09,3.47E-09,2.16E-10,2.19E-10,2.89E-11,7.00E-08,2.01E-09,1.65E-10,4.81E-12,2.59E-08,3.68E-10,1.01E-08,4.10E-10,2.63E-09,1.50E-10,1.07E-05,1.94E-06,8.09E-08,1.22E-09
ER-MYP1,MYP1-3,28-43,BDL,BDL,BDL,BDL,BDL,BDL,3.53E-04,1.00E-05,1.36E-05,4.31E-07,1.23E-05,9.11E-08,1.00E-05,5.99E-07,6.89E-06,7.60E-07,1.14E-07,1.18E-08,BDL,BDL,4.12E-06,6.04E-07,BDL,BDL,9.06E-05,3.28E-06,BDL,BDL,5.26E-07,8.47E-08,1.08E-07,8.28E-09,6.25E-08,4.89E-09,7.99E-08,6.47E-10,3.94E-07,4.36E-08,BDL,BDL,BDL,BDL,BDL,BDL,5.68E-09,1.07E-09,7.02E-09,2.12E-10,BDL,BDL,BDL,BDL,1.32E-06,4.45E-08,2.10E-09,2.00E-10,1.98E-10,5.89E-12,1.10E-07,1.56E-08,3.56E-10,3.51E-11,2.44E-07,2.76E-10,5.97E-09,2.00E-10,1.82E-09,3.47E-11,6.26E-06,1.20E-07,5.56E-08,2.25E-09
