Location ID,sample ID,depth_cm bgs,Li_mol/g,sd_mol/g,Be_mol/g,sd_mol/g,B_mol/g,sd_mol/g,Na_mol/g,sd_mol/g,Mg_mol/g,sd_mol/g,Al_mol/g,sd_mol/g,Si_mol/g,sd_mol/g,K_mol/g,sd_mol/g,V_mol/g,sd_mol/g,Cr_mol/g,sd_mol/g,Mn_mol/g,sd_mol/g,Ca_mol/g,sd_mol/g,Fe_mol/g,sd_mol/g,Se_mol/g,sd_mol/g,Ti_mol/g,sd_mol/g,Ni_mol/g,sd_mol/g,Co_mol/g,sd_mol/g,Cu_mol/g,sd_mol/g,Zn_mol/g,sd_mol/g,Ge_mol/g,sd_mol/g,Rb_mol/g,sd_mol/g,Sr_mol/g,sd_mol/g,Zr_mol/g,sd_mol/g,Mo_mol/g,sd_mol/g,Ag_mol/g,sd_mol/g,Cd_mol/g,sd_mol/g,Sn_mol/g,sd_mol/g,Sb_mol/g,sd_mol/g,Cs_mol/g,sd_mol/g,Ba_mol/g,sd_mol/g,Eu_mol/g,sd_mol/g,Pb_mol/g,sd_mol/g,Th_mol/g,sd_mol/g,U_mol/g,sd_mol/g,P_mol/g,sd_mol/g,As_mol/g,sd_mol/g
ER-MZA1,MZA1-1,0-20,BDL,BDL,BDL,BDL,BDL,BDL,2.97E-04,2.61E-05,2.84E-05,1.96E-06,1.85E-05,1.15E-06,1.35E-05,5.25E-07,5.49E-06,9.29E-07,8.16E-08,6.89E-09,BDL,BDL,2.09E-06,1.92E-07,BDL,BDL,6.70E-05,5.02E-06,BDL,BDL,1.19E-07,1.51E-08,1.16E-07,2.30E-08,4.81E-08,4.60E-09,1.30E-07,5.44E-09,1.71E-07,2.67E-08,BDL,BDL,BDL,BDL,BDL,BDL,3.48E-08,1.71E-08,3.61E-09,6.62E-10,BDL,BDL,BDL,BDL,2.22E-07,1.07E-07,1.88E-09,3.33E-11,2.02E-10,1.26E-10,8.07E-08,7.89E-09,3.16E-10,1.52E-12,3.68E-08,9.43E-10,9.60E-09,8.21E-10,2.51E-09,1.29E-10,6.36E-06,7.03E-07,6.00E-08,5.21E-09
ER-MZA1,MZA1-2,20-29,BDL,BDL,BDL,BDL,BDL,BDL,3.62E-04,1.92E-04,8.68E-06,1.43E-06,1.02E-05,2.07E-06,7.58E-06,1.56E-06,7.95E-06,3.10E-06,7.40E-08,2.92E-08,BDL,BDL,3.99E-06,4.98E-07,BDL,BDL,4.33E-05,7.75E-06,BDL,BDL,BDL,BDL,8.73E-08,2.82E-08,4.63E-08,9.11E-09,4.28E-08,2.40E-08,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.37E-08,5.04E-09,BDL,BDL,BDL,BDL,1.36E-09,5.38E-10,5.93E-07,8.84E-08,BDL,BDL,BDL,BDL,9.09E-08,2.32E-08,5.66E-10,1.21E-10,1.08E-07,7.04E-08,5.99E-09,1.10E-09,1.85E-09,4.05E-10,1.67E-06,9.46E-07,3.95E-08,8.01E-09
ER-MZA1,MZA1-3,45-60,BDL,BDL,BDL,BDL,BDL,BDL,2.93E-04,4.64E-05,1.99E-06,9.82E-08,1.05E-05,9.56E-07,8.76E-06,8.27E-07,4.33E-06,9.67E-07,3.84E-08,2.92E-09,BDL,BDL,2.76E-06,1.33E-07,BDL,BDL,3.38E-05,2.08E-06,BDL,BDL,BDL,BDL,6.76E-08,6.98E-09,4.60E-08,3.49E-09,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,9.32E-09,1.69E-09,BDL,BDL,BDL,BDL,BDL,BDL,4.22E-08,1.61E-08,BDL,BDL,BDL,BDL,8.77E-08,1.00E-08,6.70E-10,2.92E-11,3.27E-08,5.07E-09,4.97E-09,2.49E-10,1.50E-09,6.88E-11,3.56E-07,4.10E-07,3.11E-08,2.78E-09
ER-MZA1,MZA1-4,80-94,BDL,BDL,BDL,BDL,BDL,BDL,2.87E-04,9.93E-06,3.61E-06,1.48E-07,1.06E-05,1.75E-07,8.89E-06,8.46E-08,4.62E-06,7.61E-07,3.82E-08,7.06E-10,BDL,BDL,2.07E-06,1.37E-08,BDL,BDL,3.00E-05,4.58E-07,BDL,BDL,BDL,BDL,5.23E-08,3.79E-09,4.98E-08,3.49E-10,5.88E-09,1.98E-09,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,7.37E-09,1.28E-09,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.17E-10,2.62E-11,8.75E-08,2.95E-09,5.36E-10,8.20E-11,1.37E-08,6.04E-10,4.88E-09,1.00E-10,1.50E-09,8.37E-11,1.89E-07,1.90E-07,2.60E-08,5.25E-10
ER-MZA5,MZA5-1,0-18,BDL,BDL,BDL,BDL,BDL,BDL,2.68E-04,2.86E-05,2.70E-05,2.53E-06,1.88E-05,1.75E-06,1.21E-05,9.90E-07,4.58E-06,8.50E-07,8.31E-08,6.91E-09,BDL,BDL,1.67E-06,1.80E-07,BDL,BDL,6.69E-05,6.03E-06,BDL,BDL,7.63E-08,9.86E-09,1.14E-07,1.25E-08,6.60E-08,8.44E-09,1.31E-07,1.09E-08,8.67E-08,4.51E-08,BDL,BDL,BDL,BDL,BDL,BDL,1.19E-08,1.48E-09,4.34E-09,7.08E-11,BDL,BDL,BDL,BDL,BDL,BDL,1.63E-09,2.18E-10,1.22E-10,3.59E-12,6.84E-08,6.81E-09,3.36E-10,5.48E-11,1.20E-08,1.13E-09,9.58E-09,1.19E-09,2.42E-09,3.09E-10,5.04E-06,9.08E-07,6.21E-08,6.90E-09
ER-MZA5,MZA5-2,18-30,BDL,BDL,BDL,BDL,BDL,BDL,2.83E-04,1.00E-05,3.08E-05,3.64E-07,1.82E-05,8.78E-07,1.17E-05,7.48E-07,4.57E-06,8.16E-07,9.05E-08,2.44E-09,BDL,BDL,1.47E-06,8.25E-08,BDL,BDL,7.66E-05,2.89E-06,BDL,BDL,7.15E-08,3.99E-10,1.20E-07,7.67E-09,4.30E-08,1.04E-09,1.32E-07,7.28E-09,6.53E-08,1.72E-08,BDL,BDL,BDL,BDL,BDL,BDL,1.18E-08,1.27E-09,6.25E-09,3.27E-10,BDL,BDL,BDL,BDL,9.59E-07,8.32E-10,2.35E-09,6.45E-11,BDL,BDL,6.53E-08,5.04E-09,3.05E-10,6.09E-11,1.30E-07,2.11E-09,1.04E-08,4.21E-10,2.49E-09,9.75E-11,4.21E-06,7.73E-07,6.58E-08,1.28E-09
ER-MZA5,MZA5-3,30-50,BDL,BDL,BDL,BDL,BDL,BDL,2.91E-04,9.81E-06,2.31E-05,4.44E-07,1.75E-05,5.54E-07,1.04E-05,9.65E-08,4.38E-06,1.25E-06,7.43E-08,6.20E-10,BDL,BDL,2.38E-06,3.16E-08,BDL,BDL,5.12E-05,1.25E-06,BDL,BDL,BDL,BDL,1.09E-07,2.71E-09,5.15E-08,1.22E-09,9.89E-08,4.06E-09,1.53E-08,4.03E-08,BDL,BDL,BDL,BDL,BDL,BDL,1.05E-08,1.04E-09,6.75E-09,1.46E-10,BDL,BDL,BDL,BDL,1.50E-06,4.83E-07,2.10E-09,1.07E-10,1.38E-10,3.13E-11,4.18E-08,4.42E-10,5.66E-10,3.88E-11,2.11E-07,5.88E-10,1.04E-08,1.14E-10,2.15E-09,8.60E-11,2.20E-06,1.72E-06,5.15E-08,1.68E-10
ER-MZA5,MZA5-4,50-70,BDL,BDL,BDL,BDL,BDL,BDL,2.76E-04,1.11E-05,9.69E-06,9.85E-08,1.58E-05,1.94E-07,7.33E-06,6.39E-07,4.65E-06,7.67E-07,7.84E-08,2.27E-10,BDL,BDL,2.26E-07,3.97E-08,BDL,BDL,2.80E-05,5.53E-07,BDL,BDL,5.31E-08,8.69E-09,1.02E-07,2.30E-08,6.27E-08,6.41E-11,8.61E-08,1.80E-09,1.16E-07,1.90E-08,BDL,BDL,BDL,BDL,BDL,BDL,7.79E-09,1.06E-09,9.08E-09,1.09E-10,BDL,BDL,1.48E-09,2.74E-11,1.06E-08,1.06E-09,BDL,BDL,1.18E-10,9.75E-13,3.13E-08,1.25E-09,6.40E-10,3.13E-11,1.94E-08,6.37E-10,8.78E-09,1.20E-10,2.21E-09,4.92E-12,1.18E-06,3.31E-07,4.47E-08,2.97E-10
ER-MZA5,MZA5-5,70-75,BDL,BDL,BDL,BDL,BDL,BDL,2.99E-04,2.62E-05,4.08E-06,2.82E-07,3.19E-05,3.85E-05,6.88E-06,4.53E-07,5.03E-06,7.71E-07,3.04E-08,6.76E-09,BDL,BDL,3.52E-07,1.00E-07,BDL,BDL,3.16E-05,3.00E-06,BDL,BDL,BDL,BDL,4.96E-08,1.82E-08,1.86E-08,1.22E-09,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,3.24E-06,4.59E-06,BDL,BDL,9.47E-09,1.41E-08,3.34E-09,4.05E-09,7.49E-09,2.29E-09,BDL,BDL,BDL,BDL,1.74E-08,7.98E-10,3.89E-10,3.79E-11,1.86E-08,2.98E-09,3.66E-09,4.60E-10,1.38E-09,8.05E-11,BDL,BDL,6.53E-08,6.04E-08
ER-MZA5,MZA5-6,75-87,BDL,BDL,BDL,BDL,BDL,BDL,2.80E-04,3.50E-05,7.77E-06,9.18E-07,1.56E-05,1.77E-06,8.58E-06,7.76E-07,4.07E-06,1.31E-06,8.22E-08,8.89E-09,BDL,BDL,1.11E-06,1.04E-07,BDL,BDL,3.79E-05,5.28E-06,BDL,BDL,5.68E-08,9.63E-09,1.02E-07,1.17E-08,4.12E-08,4.19E-09,5.80E-08,6.95E-09,1.21E-07,2.10E-08,BDL,BDL,BDL,BDL,BDL,BDL,9.33E-09,3.21E-09,1.07E-08,7.02E-10,BDL,BDL,1.39E-09,3.39E-10,8.61E-07,7.48E-08,1.42E-09,1.23E-10,1.04E-10,9.15E-12,5.25E-08,7.02E-09,5.31E-10,1.11E-10,1.74E-07,1.19E-08,7.68E-09,7.80E-10,2.23E-09,1.41E-10,BDL,BDL,4.36E-08,2.71E-09
